# 122 - Helm's Deep



# County Title
title = c_helms_deep

# Settlements
max_settlements = 7

b_kingshall = castle
b_hornburg = castle
b_great_barraks = castle
b_kingscourtyard = castle
b_main_gate_helm = castle
b_deeping_wall = castle
b_helms_dike = castle

# Misc
culture = culture_calending
religion = religion_haldadian

8222.1.1 = { 
	culture = culture_gondorian 
	religion = religion_dunedain

			b_kingshall = ca_Nwall_1
			b_kingshall = ca_Nwall_2
			b_kingshall = ca_Nwatchtower_1 
			b_kingshall = ca_Nwatchtower_2
			b_kingshall = ca_Nkeep_1
			b_kingshall = ca_Nkeep_2
			b_kingshall = ca_Nmilitia_barracks_1
			b_kingshall = ca_Nmilitia_barracks_2
			b_kingshall = ca_Ntraining_grounds_1
			b_kingshall = ca_Ntraining_grounds_2
			b_kingshall = ca_Ncastleguards_1
			b_kingshall = ca_Ncastleguards_2
			b_kingshall = ca_Nstable_1
			b_kingshall = ca_Nstable_2
			b_kingshall = ca_Ntown_1
			b_kingshall = ca_Ntown_2
			b_kingshall = ca_Nforge_1 
			b_kingshall = ca_Nforge_2
			b_kingshall = ca_Napothecary_1
			b_kingshall = ca_Napothecary_2
			b_kingshall = ca_healing2
			b_kingshall = ca_warning_beacons
			b_kingshall = ca_paved_road_3
			b_kingshall = ca_Nelitetroops_1
			b_kingshall = ca_Nelitetroops_2
			
				b_hornburg = ca_Nwall_1
				b_hornburg = ca_Nwatchtower_1 
				b_hornburg = ca_Nkeep_1
				b_hornburg = ca_Nmilitia_barracks_1
				b_hornburg = ca_Ntraining_grounds_1
				b_hornburg = ca_Ncastleguards_1
				b_hornburg = ca_Nstable_1
				b_hornburg = ca_Ntown_1
				b_hornburg = ca_Nforge_1 
				b_hornburg = ca_Napothecary_1
				b_hornburg = ca_Nelitetroops_1
				b_hornburg = ca_healing2
				b_hornburg = ca_warning_beacons
				
				b_great_barraks = ca_Nwall_1
				b_great_barraks = ca_Nwatchtower_1 
				b_great_barraks = ca_Nkeep_1
				b_great_barraks = ca_Nmilitia_barracks_1
				b_great_barraks = ca_Ntraining_grounds_1
				b_great_barraks = ca_Ncastleguards_1
				b_great_barraks = ca_Nstable_1
				b_great_barraks = ca_Ntown_1
				b_great_barraks = ca_Nforge_1 
				b_great_barraks = ca_Napothecary_1
				b_great_barraks = ca_Nelitetroops_1
				b_great_barraks = ca_healing2
				b_great_barraks = ca_warning_beacons
				
				b_kingscourtyard = ca_Nwall_1
				b_kingscourtyard = ca_Nwatchtower_1 
				b_kingscourtyard = ca_Nkeep_1
				b_kingscourtyard = ca_Nmilitia_barracks_1
				b_kingscourtyard = ca_Ntraining_grounds_1
				b_kingscourtyard = ca_Ncastleguards_1
				b_kingscourtyard = ca_Nstable_1
				b_kingscourtyard = ca_Ntown_1
				b_kingscourtyard = ca_Nforge_1 
				b_kingscourtyard = ca_Napothecary_1
				b_kingscourtyard = ca_Nelitetroops_1
				b_kingscourtyard = ca_healing2
				b_kingscourtyard = ca_warning_beacons
				
				b_main_gate_helm = ca_Nwall_1
				b_main_gate_helm = ca_Nwatchtower_1 
				b_main_gate_helm = ca_Nkeep_1
				b_main_gate_helm = ca_Nmilitia_barracks_1
				b_main_gate_helm = ca_Ntraining_grounds_1
				b_main_gate_helm = ca_Ncastleguards_1
				b_main_gate_helm = ca_Nstable_1
				b_main_gate_helm = ca_Ntown_1
				b_main_gate_helm = ca_Nforge_1 
				b_main_gate_helm = ca_Napothecary_1
				b_main_gate_helm = ca_Nelitetroops_1
				b_main_gate_helm = ca_healing2
				b_main_gate_helm = ca_warning_beacons
				
				b_deeping_wall = ca_Nwall_1
				b_deeping_wall = ca_Nwatchtower_1 
				b_deeping_wall = ca_Nkeep_1
				b_deeping_wall = ca_Nmilitia_barracks_1
				b_deeping_wall = ca_Ntraining_grounds_1
				b_deeping_wall = ca_Ncastleguards_1
				b_deeping_wall = ca_Nstable_1
				b_deeping_wall = ca_Ntown_1
				b_deeping_wall = ca_Nforge_1 
				b_deeping_wall = ca_Napothecary_1
				b_deeping_wall = ca_Nelitetroops_1
				b_deeping_wall = ca_healing2
				b_deeping_wall = ca_warning_beacons
				
				b_helms_dike = ca_Nwall_1
				b_helms_dike = ca_Nwatchtower_1 
				b_helms_dike = ca_Nkeep_1
				b_helms_dike = ca_Nmilitia_barracks_1
				b_helms_dike = ca_Ntraining_grounds_1
				b_helms_dike = ca_Ncastleguards_1
				b_helms_dike = ca_Nstable_1
				b_helms_dike = ca_Ntown_1
				b_helms_dike = ca_Nforge_1 
				b_helms_dike = ca_Napothecary_1
				b_helms_dike = ca_Nelitetroops_1
				b_helms_dike = ca_healing2
				b_helms_dike = ca_warning_beacons
}
9979.1.1 = { culture = culture_calending religion = religion_haldadian

			b_kingshall = ca_Pwall_1
			b_kingshall = ca_Pwall_2
			b_kingshall = ca_Pwatchtower_1 
			b_kingshall = ca_Pwatchtower_2
			b_kingshall = ca_Pkeep_1
			b_kingshall = ca_Pkeep_2
			b_kingshall = ca_Pmilitia_barracks_1
			b_kingshall = ca_Pmilitia_barracks_2
			b_kingshall = ca_Ptraining_grounds_1
			b_kingshall = ca_Ptraining_grounds_2
			b_kingshall = ca_Pcastleguards_1
			b_kingshall = ca_Pcastleguards_2
			b_kingshall = ca_Pstable_1
			b_kingshall = ca_Pstable_2
			b_kingshall = ca_Ptown_1
			b_kingshall = ca_Ptown_2
			b_kingshall = ca_paved_road_3
			b_kingshall = ca_Phillsmen_1 
			b_kingshall = ca_Phillsmen_2
			
				b_hornburg = ca_Pwall_1
				b_hornburg = ca_Pwatchtower_1 
				b_hornburg = ca_Pkeep_1
				b_hornburg = ca_Pmilitia_barracks_1
				b_hornburg = ca_Ptraining_grounds_1
				b_hornburg = ca_Pcastleguards_1
				b_hornburg = ca_Pstable_1
				b_hornburg = ca_Ptown_1
				b_hornburg = ca_paved_road_3
				b_hornburg = ca_Phillsmen_1 
				
				b_great_barraks = ca_Pwall_1
				b_great_barraks = ca_Pwatchtower_1 
				b_great_barraks = ca_Pkeep_1
				b_great_barraks = ca_Pmilitia_barracks_1
				b_great_barraks = ca_Ptraining_grounds_1
				b_great_barraks = ca_Pcastleguards_1
				b_great_barraks = ca_Pstable_1
				b_great_barraks = ca_Ptown_1
				b_great_barraks = ca_paved_road_3
				b_great_barraks = ca_Phillsmen_1
				
				b_kingscourtyard = ca_Pwall_1
				b_kingscourtyard = ca_Pwatchtower_1 
				b_kingscourtyard = ca_Pkeep_1
				b_kingscourtyard = ca_Pmilitia_barracks_1
				b_kingscourtyard = ca_Ptraining_grounds_1
				b_kingscourtyard = ca_Pcastleguards_1
				b_kingscourtyard = ca_Pstable_1
				b_kingscourtyard = ca_Ptown_1
				b_kingscourtyard = ca_paved_road_3
				b_kingscourtyard = ca_Phillsmen_1 
				
				b_main_gate_helm = ca_Pwall_1
				b_main_gate_helm = ca_Pwatchtower_1 
				b_main_gate_helm = ca_Pkeep_1
				b_main_gate_helm = ca_Pmilitia_barracks_1
				b_main_gate_helm = ca_Ptraining_grounds_1
				b_main_gate_helm = ca_Pcastleguards_1
				b_main_gate_helm = ca_Pstable_1
				b_main_gate_helm = ca_Ptown_1
				b_main_gate_helm = ca_paved_road_3
				b_main_gate_helm = ca_Phillsmen_1 
				
				b_deeping_wall = ca_Pwall_1
				b_deeping_wall = ca_Pwatchtower_1 
				b_deeping_wall = ca_Pkeep_1
