#Balost

# County Title
title = c_balost

# Settlements
max_settlements = 5

b_balost = castle
b_amrelor = city
b_sorhaur = city
#b_minas_stalobir = city
#b_derethin = castle

# Misc

culture = culture_arnorian
religion = religion_dunedain

9752.1.1 = {
culture = culture_dunlending
religion = religion_haldadian
b_balost = castle
b_amrelor = castle


			b_balost = tb_Pwall_1 
			b_balost = tb_Pwall_2
			b_balost = tb_Pwatchtower_1 
			b_balost = tb_Pwatchtower_2
			b_balost = tb_Pkeep_1
			b_balost = tb_Pkeep_2
			b_balost = tb_Pmilitia_barracks_1
			b_balost = tb_Pmilitia_barracks_2
			b_balost = tb_Ptraining_grounds_1
			b_balost = tb_Ptraining_grounds_2
			b_balost = tb_Pcastleguards_1
			b_balost = tb_Pcastleguards_2
			b_balost = tb_Pstable_1
			b_balost = tb_Pstable_2
			b_balost = tb_Ptown_1
			b_balost = tb_Ptown_2
			b_balost = tb_Phillsmen_1 
			b_balost = tb_Phillsmen_2
			b_balost = tb_dirt_road_2
			
				b_amrelor = tb_Pwall_1 
				b_amrelor = tb_Pwall_2
				b_amrelor = tb_Pwatchtower_1 
				b_amrelor = tb_Pwatchtower_2
				b_amrelor = tb_Pkeep_1
				b_amrelor = tb_Pkeep_2
				b_amrelor = tb_Pmilitia_barracks_1
				b_amrelor = tb_Pmilitia_barracks_2
				b_amrelor = tb_Ptraining_grounds_1
				b_amrelor = tb_Ptraining_grounds_2
				b_amrelor = tb_Pcastleguards_1
				b_amrelor = tb_Pcastleguards_2
				b_amrelor = tb_Pstable_1
				b_amrelor = tb_Pstable_2
				b_amrelor = tb_Ptown_1
				b_amrelor = tb_Ptown_2
				b_amrelor = tb_Phillsmen_1 
				b_amrelor = tb_Phillsmen_2
				b_amrelor = tb_dirt_road_2 
				
				b_sorhaur = tb_Pwall_1 
				b_sorhaur = tb_Pwall_2
				b_sorhaur = tb_Pwatchtower_1 
				b_sorhaur = tb_Pwatchtower_2
				b_sorhaur = tb_Pkeep_1
				b_sorhaur = tb_Pkeep_2
				b_sorhaur = tb_Pmilitia_barracks_1
				b_sorhaur = tb_Pmilitia_barracks_2
				b_sorhaur = tb_Ptraining_grounds_1
				b_sorhaur = tb_Ptraining_grounds_2
				b_sorhaur = tb_Pcastleguards_1
				b_sorhaur = tb_Pcastleguards_2
				b_sorhaur = tb_Pstable_1
				b_sorhaur = tb_Pstable_2
				b_sorhaur = tb_Ptown_1
				b_sorhaur = tb_Ptown_2
				b_sorhaur = tb_Phillsmen_1 
				b_sorhaur = tb_Phillsmen_2
				b_sorhaur = tb_dirt_road_2 
}
