# Druwaith Laden

# County Title

title = c_druwaith_iaur

# Settlements

max_settlements = 5

b_druwaith_laden = tribal
b_ringorn = city
b_talagan = city
#b_druwaith_seregon = city
#b_corusdor = castle


# Misc
culture = culture_druedain
religion = religion_druedain
8222.1.1 = {


			b_druwaith_laden = tb_Iwall_1 
			b_druwaith_laden = tb_pukel_men 
			b_druwaith_laden = tb_Ikeep_1 
			b_druwaith_laden = tb_Imilitia_barracks_1 
			b_druwaith_laden = tb_Icastleguards_1 
			b_druwaith_laden = tb_Itown_1 
			b_druwaith_laden = tb_dirt_road_2 
			
				b_ringorn = tb_Iwall_1 
				b_ringorn = tb_pukel_men 
				b_ringorn = tb_Ikeep_1 
				b_ringorn = tb_Imilitia_barracks_1 
				b_ringorn = tb_Icastleguards_1 
				b_ringorn = tb_Itown_1
				b_ringorn = tb_dirt_road_2 
				
				b_talagan = tb_Iwall_1 
				b_talagan = tb_pukel_men 
				b_talagan = tb_Ikeep_1 
				b_talagan = tb_Imilitia_barracks_1 
				b_talagan = tb_Icastleguards_1 
				b_talagan = tb_Itown_1
				b_talagan = tb_dirt_road_2 
}
