# 312 - Sad Meryrn



# County Title
title = c_south_mirkwood



# Settlements
max_settlements = 5

b_sad_meryrn = castle
b_toss_iaur = city
b_calendol = castle
#b_gwathradaw = city
#b_doll_ul = city

# Misc
culture = culture_wilderness
religion = religion_wilderness
terrain = forest
4222.1.1 = {
culture = culture_silvan
religion = religion_moriquendi
}
# 6595.1.1 = { culture = culture_spider religion = religion_spider }

8222.1.1 = {
        b_sad_meryrn = ca_silvan_archers_1
		b_sad_meryrn = ca_silvanelite_1
		b_sad_meryrn = ca_silvan_stable_1
		b_sad_meryrn = ca_Ewalltower_1
		b_sad_meryrn = ca_Ewall_1
		b_sad_meryrn = ca_Ekeep_1
		b_sad_meryrn = ca_telain1
		b_sad_meryrn = ca_elven_forge1
		b_sad_meryrn = ca_healing
		b_sad_meryrn = ca_Etraining_grounds_1
		b_sad_meryrn = ca_Etown_1
		
		b_calendol = ca_silvan_archers_1
		b_calendol = ca_silvanelite_1
		b_calendol = ca_silvan_stable_1
		b_calendol = ca_Ewalltower_1
		b_calendol = ca_Ewall_1
		b_calendol = ca_Ekeep_1
		b_calendol = ca_telain1
		b_calendol = ca_elven_forge1
		b_calendol = ca_healing
		b_calendol = ca_Etraining_grounds_1
		b_calendol = ca_Etown_1
		
		b_toss_iaur = ct_silvan_archers_1
		b_toss_iaur = ct_silvanelite_1
		b_toss_iaur = ct_silvan_stable_1
		b_toss_iaur = ct_Ewall_1
		b_toss_iaur = ct_Ewalltower_1
		b_toss_iaur = ct_elfcity_center_1
		b_toss_iaur = ct_elvenherborist_1
		b_toss_iaur = ct_Emarketplace_1
		b_toss_iaur = ct_telain1
}

9343.1.1 = { culture = culture_spider religion = religion_spider }

11362.4.6 = { culture = culture_silvan religion = religion_moriquendi 
        b_sad_meryrn = ca_silvan_archers_1
		b_sad_meryrn = ca_silvanelite_1
		b_sad_meryrn = ca_silvan_stable_1
		b_sad_meryrn = ca_Ewalltower_1
		b_sad_meryrn = ca_Ewall_1
		b_sad_meryrn = ca_Ekeep_1
		b_sad_meryrn = ca_telain1
		b_sad_meryrn = ca_elven_forge1
		b_sad_meryrn = ca_healing
		b_sad_meryrn = ca_Etraining_grounds_1
		b_sad_meryrn = ca_Etown_1
		
		b_calendol = ca_silvan_archers_1
		b_calendol = ca_silvanelite_1
		b_calendol = ca_silvan_stable_1
		b_calendol = ca_Ewalltower_1
		b_calendol = ca_Ewall_1
		b_calendol = ca_Ekeep_1
		b_calendol = ca_telain1
		b_calendol = ca_elven_forge1
		b_calendol = ca_healing
		b_calendol = ca_Etraining_grounds_1
		b_calendol = ca_Etown_1
		
		b_toss_iaur = ct_silvan_archers_1
		b_toss_iaur = ct_silvanelite_1
		b_toss_iaur = ct_silvan_stable_1
		b_toss_iaur = ct_Ewall_1
		b_toss_iaur = ct_Ewalltower_1
		b_toss_iaur = ct_elfcity_center_1
		b_toss_iaur = ct_elvenherborist_1
		b_toss_iaur = ct_Emarketplace_1
		b_toss_iaur = ct_telain1
}
