# 316 - Imlad Megli

# County Title
title = c_middle_south_west_mirkwood

# Settlements
max_settlements = 5

b_imlad_megli = castle
b_ast_brethil = city
b_cerin_coth = castle
#b_dond_gorgor = city
#b_cabor_din = city


# Misc
culture = culture_wilderness
religion = religion_wilderness
terrain = forest

3222.1.1 = {
culture = culture_silvan
religion = religion_moriquendi
}

8222.1.1 = {
        b_imlad_megli = ca_silvan_archers_1
		b_imlad_megli = ca_silvanelite_1
		b_imlad_megli = ca_silvan_stable_1
		b_imlad_megli = ca_Ewalltower_1
		b_imlad_megli = ca_Ewall_1
		b_imlad_megli = ca_Ekeep_1
		b_imlad_megli = ca_telain1
		b_imlad_megli = ca_elven_forge1
		b_imlad_megli = ca_healing
		b_imlad_megli = ca_Etraining_grounds_1
		b_imlad_megli = ca_Etown_1
		
		b_ast_brethil = ct_silvan_archers_1
		b_ast_brethil = ct_silvanelite_1
		b_ast_brethil = ct_silvan_stable_1
		b_ast_brethil = ct_Ewall_1
		b_ast_brethil = ct_Ewalltower_1
		b_ast_brethil = ct_elfcity_center_1
		b_ast_brethil = ct_elvenherborist_1
		b_ast_brethil = ct_Emarketplace_1
		b_ast_brethil = ct_telain1
		
		b_cerin_coth = ca_silvan_archers_1
		b_cerin_coth = ca_silvanelite_1
		b_cerin_coth = ca_silvan_stable_1
		b_cerin_coth = ca_Ewalltower_1
		b_cerin_coth = ca_Ewall_1
		b_cerin_coth = ca_Ekeep_1
		b_cerin_coth = ca_telain1
		b_cerin_coth = ca_elven_forge1
		b_cerin_coth = ca_healing
		b_cerin_coth = ca_Etraining_grounds_1
		b_cerin_coth = ca_Etown_1
}

9343.1.1 = {
culture = culture_spider
religion = religion_spider
}
9393.1.1 = {
culture = culture_woodsmen
religion = religion_rhovanion 
}
11284.1.1 = {
culture = culture_silvan
religion = religion_moriquendi
}
11294.1.1 = {
culture = culture_spider
religion = religion_spider
}
11362.4.6 = {
culture = culture_silvan
religion = religion_moriquendi 
        b_imlad_megli = ca_silvan_archers_1
		b_imlad_megli = ca_silvanelite_1
		b_imlad_megli = ca_silvan_stable_1
		b_imlad_megli = ca_Ewalltower_1
		b_imlad_megli = ca_Ewall_1
		b_imlad_megli = ca_Ekeep_1
		b_imlad_megli = ca_telain1
		b_imlad_megli = ca_elven_forge1
		b_imlad_megli = ca_healing
		b_imlad_megli = ca_Etraining_grounds_1
		b_imlad_megli = ca_Etown_1
		
		b_ast_brethil = ct_silvan_archers_1
		b_ast_brethil = ct_silvanelite_1
		b_ast_brethil = ct_silvan_stable_1
		b_ast_brethil = ct_Ewall_1
		b_ast_brethil = ct_Ewalltower_1
		b_ast_brethil = ct_elfcity_center_1
		b_ast_brethil = ct_elvenherborist_1
		b_ast_brethil = ct_Emarketplace_1
		b_ast_brethil = ct_telain1
		
		b_cerin_coth = ca_silvan_archers_1
		b_cerin_coth = ca_silvanelite_1
		b_cerin_coth = ca_silvan_stable_1
		b_cerin_coth = ca_Ewalltower_1
		b_cerin_coth = ca_Ewall_1
		b_cerin_coth = ca_Ekeep_1
		b_cerin_coth = ca_telain1
		b_cerin_coth = ca_elven_forge1
		b_cerin_coth = ca_healing
		b_cerin_coth = ca_Etraining_grounds_1
		b_cerin_coth = ca_Etown_1
}
