# 539 - Dale

# County Title
title = c_dale

# Settlements
max_settlements = 7

b_dale_king_hall = castle
b_market_square = city
b_dale_inner_gate = castle
b_bluetower = castle
b_dale_outer_gate = castle
#b_girion_hill = city
#b_farmdale = city


# Misc
culture = culture_northmen
religion = religion_rhovanion
8222.1.1 = {


			b_dale_king_hall = ca_Hwall_1
			b_dale_king_hall = ca_Hwall_2
			b_dale_king_hall = ca_Hwatchtower_1 
			b_dale_king_hall = ca_Hwatchtower_2
			b_dale_king_hall = ca_Hkeep_1
			b_dale_king_hall = ca_Hkeep_2
			b_dale_king_hall = ca_Hmilitia_barracks_1
			b_dale_king_hall = ca_Hmilitia_barracks_2
			b_dale_king_hall = ca_Htraining_grounds_1
			b_dale_king_hall = ca_Htraining_grounds_2
			b_dale_king_hall = ca_Hcastleguards_1
			b_dale_king_hall = ca_Hcastleguards_2
			b_dale_king_hall = ca_Hstable_1
			b_dale_king_hall = ca_Hstable_2
			b_dale_king_hall = ca_Htown_1
			b_dale_king_hall = ca_Htown_2
			b_dale_king_hall = ca_paved_road_3
			b_dale_king_hall = ca_Napothecary_1
			b_dale_king_hall = ca_Nforge_1
			b_dale_king_hall = ca_daleelite_1 
			b_dale_king_hall = ca_daleelite_2
			
				b_market_square = ct_Hwall_1 
				b_market_square = ct_Hwatchtower_1
				b_market_square = ct_Hbarracks_1 
				b_market_square = ct_Htownmilitia_1 
				b_market_square = ct_Hguard_1 
				b_market_square = ct_Hmarketplace_1
				b_market_square = tp_barrow_field 
				
				b_dale_inner_gate = ca_Hwall_1
				b_dale_inner_gate = ca_Hwatchtower_1 
				b_dale_inner_gate = ca_Hkeep_1
				b_dale_inner_gate = ca_Hmilitia_barracks_1
				b_dale_inner_gate = ca_Htraining_grounds_1
				b_dale_inner_gate = ca_Hcastleguards_1
				b_dale_inner_gate = ca_Hstable_1
				b_dale_inner_gate = ca_Htown_1
				b_dale_inner_gate = ca_Napothecary_1
				b_dale_inner_gate = ca_Nforge_1
				b_dale_inner_gate = ca_daleelite_1 
				
				b_bluetower = ca_Hwall_1
				b_bluetower = ca_Hwatchtower_1 
				b_bluetower = ca_Hkeep_1
				b_bluetower = ca_Hmilitia_barracks_1
				b_bluetower = ca_Htraining_grounds_1
				b_bluetower = ca_Hcastleguards_1
				b_bluetower = ca_Hstable_1
				b_bluetower = ca_Htown_1
				b_bluetower = ca_Napothecary_1
				b_bluetower = ca_Nforge_1
				b_bluetower = ca_daleelite_1 
				
				b_dale_outer_gate = ca_Hwall_1
				b_dale_outer_gate = ca_Hwatchtower_1 
				b_dale_outer_gate = ca_Hkeep_1
				b_dale_outer_gate = ca_Hmilitia_barracks_1
				b_dale_outer_gate = ca_Htraining_grounds_1
				b_dale_outer_gate = ca_Hcastleguards_1
				b_dale_outer_gate = ca_Hstable_1
				b_dale_outer_gate = ca_Htown_1
				b_dale_outer_gate = ca_Napothecary_1
				b_dale_outer_gate = ca_Nforge_1
				b_dale_outer_gate = ca_daleelite_1 
}
11113.1.1 = {
culture = culture_wilderness
religion = religion_wilderness
}
11284.1.1 = {
culture = culture_barding
religion = religion_rhovanion
}
