#Gundabad

# County Title
title = c_gundabad

# Settlements
max_settlements = 7

b_gundabad_throne_hall = castle
b_gundabad_throne_hall = castle
b_market_square_gundabad = castle
b_forges_gundabad = castle
b_main_corridors = castle
#b_black_pass = castle
#b_thob = city

# Misc
culture = culture_longbeard
religion = religion_mahal
9648.1.1 = { 
culture = culture_orkish 
religion = religion_orkish

			b_gundabad_throne_hall = ca_MOwall_1 
			b_gundabad_throne_hall = ca_MOwall_2
			b_gundabad_throne_hall = ca_MOwall_3 
			b_gundabad_throne_hall = ca_MOwatchtower_1 
			b_gundabad_throne_hall = ca_MOwatchtower_2
			b_gundabad_throne_hall = ca_MOwatchtower_3 
			b_gundabad_throne_hall = ca_MOkeep_1 
			b_gundabad_throne_hall = ca_MOkeep_2
			b_gundabad_throne_hall = ca_MOkeep_3 
			b_gundabad_throne_hall = ca_MOorc_militiabarracks_1 
			b_gundabad_throne_hall = ca_MOorc_militiabarracks_2
			b_gundabad_throne_hall = ca_MOorc_militiabarracks_3 
			b_gundabad_throne_hall = ca_MOorctraining_grounds_1 
			b_gundabad_throne_hall = ca_MOorctraining_grounds_2
			b_gundabad_throne_hall = ca_MOorctraining_grounds_3 
			b_gundabad_throne_hall = ca_MOorcbarracks_1 
			b_gundabad_throne_hall = ca_MOorcbarracks_2
			b_gundabad_throne_hall = ca_MOorcbarracks_3 
			b_gundabad_throne_hall = ca_MOstable_1 
			b_gundabad_throne_hall = ca_MOstable_2
			b_gundabad_throne_hall = ca_MOstable_3 
			b_gundabad_throne_hall = ca_MOorctown_1 
			b_gundabad_throne_hall = ca_MOorctown_2
			b_gundabad_throne_hall = ca_MOorctown_3
			b_gundabad_throne_hall = ca_MO_elite_1 
			b_gundabad_throne_hall = ca_MO_elite_2
			b_gundabad_throne_hall = ca_MO_elite_3 
			b_gundabad_throne_hall = ca_paved_road_3
			b_gundabad_throne_hall = ca_great_route_4

				b_main_hall = ca_MOwall_1 
				b_main_hall = ca_MOwall_2
				b_main_hall = ca_MOwatchtower_1 
				b_main_hall = ca_MOwatchtower_2
				b_main_hall = ca_MOkeep_1 
				b_main_hall = ca_MOkeep_2
				b_main_hall = ca_MOorc_militiabarracks_1 
				b_main_hall = ca_MOorc_militiabarracks_2
				b_main_hall = ca_MOorctraining_grounds_1 
				b_main_hall = ca_MOorctraining_grounds_2
				b_main_hall = ca_MOorcbarracks_1 
				b_main_hall = ca_MOorcbarracks_2
				b_main_hall = ca_MOstable_1 
				b_main_hall = ca_MOstable_2
				b_main_hall = ca_MOorctown_1 
				b_main_hall = ca_MOorctown_2
				b_main_hall = ca_MO_elite_1 
				b_main_hall = ca_MO_elite_2
				b_main_hall = ca_paved_road_3

				b_market_square_gundabad  = ca_MOwall_1 
				b_market_square_gundabad  = ca_MOwall_2
				b_market_square_gundabad  = ca_MOwatchtower_1 
				b_market_square_gundabad  = ca_MOwatchtower_2
				b_market_square_gundabad  = ca_MOkeep_1 
				b_market_square_gundabad  = ca_MOkeep_2
				b_market_square_gundabad  = ca_MOorc_militiabarracks_1 
				b_market_square_gundabad  = ca_MOorc_militiabarracks_2
				b_market_square_gundabad  = ca_MOorctraining_grounds_1 
				b_market_square_gundabad  = ca_MOorctraining_grounds_2
				b_market_square_gundabad  = ca_MOorcbarracks_1 
				b_market_square_gundabad  = ca_MOorcbarracks_2
				b_market_square_gundabad  = ca_MOstable_1 
				b_market_square_gundabad  = ca_MOstable_2
				b_market_square_gundabad  = ca_MOorctown_1 
				b_market_square_gundabad  = ca_MOorctown_2
				b_market_square_gundabad  = ca_MO_elite_1 
				b_market_square_gundabad  = ca_MO_elite_2
				b_market_square_gundabad  = ca_paved_road_3

				b_forges_gundabad  = ca_MOwall_1 
				b_forges_gundabad  = ca_MOwall_2
				b_forges_gundabad  = ca_MOwatchtower_1 
				b_forges_gundabad  = ca_MOwatchtower_2
				b_forges_gundabad  = ca_MOkeep_1 
				b_forges_gundabad  = ca_MOkeep_2
				b_forges_gundabad  = ca_MOorc_militiabarracks_1 
				b_forges_gundabad  = ca_MOorc_militiabarracks_2
				b_forges_gundabad  = ca_MOorctraining_grounds_1 
				b_forges_gundabad  = ca_MOorctraining_grounds_2
				b_forges_gundabad  = ca_MOorcbarracks_1 
				b_forges_gundabad  = ca_MOorcbarracks_2
				b_forges_gundabad  = ca_MOstable_1 
				b_forges_gundabad  = ca_MOstable_2
				b_forges_gundabad  = ca_MOorctown_1 
				b_forges_gundabad  = ca_MOorctown_2
				b_forges_gundabad  = ca_MO_elite_1 
				b_forges_gundabad  = ca_MO_elite_2
				b_forges_gundabad  = ca_paved_road_3

				b_main_corridors  = ca_MOwall_1 
				b_main_corridors  = ca_MOwall_2
				b_main_corridors  = ca_MOwatchtower_1 
				b_main_corridors  = ca_MOwatchtower_2
				b_main_corridors  = ca_MOkeep_1 
				b_main_corridors  = ca_MOkeep_2
				b_main_corridors  = ca_MOorc_militiabarracks_1 
				b_main_corridors  = ca_MOorc_militiabarracks_2
				b_main_corridors  = ca_MOorctraining_grounds_1 
				b_main_corridors  = ca_MOorctraining_grounds_2
				b_main_corridors  = ca_MOorcbarracks_1 
				b_main_corridors  = ca_MOorcbarracks_2
				b_main_corridors  = ca_MOstable_1 
				b_main_corridors  = ca_MOstable_2
				b_main_corridors  = ca_MOorctown_1 
				b_main_corridors  = ca_MOorctown_2
				b_main_corridors  = ca_MO_elite_1 
				b_main_corridors  = ca_MO_elite_2
				b_main_corridors  = ca_paved_road_3
}
