#Morannon

# County Title
title = c_morannon

# Settlements
max_settlements = 3

b_morannon = castle
b_carchost = castle
b_narchost = castle

# Misc
culture = culture_nurnim
religion = religion_nurning
terrain = plains
5902.1.1 = { 
culture = culture_orkish 
religion = religion_orkish 

			b_morannon = ca_MOwall_1
			b_morannon = ca_MOwall_2
			b_morannon = ca_MOwatchtower_1 
			b_morannon = ca_MOwatchtower_2
			b_morannon = ca_MOkeep_1 
			b_morannon = ca_MOkeep_2
			b_morannon = ca_MOorc_militiabarracks_1 
			b_morannon = ca_MOorc_militiabarracks_2
			b_morannon = ca_MOorctraining_grounds_1 
			b_morannon = ca_MOorctraining_grounds_2
			b_morannon = ca_MOorcbarracks_1 
			b_morannon = ca_MOorcbarracks_2
			b_morannon = ca_MOstable_1 
			b_morannon = ca_MOstable_2
			b_morannon = ca_MOorctown_1 
			b_morannon = ca_MOorctown_2
			b_morannon = ca_MO_elite_1 
			b_morannon = ca_MO_elite_2
			b_morannon = ca_paved_road_3

				b_carchost = ca_MOwall_1 
				b_carchost = ca_MOwall_2
				b_carchost = ca_MOwatchtower_1 
				b_carchost = ca_MOwatchtower_2
				b_carchost = ca_MOkeep_1 
				b_carchost = ca_MOkeep_2
				b_carchost = ca_MOorc_militiabarracks_1 
				b_carchost = ca_MOorc_militiabarracks_2
				b_carchost = ca_MOorctraining_grounds_1 
				b_carchost = ca_MOorctraining_grounds_2
				b_carchost = ca_MOorcbarracks_1 
				b_carchost = ca_MOorcbarracks_2
				b_carchost = ca_MOstable_1 
				b_carchost = ca_MOstable_2
				b_carchost = ca_MOorctown_1 
				b_carchost = ca_MOorctown_2
				b_carchost = ca_MO_elite_1 
				b_carchost = ca_MO_elite_2
				b_carchost = ca_paved_road_3
				
				b_narchost = ca_MOwall_1 
				b_narchost = ca_MOwall_2
				b_narchost = ca_MOwatchtower_1 
				b_narchost = ca_MOwatchtower_2
				b_narchost = ca_MOkeep_1 
				b_narchost = ca_MOkeep_2
				b_narchost = ca_MOorc_militiabarracks_1 
				b_narchost = ca_MOorc_militiabarracks_2
				b_narchost = ca_MOorctraining_grounds_1 
				b_narchost = ca_MOorctraining_grounds_2
				b_narchost = ca_MOorcbarracks_1 
				b_narchost = ca_MOorcbarracks_2
				b_narchost = ca_MOstable_1 
				b_narchost = ca_MOstable_2
				b_narchost = ca_MOorctown_1 
				b_narchost = ca_MOorctown_2
				b_narchost = ca_MO_elite_1 
				b_narchost = ca_MO_elite_2
				b_narchost = ca_paved_road_3
}
8222.1.1 = { 
culture = culture_black_numenorean
religion = religion_black_numenorean
}
9651.1.1 = {
culture = culture_gondorian
religion = religion_dunedain }
9979.1.1 = { 
culture = culture_orkish 
religion = religion_orkish }
