#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
EVTNAMEmepstart.0;Startup Event - Titles Fix;;;;;x
EVTDESCmepstart.0;Startup Event - Titles Fix;;;;;x
EVTOPTAmepstart.0;Startup Event - Titles Fix;;;;;x
EVTNAMEmepstart.1;Startup Event - Valar to Valinor;;;;;x
EVTDESCmepstart.1;Startup Event - Valar to Valinor;;;;;x
EVTOPTAmepstart.1;Startup Event - Valar to Valinor;;;;;x
EVTNAMEmepstart.2;Startup Event - Valinor for Manwë;;;;;x
EVTDESCmepstart.2;Startup Event - Valinor for Manwë;;;;;x
EVTOPTAmepstart.2;Startup Event - Valinor for Manwë;;;;;x
EVTNAMEmepstart.3;Startup Event - Old Forest for Tom Bombadil;;;;;x
EVTDESCmepstart.3;Startup Event - Old Forest for Tom Bombadil;;;;;x
EVTOPTAmepstart.3;Startup Event - Old Forest for Tom Bombadil;;;;;x
EVTNAMEmepstart.4;Startup Event - Isengard Empire for Saruman;;;;;x
EVTDESCmepstart.4;Startup Event - Isengard Empire for Saruman;;;;;x
EVTOPTAmepstart.4;Startup Event - Isengard Empire for Saruman;;;;;x
