#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
#GONDOR;;;;;;;;x
title_captaingeneral;Captain-General;Capitaine-Général;;;Capitano-Generale;;x
title_captaingeneral_desc;Captain-General is the highest honorary title in the Kingdom of Gondor, second only to the King of Gondor. It can only be granted to close relatives, traditionally the oldest son.;Le Capitaine-Général est le second titre le plus élevé du Gondor, après l'Intendant ou le Roi lui-même. Il ne peut être donné uniquement à un proche, généralement le fils aîné.;;;Il Capitano-Generale è il più alto titolo onorifico nel Regno di Gondor, secondo, per importanza, unicamente a quello del Re o del Sovrintendente. Può essere conferito unicamente a membri della famiglia, di solito al figlio più anziano.;;x
title_wardenofthekeys;Warden of the Keys;Gardien des Clés;;;Guardiano delle Chiavi;;x
title_wardenofthekeys_desc;Warden of the Keys is a high office of Minas Tirith in Gondor. At the coronation of new a new King, the holder of the keys opens the gate to the city.;Le Gardien des Clés est un poste important à Minas Tirith. Lors du couronnement d'un Nouveau Roi, le Gardien des Clés lui ouvrira les portes de la cité;;;Quello del Guardiano delle Chiavi è uno dei più nobili incarichi di Minas Tirith, a Gondor. All'incoronazione di un nuovo Re o Reggente, il Guardiano apre i cancelli della città dando inizio alla cerimonia.;;x
title_captainoffountain;Warden of the Fountain;Capitaine de la Garde de la Fontaine;;;Guardiano della Fontana;;x
title_captainoffountain_desc;The Captain of the Fountain commands the Guards who protect the White Tree of Gondor.;Le Capitaine de la Garde de la Fontaine est en charge de la protection de l'Arbre Blanc du Gondor;;;Il Guardiano della Fontana comanda le Guardie della Fontana che proteggono l'Albero Bianco.;;x
title_captaincitadel;Captain of the Citadel;Capitaine des Guardes de la Citadelle;;;Comandante della Cittadella;;x
title_captaincitadel_desc;The Captain of the Citadel commands the Guards who protect the Citadel of Minas Tirith.;Il commande les gardes de la Citadelle de Minas Tirith.;;;Il Comandante della Cittadella guida le Guardie che proteggono la Cittadella di Minas Tirith.;;x
title_wardenofwhitetree;Warden of the White Tree;Gardien de l'Arbre Blanc;;;Guardiano dell'Albero Bianco;;x
title_wardenofwhitetree_desc;The Warden of the White Tree takes care of one of the most important symbols in Gondor: the White Tree.;;;;Il Guardiano dell'Albero Bianco si prende cura di uno dei simboli più importanti di tutta Gondor: l'Albero Bianco.;;x
title_admiralofpelargir;Admiral of Pelargir;Grand Amiral;;;Ammiraglio del Pelargir;;x
title_admiralofpelargir_desc;The Admiral of Pelargir is the Commander of Gondor's Navy, one of the most powerful fleets in Arda.;L'Amiral de Pelargir est le commandant des forces navales du Gondor.;;;L'Ammiraglio del Pelargir è l'Alto Comandante della Marina di Gondor, una delle flotte più potenti di Arda.;;x
title_honorarycitadelguard;Honorary Guard of the Citadel;Garde d'Honneur de la Citadelle;;;Guardia Onoraria della Cittadella;;x
title_honorarycitadelguard_desc;This is a honorary title given to those who have offered great services to Minas Tirith.;Garde d'Honneur de la Citadelle;;;È un titolo onorario concesso a chi si è distinto per le sue doti o ha offerto grandi servigi a Minas Tirith.;;x
title_lieutenantgeneral;Lieutenant-General;Lieutenant-Général;;;Luogotenente-Generale;;x
title_lieutenantgeneral_desc;Lieutenant-General is the second highest honorary title in the Kingdom of Gondor, second only to the King of Gondor and Captain-General. It can only be granted to close relatives, traditionally the oldest son of the heir.;Lieutenant-Général;;;Il Luogotenente-Generale è un alto titolo onorario a Gondor, secondo per importanza solo al Re e al Capitano-Generale. Può essere concesso solo ai familiari stretti, tradizionalmente al figlio più anziano dell'erede.;;x
title_co_ruler;Co-Ruler of Gondor;Co-Régent du Gondor;;;Coreggente;;x
title_co_ruler_desc;This character shares the Rules of Gondor with one of his peers. Together, they direct the destiny of the Southern Kingdom.;Ce personnage partage le pouvoir du Gondor avec l'un de ses pairs. Ensemble, ils dirigent la destinée du Royaume du Sud.;;;;;x
title_masterbow;Master of the Bow;Maître des Archers;;;Mastro Arciere;;x
title_masterbow_desc;;;;;;;x
title_captainaxebearers;Captain of the Axe-Bearers;Capitaine des Porteurs d'Hache;;;Capitano degli Ascieri;;x
title_captainaxebearers_desc;Captain of the Axe-Bearers;Capitaine des Porteurs d'Hache;;;Capitano degli Ascieri;;x
title_wardenrammasechor;Warden of Rammas Echor;Protecteur de Rammas Echor;;;Guardiano di Rammas Echor;;x
title_wardenrammasechor_desc;;;;;;;x
title_admiral;Admiral;Amiral;;;Ammiraglio;;x
title_admiral_desc;;;;;;;x
title_astrologer;Astrologer;Astrologue;;;Astrologo;;x
title_astrologer_desc;;;;;;;x
title_wardenofbeacons;Warden of Beacons;Gardiens des Feux d'Alarme;;;Guardiano dei Fuochi;;x
title_wardenofbeacons_desc;;;;;;;x
title_wardenoferech;Warden of the Stone of Erech;Gardien de la Pierre d'Erech;;;Guardiano della Pietra di Erech;;x
title_wardenoferech_desc;;;;;;;x
title_keeperofswans;Keeper of the Swans;Gardien des Cygnes;;;Guardiano dei  Cigni;;x
title_keeperofswans_desc;;;;;;;x
title_ruler_gondor;Ruler of Gondor;Souverain du Gondor;;;;;x
title_ruler_gondor_desc;;;;;;;x
title_ruler_arnor;Ruler of Arnor;Souverain du Arnor;;;;;x
title_ruler_arnor_desc;;;;;;;x
#ROHAN;;;;;;;x
title_kingcouncillor;King's Councillor;Conseiller du Roi;;;Consigliere del Re;;x
title_kingcouncillor_desc;;;;;;;x
title_master_of_the_horse;Master of the Horse;Maître des Ecuries;;;Maestro dei Cavalli;;x
title_master_of_the_horse_desc;;;;;;;x
title_firstmarshal;First Marshal of the Riddermark;Premier Maréchal;;;Primo Maresciallo;;x
title_firstmarshal_desc;The First Marshal of the Riddermark is the highest military rank among the Riders of Rohan.;Premier Maréchal;;;;;x
title_secondmarshal;Second Marshal of the Riddermark;Second Maréchal;;;Secondo Maresciallo;;x
title_secondmarshal_desc;The Second Marshal of the Riddermark is the second highest military rank among the Riders of Rohan.;Premier Maréchal;;;;;x
title_thirdmarshal;Third Marshal of the Riddermark;Troisième Maréchal;;;Terzo Maresciallo;;x
title_thirdmarshal_desc;The Third Marshal of the Riddermark is the third highest military rank among the Riders of Rohan.;Premier Maréchal;;;;;x
#MORDOR;;;;;;;x
title_masterofslaves;Master of Slaves;Maître des Esclaves;;;Padrone Schiavista;;x
title_masterofslaves_desc;;;;;;;x
title_LieutenantofDolGuldur;Lieutenant of Dol Guldur;Lieutenant de Dol Guldur;;;Luogotenente di Dol Guldur;;x
title_LieutenantofDolGuldur_desc;The Lieutenant of Dol Guldur is one of the most important servants of the Dark Lord, guarding the Fortress of Dol Guldur.;;;;;;x
title_lieutenantofbaraddur;Mouth of Sauron;;;;;;x
