#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
b_pelennor;Pelennor;Pelennor;;;Pelennor;;x
b_pelennor_adj;Pelennorim;Pelennorian;;;Pelennorim;;x
b_azanulbizar-dûm;Azanulbizar-Dûm;Azanulbizar-Dûm;;;Azanulbizar-Dûm;;x
b_azanulbizar-dûm_adj;Azanulbizar-dûmim;Azanulbizar-dûmim;;;Azanulbizar-dûmim;;x
b_kheled-zâram-dûm;Kheled-zâram-dûm;Kheled-zâram-dûm;;;Kheled-zâram-dûm;;x
b_kheled-zâram-dûm_adj;Kheled-zâram-dûmim;Kheled-zâram-dûmim;;;Kheled-zâram-dûmim;;x
b_ered_nimrais;Ered Mindolluin;Ered Mindolluin;;;Ered Mindolluin;;x
b_ered_nimrais_adj;Ered Mindolluinian;Ered Mindolluinian;;;Ered Mindolluinian;;x
b_amon_anwar;Amon Anwar;Amon Anwar;;;Amon Anwar;;x
b_amon_anwar_adj;Amon Anwarian;Amon Anwarian;;;Amon Anwarian;;x
b_sindbar;Sindbar;Sindbar;;;Sindbar;;x
b_sindbar_adj;Sindbarian;Sindbarian;;;Sindbarian;;x
b_dunmardo;Dunmardo;Dunmardo;;;Dunmardo;;x
b_dunmardo_adj;Dunmardoian;Dunmardoian;;;Dunmardoian;;x
b_caranthan;Dol Caranthan;Dol Caranthan;;;Dol Caranthan;;x
b_caranthan_adj;Caranthanian;Caranthanian;;;Caranthanian;;x
b_elena;Elena;Elena;;;Elena;;x
b_elena_adj;Elenaian;Elenaian;;;Elenaian;;x
b_aranelaith;Aranelaith;Aranelaith;;;Aranelaith;;x
b_aranelaith_adj;Aranelaithian;Aranelaithian;;;Aranelaithian;;x
b_herenyand;Herenyand;Herenyand;;;Herenyand;;x
b_herenyand_adj;Herenyandian;Herenyandian;;;Herenyandian;;x
b_celerdain;Celerdain;Celerdain;;;Celerdain;;x
b_celerdain_adj;Celerdainian;Celerdainian;;;Celerdainian;;x
b_beleganor;Beleganor;Beleganor;;;Beleganor;;x
b_beleganor_adj;Beleganorian;Beleganorian;;;Beleganorian;;x
b_telumendil;Telumendil;Telumendil;;;Telumendil;;x
b_telumendil_adj;Telumendilian;Telumendilian;;;Telumendilian;;x
b_haldarie;Haldarie;Haldarie;;;Haldarie;;x
b_haldarie_adj;Haldarieian;Haldarieian;;;Haldarieian;;x
b_imloth_melui;Imloth Melui;Imloth Melui;;;Imloth Melui;;x
b_imloth_melui_adj;Imloth Meluiian;Imloth Meluiian;;;Imloth Meluiian;;x
b_arthor;Arthor;Arthor;;;Arthor;;x
b_arthor_adj;Arthorian;Arthorian;;;Arthorian;;x
b_landor;Landor;Landor;;;Landor;;x
b_landor_adj;Landorian;Landorian;;;Landorian;;x
b_orchaldor;Orchaldor;Orchaldor;;;Orchaldor;;x
b_orchaldor_adj;Orchaldorian;Orchaldorian;;;Orchaldorian;;x
b_pelargir;Pelargir;Pelargir;;;Pelargir;;x
b_pelargir_adj;Pelargirian;Pelargirian;;;Pelargirian;;x
b_minas_imduin;Imduin;Imduin;;;Imduin;;x
b_imduin_adj;Imduinian;Imduinian;;;Imduinian;;x
b_caragost;Caragost;Caragost;;;Caragost;;x
b_caragost_adj;Caragostian;Caragostian;;;Caragostian;;x
b_dol_enedhir;Dol Enedhir;Dol Enedhir;;;Dol Enedhir;;x
b_enedhir_adj;Enedhirian;Enedhirian;;;Enedhirian;;x
b_minas_brethil;Minas Brethil;Minas Brethil;;;Minas Brethil;;x
b_brethil_adj;Brethilian;Brethilian;;;Brethilian;;x
b_calimir;Calimir;Calimir;;;Calimir;;x
b_calimir_adj;Calimirian;Calimirian;;;Calimirian;;x
b_balimur;Loeg Balimur;Loeg Balimur;;;Loeg Balimur;;x
b_balimur_adj;Balimurian;Balimurian;;;Balimurian;;x
b_arnbad;Arnbad;Arnbad;;;Arnbad;;x
b_arnbad_adj;Arnbadian;Arnbadian;;;Arnbadian;;x
b_serni;Serni;Serni;;;Serni;;x
