#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
c_pelennor;Pelennor;Pelennor;;;Pelennor;;x
c_pelennor_adj;Pelennorim;Pelennorim;;;Pelennorim;;x
c_ered_nimrais;Mindolluin;Mindolluin;;;Mindolluin;;x
c_ered_nimrais_adj;Mindolluinian;Mindolluinian;;;Mindolluinian;;x
c_amon_anwar;Amon Anwar;Amon Anwar;;;Amon Anwar;;x
c_amon_anwar_adj;Amon Anwarian;Amon Anwarian;;;Amon Anwarian;;x
c_sindbar;Sindbar;Sindbar;;;Sindbar;;x
c_sindbar_adj;Sindbarim;Sindbarim;;;Sindbarim;;x
c_dunmardo;Dunmardo;Dunmardo;;;Dunmardo;;x
c_dunmardo_adj;Dunmardrim;Dunmardrim;;;Dunmardrim;;x
c_caranthan;Caranthan;Caranthan;;;Caranthan;;x
c_caranthan_adj;Caranthanrim;Caranthanrim;;;Caranthanrim;;x
c_elena;Elena;Elena;;;Elena;;x
c_elena_adj;Elenarim;Elenarim;;;Elenarim;;x
c_aranelaith;Aranelaith;Aranelaith;;;Aranelaith;;x
c_aranelaith_adj;Aranelaithrrim;Aranelaithrrim;;;Aranelaithrrim;;x
c_herenyand;Herenyand;Herenyand;;;Herenyand;;x
c_herenyand_adj;Herenyandrim;Herenyandrim;;;Herenyandrim;;x
c_celerdain;Celerdain;Celerdain;;;Celerdain;;x
c_celerdain_adj;Celerdainrim;Celerdainrim;;;Celerdainrim;;x
c_beleganor;Beleganor;Beleganor;;;Beleganor;;x
c_beleganor_adj;Beleganorim;Beleganorim;;;Beleganorim;;x
c_telumendil;Telumendil;Telumendil;;;Telumendil;;x
c_telumendil_adj;Telumendilrim;Telumendilrim;;;Telumendilrim;;x
c_haldarie;Haldarie;Haldarie;;;Haldarie;;x
c_haldarie_adj;Haldarierim;Haldarierim;;;Haldarierim;;x
c_imloth_melui;Imloth Melui;Imloth Melui;;;Imloth Melui;;x
c_imloth_melui_adj;Imloth Meluirim;Imloth Meluirim;;;Imloth Meluirim;;x
c_arthor;Arthor;Arthor;;;Arthor;;x
c_arthor_adj;Arthorim;Arthorim;;;Arthorim;;x
c_landor;Landor;Landor;;;Landor;;x
c_landor_adj;Landorim;Landorim;;;Landorim;;x
c_orchaldor;Arnach;Arnach;;;Arnach;;x
c_orchaldor_adj;Arnachrim;Arnachrim;;;Arnachrim;;x
c_pelargir;Pelargir;Pelargir;;;Pelargir;;x
c_pelargir_adj;Pelargirim;Pelargirim;;;Pelargirim;;x
c_imduin;Imduin;Imduin;;;Imduin;;x
c_imduin_adj;Imduinrim;Imduinrim;;;Imduinrim;;x
c_caragost;Caragost;Caragost;;;Caragost;;x
c_caragost_adj;Caragostrim;Caragostrim;;;Caragostrim;;x
c_enedhir;Enedhîr;Enedhîr;;;Enedhîr;;x
c_enedhir_adj;Enedhîrim;Enedhîrim;;;Enedhîrim;;x
c_brethil;Brethil;Brethil;;;Brethil;;x
c_brethil_adj;Brethilrim;Brethilrim;;;Brethilrim;;x
c_calimir;Calimir;Calimir;;;Calimir;;x
c_calimir_adj;Calimirim;Calimirim;;;Calimirim;;x
c_balimur;Balimur;Balimur;;;Balimur;;x
c_balimur_adj;Balimurim;Balimurim;;;Balimurim;;x
