#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;;;;;;;;x
k_anorien;Anórien;Anórien;;;Anórien;;;;;;;;;x
k_anorien_adj;Anórienrim;Anórienrim;;;Anórienrim;;;;;;;;;x
k_lebennin;Lebennin;Lebennin;;;Lebennin;;;;;;;;;x
k_lebennin_adj;Lebenninrim;Lebenninien;;;Lebenninrim;;;;;;;;;x
k_belfalas;Dor-en-Ernil;Dor-en-Ernil;;;Dor-en-Ernil;;;;;;;;;x
k_belfalas_adj;Dor-en-Ernilrim;Dor-en-Ernilrim;;;Dor-en-Ernilrim;;;;;;;;;x
k_ithilien;Ithilien;Ithilien;;;Ithilien;;;;;;;;;x
k_ithilien_adj;Ithilienrim;Ithilienien;;;Ithilienrim;;;;;;;;;x
k_fangorn;Fangorn;Fangorn;;;Fangorn;;;;;;;;;x
k_fangorn_adj;Fangornrim;Fangornien;;;Fangornrim;;;;;;;;;x
k_mordor;Mordor;Mordor;;;Mordor;;;;;;;;;x
k_mordor_adj;Mordorian;Mordorien;;;Mordorim;;;;;;;;;x
k_shire;the Shire;Comté;;;Contea;;;;;;;;;x
k_shire_adj;Shire's;Hobbit;;;della Contea;;;;;;;;;x
k_cardolan;Cardolan;Cardolan;;;Cardolan;;;;;;;;;x
k_cardolan_adj;Cardolanian;Cardolanien;;;Cardolanrim;;;;;;;;;x
k_rohan;Rohan;Rohan;;;Rohan;;;;;;;;;x
k_rohan_adj;Rohirrim;Rohir;;;di Rohan;;;;;;;;;x
k_harondor;Harondor;Harondor;;;Harondor;;;;;;;;;x
k_harondor_adj;Harondorim;Harondorien;;;Harondorim;;;;;;;;;x
k_western_isles;Western Isles;Western Isles;;;Western Isles;;;;;;;;;x
k_k_western_isles_adj;Western Islander;Western Islander;;;di Western Islander;;;;;;;;;x
k_void;Void;Void;;;Void;;;;;;;;;x
k_void_adj;Voidlian;Voidlian;;;di Voidlian;;;;;;;;;x
k_andrast;Andrast;Andrast;;;Andrast;;;;;;;;;x
k_andrast_adj;Andrastrim;Andrastien;;;Andrastrim;;;;;;;;;x
k_druwaith_iaur;Druwaith Iaur;Druwaith Iaur;;;Druwaith Iaur;;;;;;;;;x
k_druwaith_iaur_adj;Druwaith Iaurim;Druwaithien;;;Druwaith Iaurim;;;;;;;;;x
k_anfalas;Anfalas;Anfalas;;;Anfalas;;;;;;;;;x
k_anfalas_adj;Anfalasrim;Anfalassien;;;Anfalasrim;;;;;;;;;x
k_lamedon;Lamedon;Lamedon;;;Lamedon;;;;;;;;;x
k_lamedon_adj;Lamedonrim;Lamedonien;;;Lamedonrim;;;;;;;;;x
k_enedwaith;Morbet;Morbet;;;Morbet;;;;;;;;;x
k_enedwaith_adj;Morbetrim;Morbetrim;;;Morbetrim;;;;;;;;;x
k_angren;Angren;Angren;;;Angren;;;;;;;;;x
k_angren_adj;Angrenrim;Angrenrim;;;Angrenrim;;;;;;;;;x
k_elves;Lothlórien;Lothlórien;;;Lothlórien;;;;;;;;;x
k_elves_adj;Lothlórienrim;Lothlórienien;;;Lothlórienrim;;;;;;;;;x
k_harlindon;Harlindon;Harlindon;;;Harlindon;;;;;;;;;x
k_harlindon_adj;Harlindonrim;Harlindonien;;;Harlindonrim;;;;;;;;;x
k_ered_luin;Blue Mountains;Ered Luin;;;Monti Azzurri;;;;;;;;;x
k_ered_luin_adj;Blue Montains';Eredluinien;;;dei Monti Azzurri;;;;;;;;;x
