#PROV;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
PROV1;Pelennor;Pelennor;;;Pelennor;;x
PROV2;Azanulbizar;Azanulbizar;;;Azanulbizar;;x
PROV3;Amon Anwar;Amon Anwar;;;Amon Anwar;;x
PROV4;Sindbar;Sindbar;;;Sindbar;;x
PROV5;Dunmardo;Dunmardo;;;Dunmardo;;x
PROV6;Caranthan;Caranthan;;;Caranthan;;x
PROV7;Elena;Elena;;;Elena;;x
PROV8;Cair Andros;Cair Andros;;;Cair Andros;;x
PROV9;Herenyand;Herenyand;;;Herenyand;;x
PROV10;Celerdain;Celerdain;;;Celerdain;;x
PROV11;Beleganor;Beleganor;;;Beleganor;;x
PROV12;Telumendil;Telumendil;;;Telumendil;;x
PROV13;Haldarie;Haldarie;;;Haldarie;;x
PROV14;Imloth Melui;Imloth Melui;;;Imloth Melui;;x
PROV15;Arthor;Arthor;;;Arthor;;x
PROV16;Landor;Landor;;;Landor;;x
PROV17;Minas Arnach;Minas Arnach;;;Minas Arnach;;x
PROV18;Pelargir;Pelargir;;;Pelargir;;x
PROV19;Imduin;Imduin;;;Imduin;;x
PROV20;Caragost;Caragost;;;Caragost;;x
PROV21;Enedhîr;Enedhîr;;;Enedhîr;;x
PROV22;Brethil;Brethil;;;Brethil;;x
PROV23;Calimir;Calimir;;;Calimir;;x
PROV24;Balimur;Balimur;;;Balimur;;x
PROV25;Arnbad;Arnbad;;;Arnbad;;x
PROV26;Linhir;Linhir;;;Linhir;;x
PROV27;Lindon;Lindon;;;Lindon;;x
PROV28;Daldor;Daldor;;;Daldor;;x
PROV29;Lanthiriath;Lanthiriath;;;Lanthiriath;;x
PROV30;Bar Tumladen;Bar Tumladen;;;Bar Tumladen;;x
PROV31;Bar Lymen;Bar Tumladen;;;Bar Lymen;;x
PROV32;Bar Gilraen;Bar Lymen;;;Bar Gilraen;;x
PROV33;Lanrain;Bar Gilraen;;;Lanrain;;x
PROV34;Naur Amrûn;Naur Amrûn;;;Naur Amrûn;;x
PROV35;Anghabar;Anghabar;;;Anghabar;;x
