#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTDESC1033;Wealth didn't make me happy, nor did respect.;L'argent n'a jamais fait mon bonheur, pas plus que le respect.;Geld brachte mir weder Glück noch Respekt ein.;;El dinero no me ha hecho feliz, ni tampoco el respeto.;;;;;;;;;x
EVTOPTA1034;Diligence is exhausting!;L'assiduité est peut-être une vertu, mais c'est épuisant !;Fleiß mag ja eine Tugend sein, aber es ist anstrengend!;;¡La diligencia será una virtud, pero cansa!;;;;;;;;;x
EVTDESC1038;Forgiveness is overrated.;Je commence à penser qu'il est stupide de 'tendre l'autre joue'.;Ich bekomme mehr und mehr das Gefühl, dass 'die andere Wange hinhalten' ziemlich dämlich ist.;;He empezado a creer que 'poner la otra mejilla' es estúpido.;;;;;;;;;x
EVTOPTA1038;None shall escape my judgement!;Œil pour œil !;Auge um Auge, Zahn um Zahn!;;¡Ojo por ojo!;;;;;;;;;x
EVTDESC1053;I've learned that the other peoples of this Middle-Earth are not so different from my own.;Mon sujet favori ne m'intéresse plus. Je ne parviens plus à en parler avec le même zèle qu'autrefois.;Mein Lieblingsthema interessiert mich nicht mehr. Ich kann einfach nicht mehr mit demselben Eifer wie früher darüber reden.;;Mi tema favorito ya no me interesa y no hablo de él con el mismo fervor que antes.;;;;;;;;;x
EVTOPTA1053;I was a fool.;Avant, j'étais barbant(e) !;Ich war früher langweilig;;Antes estaba aburrido;;;;;;;;;x
EVTDESC1521;My [GetFromRelation] [From.GetTitledFirstName] won't have me turn into a 'mean and selfish little troll'.;Mon(Ma) [GetFromRelation] [From.GetTitledFirstName] ne veut pas me voir devenir quelqu'un de 'pingre, méchant et égoïste'.;[GetFromRelation] [From.GetTitledFirstName] will nicht, dass ich zu einem 'gemeinen, selbstsüchtigen kleinen Geldgeier' werde.;;Mi [GetFromRelation] [From.GetTitledFirstName] no permitirá que me convierta en un 'mezquino y egoísta amante del dinero'.;;;;;;;;;x
EVTDESC1540;I hate Quenya, I hate History and I won't do my homework!;Je hais le latin, je déteste l'histoire et je n'ai pas envie de faire mes devoirs !;Ich hasse Latein, ich hasse Geschichte, und ich werde meine Hausaufgaben nicht machen!;;¡Odio el latín, odio la historia y no haré los deberes!;;;;;;;;;x
EVTDESC1560;It's not fair, even common children have nicer things than I do!;Ce n'est pas juste, même les enfants de paysans ont de plus belles choses que moi !;Es ist nicht gerecht, selbst Bauernkinder haben schönere Sachen als ich!;;¡No es justo, hasta los hijos de campesinos hacen cosas más divertidas que yo!;;;;;;;;;x
EVTDESC1561;My [GetFromRelation] gave me a stern talking to about the deadly vice of envy.;J'ai eu droit à une sévère mise en garde de mon(ma) [GetFromRelation] sur le péché mortel qu'est l'envie.;[GetFromRelation] hielt mir eine Standpauke über die Todsünde Neid.;;Mi [GetFromRelation] me habló con severidad del pecado mortal de la envidia.;;;;;;;;;x
EVTDESC1601;Today, my [GetFromRelation] [From.GetFirstName] called me an arrogant braggart and told me the story of [Root.Religion.GetRandomEvilGodName] and the Music.;Aujourd'hui, mon(ma) [GetFromRelation], [From.GetFirstName], m'a traité(e) d'arrogant(e) et de vantard(e), et m'a raconté l'histoire d'Icare et Dédale.;Heute nannte mich [GetFromRelation] [From.GetFirstName] einen arroganten Angeber und erzählte mir die Geschichte von Dädalus und Ikarus.;;Hoy mi [GetFromRelation] [From.GetFirstName] me ha llamado fanfarrón arrogante y me ha contado la historia de Icaro y Dédalo.;;;;;;;;;x
EVTDESC1630;I find stories of [Root.Religion.GetRandomGodName] fascinating, especially when the priests talk of the followers of [Root.Religion.GetRandomEvilGodName], and how they shall be struck down!;La religion me fascine, surtout quand les prêtres parlent de païens et d'infidèles, et expliquent comment les terrasser !;Ich finde Religion faszinierend, besonders, wenn die Priester von Heiden und Ungläubigen sprechen, und wie sie zerschmettert werden sollen!;;¡La religión me parece fascinante, especialmente cuando los curas hablan de paganos e infieles y de cómo serán castigados!;;;;;;;;;x
