#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LEDGER_SORT_DELAYED;?Click to sort using this column?;?Cliquez pour trier cette colonne?;?Zum Sortieren nach dieser Spalte hier klicken?;;?Clic para ordenar usando esta columna?;;;;;;;;;x
show_true_humility;Showed his true Humility;a prouv?son humilit?Zeigte seine wahre Ergebenheit;;Ha mostrado su aut?tica humildad;;;;;;;;;x
shown_true_humility;Likes our Humility;admire notre humilit?Mag unsere Ergebenheit;;Aprecia nuestra humildad;;;;;;;;;x
talent_recognized;Recognizes my talent;reconna? mon talent;Erkennt mein Talent;;Reconoce mi talento;;;;;;;;;x
slothful_ruler;Slothful Ruler;Souverain paresseux;Fauler Herrscher;;Gobernante perezoso;;;;;;;;;x
nick_the_lisp_and_lame;the Lisp and Lame;le B?ue boiteux;die Lispelnden und die Lahmen;;el Tartamudo y Cojo;;;;;;;;;x
ANY_WARD_STARTS;Any ward;N'importe quel garde;Jeder Bezirk;;Cualquier sala;;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;Cannot usurp this title before §$DATE$§!;Vous ne pouvez pas usurper ce titre avant le §$DATE$§!;Kann sich diesen Titel nicht vor §$DATE$§! aneignen;;?o es posible usurpar este t?ulo antes de §$DATE$§!;;;;;;;;;x
fair;Attractive;Int?essant;Attraktiv;;Atractivo;;;;;;;;;x
c_grassland_cheremisa_adj;Kerzhenetsian;Kerjenetsienne;Kerzhenetsianisch;;Kerzhenetsiano;;;;;;;;;x
c_mountain_cheremisa_adj;Cheremisan;Tch??isse;Cheremisanisch;;Cheremisano;;;;;;;;;x
#PROV589;Kerzhenets;Kerjenets;Kerzhenets;;Kerzhenets;;;;;;;;;x
#PROV591;Cheremisa;Tch??isse;Cheremisa;;Cheremisa;;;;;;;;;x
black_honor;Breaking Feudal Obligations;Contrevenir aux devoirs f?daux;Lehensverpflichtungen nicht erf?len;;Rompiendo las Obligaciones Feudales;;;;;;;;;x
EVTOPTF40020;Expose the assassins employer!;D?oiler le commanditaire des assassins !;Entlarvt den Auftraggeber des Attent?ers!;;?xponer al empleador de los asesinos!;;;;;;;;;x
EVTTOOLTIP40026;will be exposed as an employer of assassins.;sera d?oil?en tant que Commanditaire des assassins.;wird als ein Auftraggeber von Attent?ern entlarvt werden.;;ser?expuesto como empleador de asesinos.;;;;;;;;;x
EVTDESC40026;Not only was our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proof to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;Ils ont mis la main sur notre assassin et celui-ci a os?r??er que nous ?ions derri?e tout cela. [From.GetBestName] prouve maintenant aux gens de [Root.PrimaryTitle.GetFullName] que nous avons bris?notre contrat f?dal avec un vassal.;Nicht nur, dass unser Attent?er entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen w?den.   Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen h?ten. ;;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que est?amos detr? de ?. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;;;;;;;;;x
EVTOPTA40026;This is bad news...;Cela ne me dit rien qui vaille?Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x
deceitful_martial;Appearing Martial;Soi-disant brave;Kriegerisch erscheinend;;Aspecto Marcial;;;;;;;;;x
deceitful_stewardship;Faking Stewardship;Intendance fourbe;Den Hofverwalter vort?schend;;Fingir actuar en su beneficio;;;;;;;;;x
deceitful_diplomacy;Appearing Diplomatic;Soi-disant diplomatique;Diplomatisch erscheinend;;Aspecto Diplom?ico;;;;;;;;;x
deceitful_learning;Faking Learning;Apprentissage fourbe;Das Lernen vort?schend;;Fingir Aprendizaje;;;;;;;;;x
EVTDESC3260;I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a soldier. Luckily, I know how to manipulate people...;Je ne suis pas le plus brave des Suzerains, parfois m?e je semble ?re incapable de me conduire en chevalier. Heureusement, je sais comment manipuler les gens?Ich bin nicht der kriegerischste aller Herrscher und manchmal scheint es so, als w?e ich geradezu unf?ig, wenn es darum geht, mich wie ein Ritter zu benehmen.  Zum Gl?k verstehe ich es, Menschen zu manipulieren ...;;No soy el m? marcial de los gobernantes y a veces parezco incluso incompetente a la hora de comportarme como un caballero. Por suerte, se como manipular a la gente...;;;;;;;;;x
EVTOPTA3260;Talk the talk and Talk the talk..;Parler pour parler et parler pour parler?Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3260;Let [Root.job_marshal.GetTitledFirstName] get the blame.;Laisser [Root.job_marshal.GetTitledFirstName] endosser la responsabilit?;Lasst [Root.job_marshal.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_marshal.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3261;I simply can't keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.;Je ne peux plus g?er les affaires quotidiennes de mon domaine. Je compte sur les autres, mais je les manipule ?alement pour qu'ils pensent que c'est moi qui accomplis les t?hes les plus difficiles.;Ich schaffe es einfach nicht, die t?lichen Gesch?te meines Landsitzes zu bew?tigen.  Ich verlasse mich auf andere, manipuliere sie aber, so dass sie glauben, ich w?de die schwierigeren Dinge erledigen. ;;No puedo seguir encarg?dome de los asuntos diarios de mis dominios. Delego en otros, pero les hago creer que yo me encargo de la parte m? dif?il.;;;;;;;;;x
EVTOPTA3261;Talk the talk and Talk the talk..;Parler pour ne rien dire, mais parler?Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3261;Let [Root.job_treasurer.GetTitledFirstName] get the hard work.;Laisser [Root.job_treasurer.GetTitledFirstName] s'occuper des t?hes difficiles.;Lasst [Root.job_treasurer.GetTitledFirstName] die harte Arbeit erledigen.;;Dejar que [Root.job_treasurer.GetTitledFirstName] haga el trabajo duro.;;;;;;;;;x
EVTDESC3262;Sometimes the niceties of diplomacy pass me by and I am put in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.;Parfois, les subtilit? de la diplomatie m'?happent et me mettent dans de f?heuses situations. Par contre, en manipulant minutieusement ma Cour, j'ai r?ssi ?persuader les courtisans d'endosser la responsabilit??ma place lorsque les choses se corsent.;Manchmal fehlt es mir an Feingef?l f? die Diplomatie, was mich in unbeholfene Situationen bringt. Wie auch immer, durch sorgf?tige Manipulation meines Hofstaats konnte ich es bewerkstelligen, dass meine H?linge stets die Schuldigen sind, wenn die Dinge schlecht stehen. ;;A veces las sutilezas de la diplomacia me superan y me encuentro en situaciones inc?odas. Sin embargo, gracias a mi cuidadosa manipulaci? de la corte, consigo que mis cortesanos carguen con la culpa cuando las cosas salen mal.;;;;;;;;;x
EVTOPTA3262;They serve me after all..;Ils me servent apr? tout?Sie dienen mir am Ende doch ...;;Al fin y al cabo me sirven?;;;;;;;;x
EVTOPTB3262;Let [Root.job_chancellor.GetTitledFirstName] get the blame.;Laisser [Root.job_chancellor.GetTitledFirstName] endosser la responsabilit?;Lasst [Root.job_chancellor.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_chancellor.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3263;I am not a bookish person and if it weren't for some careful comments in some discussions this would become obvious to my court.;Je ne suis pas une personne livresque, et si ce n'?ait quelques interventions prudentes dans certaines discussions, ce serait maintenant ?ident aux yeux de ma Cour.;Ich bin keine sonderlich gelehrte Person und wenn es nicht nur ein paar vorsichtige Bemerkungen in einigen, wenigen Diskussionen w?en, h?te sich dies meinem Hofstaate l?gst offenbart. ;;No soy una persona ilustrada y, si no fuera por algunos comentarios cuidadosos en ciertas conversaciones, ser? obvio para mi corte.;;;;;;;;;x
EVTOPTA3263;Talk the talk and Talk the talk..;Parler pour ne rien dire, mais parler?Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName] is not happy with it.;Cela ne pla? pas ?[Root.job_spiritual.GetTitledFirstName].;[Root.job_spiritual.GetTitledFirstName] ist nicht gl?klich damit. ;;[Root.job_spiritual.GetTitledFirstName] no est?contento con ello.;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC73200;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_marshal.GetTitledFirstName] as [Root.Liege.GetHerHis] marshal. I am more competent and would be a better marshal!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_marshal.GetTitledFirstName] en tant que Mar?hal. Je suis plus comp?ent et ferais un bien meilleur Mar?hal !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_marshal.GetTitledFirstName] als [Root.Liege.GetHerHis] Marschall einstellt. Ich verf?e ?er mehr Kompetenz und w?e ein besserer Marschall!;;Es una l?tima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_marshal.GetTitledFirstName] como Mariscal. ?o soy m? competente y ser? mejor Mariscal!;;;;;;;;;x
EVTOPTA73200;I will petition my liege!;Je d?oserai une requ?e aupr? de mon Seigneur !;Ich werde meinen Lehensherren darum ersuchen!;;?o solicitar?a mi se?r!;;;;;;;;;x
EVTTOOLTIP73201;will listen to our petition and hopefully make a wise choice;?outera notre requ?e. Esp?ons une sage d?ision.;wird unser Gesuch anh?en und hoffentlich eine weise Entscheidung treffen;;escuchar?nuestra petici? y si dios quiere tomar?una sabia decisi?.;;;;;;;;;x
EVTDESC73201;[From.GetBestName] claims that [From.GetSheHe] would be a better marshal than [Root.job_marshal.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Marshal of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] pr?end qu'[From.GetSheHe] ferait un meilleur Mar?hal que [Root.job_marshal.GetTitledFirstName], et r?lame le titre de Mar?hal de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe]ein besserer Marschall als [Root.job_marshal.GetTitledFirstName] w?e und ersucht darum, dass [From.GetSheHe] den Titel des Marschalls von [Root.PrimaryTitle.GetFullName] erhalten m?e.;;[From.GetBestName] afirma que [From.GetSheHe] ser? mejor Mariscal que [Root.job_marshal.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el t?ulo de Mariscal de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73201;[From.GetSheHeCap] is now my new Marshal;[From.GetSheHeCap] est d?ormais mon nouveau Mar?hal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;Ahora [From.GetSheHe] es mi nuevo Mariscal;;;;;;;;;x
EVTOPTB73201;Give [Root.job_marshal.GetFirstName] a chance!;Donner ?[Root.job_marshal.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_marshal.GetFirstName] eine Chance, sich zu beweisen;;Dar a [Root.job_marshal.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73202;will hear of our patience.;entendra parler de notre patience.;wird von unserer Geduld h?en.;;sabr?de nuestra paciencia.;;;;;;;;;x
EVTOPTC73201;I rule in the [Root.PrimaryTitle.GetFullName]!;Je r?ne sur [Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;?o gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73202;My liege [From.GetBestName] is not entirely happy with our performance as Marshal of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;Mon Seigneur [From.GetBestName] n'est pas satisfait de nos exploits en tant que Mar?hal de [Root.PrimaryTitle.GetFullName] et songe ?nous remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu gl?klich mit unserer Leistung als Marschall von [Root.PrimaryTitle.GetFullName] und erw?t, uns zu ersetzen ...;;Mi se?r [From.GetBestName] no est?del todo satisfecho con nuestro rendimiento como Mariscal de [Root.PrimaryTitle.GetFullName] y est?considerando sustituirnos...;;;;;;;;;x
EVTOPTA73202;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;?ebo probar mi val?!;;;;;;;;;x
EVTOPTB73202;What can I do?;Que puis-je faire ?;Was kann ich tun?;;?u?puedo hacer?;;;;;;;;;x
EVTDESC73203;Enough time has passed, I deserve to become Marshal of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coul?sous les ponts ! Je m?ite de devenir Mar?hal de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conf?era ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Marschall von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Mariscal de [Root.PrimaryTitle.GetFullName] ? [Root.Liege.GetTitledFirstName] lo har?;;;;;;;;;x
EVTOPTA73203;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa r?onse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]Antwort. ;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTTOOLTIP73204;will listen to our petition and hopefully make a wise choice;?outera notre requ?e. Esp?ons une sage d?ision.;wird unser Gesuch anh?en und hoffentlich eine weise Entscheidung treffen.;;escuchar?nuestra petici? y si dios quiere tomar?una sabia decisi?.;;;;;;;;;x
#EVTDESC73204;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Marshal of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;J'ai promis ?[From.GetBestName] qu'[From.GetSheHe] aurait une chance de devenir Mar?hal de [Root.PrimaryTitle.GetFullName]. [From.GetSheHe] a r?t??sa requ?e.;Ich versprach [From.GetBestName], dass [From.GetSheHe] eine Chance bek?e, Marschall von [Root.PrimaryTitle.GetFullName] zu werden. Nun ersucht  [From.GetSheHe] mich erneut darum.;;Le promet?a [From.GetBestName] que le dar? una oportunidad para convertirse en Mariscal de [Root.PrimaryTitle.GetFullName]. Ahora [From.GetSheHe] vuleve a ped?melo.;;;;;;;;;x
EVTOPTA73204;[From.GetSheHeCap] is now my new Marshal;[From.GetSheHeCap] est d?ormais mon nouveau Mar?hal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;[From.GetSheHeCap] es ahora mi nuevo Mariscal;;;;;;;;;x
