#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
REL_CAPTOR;Captor;Capteur;Eroberer;;Captor;;;;;;;;;x
PALACE_NAME;Ships of House $DYNASTY$;Palais de $DYNASTY$;$DYNASTY$-Palast;;Palacio de $DYNASTY$;;;;;;;;;x
family_palace;Fleet;Palais;Palast;;Palacio;;;;;;;;;x
family_palace_baron;Lord Admiral;Patricien;Patrizier;;Patricio;;;;;;;;;x
family_palace_baron_female;Lady Admiral;Dame;Lady;;Se?ora;;;;;;;;;x
family_palace_barony_of;Fleet of;Palais de;Palast von;;Palacio de;;;;;;;;;x
family_palace_baron_foa;My Lord;Sire;Sir;;Se?or;;;;;;;;;x
family_palace_baron_deed;Command of;Chaire de;Sitz von;;Consejo de;;;;;;;;;x
fp_mansion_1;Admiral's Staff;Manoir;Herrenhaus;;Mansi?n;;;;;;;;;x
fp_mansion_2;Vessel Stewardships;Grand manoir;Gro?es Herrenhaus;;Gran Mansi?n;;;;;;;;;x
fp_mansion_3;Haven Administration;Palais;Palast;;Palacio;;;;;;;;;x
fp_mansion_4;Code of the Armada;Grand palais;Herrschaftlicher Palast;;Gran Palacio;;;;;;;;;x
fp_barracks_1;Swordships;Caserne de la Garde;Kasernen der Wache;;Barracones de la Guardia;;;;;;;;;x
fp_barracks_2;Haven Guard Swanship;Fabricant d'?p?es;Schwertschmied;;Herrero;;;;;;;;;x
fp_barracks_3;Elvenhost Barge;Armurerie;R?stkammer;;Armer?a;;;;;;;;;x
fp_stable_1;Siege Galleys;Petite ?curie;Kleiner Stall;;Establo Peque?o;;;;;;;;;x
fp_stable_2;Ballista Parapets;Man?ge;Reitpl?tze;;Campos de Monta;;;;;;;;;x
fp_stable_3;Trebuchet Warbarge;?leveur de chevaux;Pferdez?chter;;Criador de Caballos;;;;;;;;;x
fp_bowyer_1;Arrow Ships;Facteur d'arcs;Bogenbauer;;Fabricante de Arcos;;;;;;;;;x
fp_bowyer_2;Archery Towers;Champ de tir;Ziel?bungsplatz;;Campo de Tiro;;;;;;;;;x
fp_bowyer_3;Seaborne Wardenhost;Fabrique d'arbal?tes;Armbrust-Werkstatt;;Taller de Ballestas;;;;;;;;;x
fp_shipyard_1;Swanship Fleet;Salle des cartes;Kartenraum;;Sala de Mapas;;;;;;;;;x
fp_shipyard_2;Palarist Warships;Chantier naval priv?;Private Werft;;Astillero Privado;;;;;;;;;x
fp_shipyard_3;Celebrist Warships;Arsenal de la marine;Marine-Waffenlager;;Arsenal Naval;;;;;;;;;x
fp_warehouse_1;Cargo Ships;D?p?t militaire;Milit?risches Lagerhaus;;Almac?n Militar;;;;;;;;;x
fp_warehouse_2;Merchant Fleet;Archives du palais;Palast-Archiv;;Archivo de Palacio;;;;;;;;;x
fp_warehouse_3;Elven Galleons;Administration;Verwaltungsb?ro;;Oficina Administrativa;;;;;;;;;x
fp_garden_1;Admiral's Swanship;Jardins du palais;Palastgarten;;Jard?n de Palacio;;;;;;;;;x
fp_garden_2;Grand Flagship;?tang pittoresque;Malerischer Teich;;Estanque Pintoresco;;;;;;;;;x
fp_garden_3;Royal Flagship;Labyrinthe;Hecken-Labyrinth;;Laberinto;;;;;;;;;x
fp_cellar_1;Wine Stores;Cave ? vin;Weinkeller;;Bodega;;;;;;;;;x
fp_cellar_2;Royal Kitchens;Catacombes;Katakomben;;Catacumbas;;;;;;;;;x
fp_cellar_3;Grand Gallery;Cachots;Kerkerkomplex;;Complejo de Calabozos;;;;;;;;;x
