#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
KING;King;Roi;;;Re;;x
QUEEN;Queen;Reine;;;Regina;;x
KING_OF;Kingdom of;Royaume de;;;Regno di;;x
HIGH_KING;High-King;Haut-Roi;;;Alto Re;;x
HIGH_QUEEN;High-Queen;Haute-Reine;;;Alta Regina;;x
MILLER;Miller;Meunier;;;Fattore;;x
HOUSEKEEPER;Housekeeper;Gouverneur;;;Massaia;;x
FIELDS_OF;Fields of;Champs de;;;Campi di;;x
DARK_LORD;Dark Lord;Seigneur Noir;;;Oscuro Signore;;x
DARK_QUEEN;Dark Queen;Reine Noire;;;Oscura Signora;;x
SCOURGE_OF;Scourge of;Désolation de;;;Devastazioni di;;x
STEWARDESS;Stewardess;Intendante;;;Sovrintendessa;;x
STEWARD;Steward;Intendant;;;Sovrintendente;;x
CHIEFTAIN;Chieftain;Chef de Clan;;;Capitano;;x
CHIEFTAIN_FOA;My Chieftain;Mon Chef;;;Mio Capitano;;x
KING_TAR;King Tar-;Roi Tar-;;;Re Tar-;;x
QUEEN_TAR;Queen Tar-;Reine Tar-;;;Regina Tar-;;x
LORD;Lord;Seigneur;;;Signore;;x
LORD_OF;Lordship of;Seigneurie de;;;Signoria di;;x
LADY;Lady;Dame;;;Dama;;x
LAND_OF;Lands of;Terres de;;;Terre di;;x
LORD_FOA;My Lord;Monseigneur;;;Mio Signore;;x
AR;Âr-;Âr-;;;Âr-;;x
HALLS_OF;Halls of;Salles de;;;Sale di;;x
PASTURES_OF;Pastures of;Pâturages de;;;Pascoli di;;x
MANSION_OF;Mansion of;Manoir de;;;Magione di;;x
WOODS_OF;Woods of;Bois de;;;Boschi di;;x
GARDENS_OF;Gardens of;Jardins de;;;Giardini di;;x
DEEPS_OF;Deeps of;Profondeurs de;;;Profondità di;;x
BARRACKS_OF;Barracks of;Forges de;;;Forge di;;x
WOOD_OF;Wood of;Bois de;;;Bosco di;;x
FOREST_OF;Forest of;Forest de;;;Foresta di;;x
VALE_OF;Vale of;Val de;;;Valle di;;x
BEARER;Bearer;;;;;;x
BEARER_OF;the One Ring;;;;;;x
MASTER;Master;;;;;;x
MISTRESS;Mistress;;;;;;x
MAYOR;Mayor;;;;;;x
MAYORESS;Mayoress;;;;;;x
MAYOR_OF;Office of;;;;;;x
DISTRICT_OF;District of;;;;;;x
