#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ct_Awall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Awall_2;Low Stone Wall;Muret de pierre;;;;;x  
ct_Awall_3;Stone Wall;Hauts murs;;;;;x  
ct_Awall_4;Large Stone Wall;Murs larges;;;;;x  
ct_Awall_5;Massive Stone Wall;Murs massifs;;;;;x
ct_Awall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ct_Awall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ct_Awall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Awall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Awall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Awatchtower_1;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_2;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_3;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_4;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_5;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_6;Watchtower;Tour de garde;;;;;x
ct_Awatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
ct_Abarracks_1;Barracks;Baraquements;;;;;x
ct_Abarracks_2;Barracks;Baraquements;;;;;x
ct_Abarracks_3;Barracks;Baraquements;;;;;x
ct_Abarracks_4;Barracks;Baraquements;;;;;x
ct_Abarracks_5;Barracks;Baraquements;;;;;x
ct_Abarracks_6;Barracks;Baraquements;;;;;x
ct_Abarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;x
ct_Atownmilitia_1;Town Militia;Milice urbaine;;;;;x
ct_Atownmilitia_2;Town Militia;Milice urbaine;;;;;x
ct_Atownmilitia_3;Town Militia;Milice urbaine;;;;;x
ct_Atownmilitia_4;Town Militia;Milice urbaine;;;;;x 
ct_Atownmilitia_5;Town Militia;Milice urbaine;;;;;x
