#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ct_Vwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Vwall_2;Low Stone Wall;Muret de pierre;;;;;x 
ct_Vwall_3;Stone Wall;Hauts murs;;;;;x
ct_Vwall_4;Large Stone Wall;Murs larges;;;;;x; 
ct_Vwall_5;Massive Stone Wall;Murs massifs;;;;;;x
ct_Vwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;x
ct_Vwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;x
ct_Vwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;x
ct_Vwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;x
ct_Vwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;x
ct_Vwatchtower_1;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_2;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_3;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_4;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_5;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_6;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;x
ct_Vbarracks_1;Barracks;Baraquements;;;;;;x
ct_Vbarracks_2;Barracks;Baraquements;;;;;;x
ct_Vbarracks_3;Barracks;Baraquements;;;;;;x
ct_Vbarracks_4;Barracks;Baraquements;;;;;;x
ct_Vbarracks_5;Barracks;Baraquements;;;;;;x
ct_Vbarracks_6;Barracks;Baraquements;;;;;;x
ct_Vbarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;;x
ct_Vtownmilitia_1;Town Militia;Milice urbaine;;;;;;x
ct_Vtownmilitia_2;Town Militia;Milice urbaine;;;;;;x
ct_Vtownmilitia_3;Town Militia;Milice urbaine;;;;;;x
ct_Vtownmilitia_4;Town Militia;Milice urbaine;;;;;x;; 
ct_Vtownmilitia_5;Town Militia;Milice urbaine;;;;;;x
ct_Vtownmilitia_6;Town Militia;Milice urbaine;;;;;x;; 
ct_Vtownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;;x
ct_Vguard_1;City Guard;Garde de la cité;;;;;x;; 
ct_Vguard_2;City Guard;Garde de la cité;;;;;x;; 
ct_Vguard_3;City Guard;Garde de la cité;;;;;x;; 
ct_Vguard_4;City Guard;Garde de la cité;;;;;x;; 
ct_Vguard_5;City Guard;Garde de la cité;;;;;x;; 
ct_Vguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;;x
ct_Vmarketplace_1;Marketplace;Marché;;;;;;x
ct_Vmarketplace_2;Marketplace;Marché;;;;;;x
ct_Vmarketplace_3;Marketplace;Marché;;;;;;x
ct_Vmarketplace_4;Marketplace;Marché;;;;;;x
ct_Vmarketplace_5;Marketplace;Marché;;;;;;x
ct_Vmarketplace_6;Marketplace;Marché;;;;;;x
ct_Vmarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;;x
ct_Vport_1;Port;Port;Hafen;Puerto;;;;x
ct_Vport_2;Port;Port;Hafen;Puerto;;;;x
ct_Vport_3;Port;Port;Hafen;Puerto;;;;x
ct_Vport_4;Port;Port;Hafen;Puerto;;;;x
ct_Vport_5;Port;Port;Hafen;Puerto;;;;x
ct_Vport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen.;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;x
ct_Vshipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;x
ct_Vshipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;x
ct_Vshipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;x
ct_Vshipyard_4;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;x
ct_elvenherborist_1;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_2;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_3;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_desc;From spices to medicinal herbs, Elves know how to use nature's gift in many ways.;Des épèces aux herbes médicinales, les Elfes savent utiliser les dons de la nature de nombreuses façons.;;;;;;x
ct_grey_havens;The Grey Havens;Les Havres Gris;;;;;;x
ct_grey_havens_desc;Grey Havens, or Mithlond, is an Elvish port on the Gulf of Lune in the Elven realm of Lindon. It was founded at the beginning of the Second Age by the surviving Elves of Beleriand and It's one of the main sources for the Elves to leave Middle-earth for Valinor. Grey Havens's anchorage is divided into Harlond, the South-haven, Forlond, the North-haven, which occupy the southern and northern banks, respectively, of the River Lune.;;;;;;;x
ct_edhellond_ruins;Ruins of Edhellond;;;;;;;x
ct_edhellond_ruins_desc;Edhellond is an ancient harbour in southern Gondor, founded before the end of the First Age by Elven remnants of Doriath. The harbour is located at the mouth of the rivers Ringló and Blackroot, where they flow into Cobas Haven just over twenty-five miles northeast of Dol Amroth.;;;;;;;x
ct_edhellond;Great Port of Edhellond;;;;;;;;;x
ct_edhellond_desc;Edhellond is an ancient harbour in southern Gondor, founded before the end of the First Age by Elven remnants of Doriath. The harbour is located at the mouth of the rivers Ringló and Blackroot, where they flow into Cobas Haven just over twenty-five miles northeast of Dol Amroth.;;;;;;;x
ct_stone_hapless;The Stone of the Hapless;;;;;;;;;x
ct_stone_hapless_desc;The Stone of the Hapless was a hallowed stone on the banks of the Teiglin and later Tol Morwen and was a memorial to Túrin Turambar and Nienor Níniel, and to Morwen their mother. It was large and tall, and was located near the brink of the Cabed Naeramarth, the place where Túrin and Nienor had lost their lives.;;;;;;x
