#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Iwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_Iwall_1_desc;A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long, it surrounds the village and is considered a little obstacle for the besiegers.;Cette Palisade en bois qui entoure la cité est un obstacle à franchir pour les attaquants.;;;;;;;x
ca_pukel_men;Púkel-men;Púkel-men;;;;;x
ca_pukel_men_desc;The Drúedain carved stone statues in their image, which according to the legend, are able to protect their territories and are endowed with magical powers. Their enemies were said to be wary when passing one, preferring to take another route.;Les Druedain ont sculpté de grossières statues de pierre à leur image, qui selon la légende, sont capables de protéger leurs territoires et sont dotés de pouvoirs magiques. Leurs ennemis se méfient lorsqu'ils en croisent une, et préfèrent emprunter un autre chemin.;;;;;;;x;;;;;;;;;
ca_Ikeep_1;Huts;Huttes;;;;;x
ca_Ikeep_1_desc;These huts are primitive dwellings, which may be constructed of various local materials, and represent the main "form" of home for these peoples. Huts are built of readily available materials such as wood, stone, grass, branches, fabric or mud using techniques passed down through the generations.;Ces huttes permettent d'accueillir plus de monde.;;;;;x
ca_Imilitia_barracks_1;Hunting Workshop;Chasseurs cueilleurs;;;;;x
ca_Imilitia_barracks_1_desc;The Hunting Workshop is a place where the hunters of the village supply of weapons and traps for hunting. It is also used by common people to get supplies of food and for the bartering of small objects or animals.;Les chasseurs cueilleurs ont des armes primitives pour suppléer aux besoins de la cité.;;;;;x
ca_Icastleguards_1;Hunters Lodge;Chasseurs de gros gibier;;;;;x 
ca_Icastleguards_1_desc;The Hunters Lodge is a place where best hunters among this peoples gather. It also carries out the function of providing weapons, traps, instruments and the training for hunting or for the defense of the village.;Les chasseurs de gros gibier ont des lances primitives afin de tuer des animaux comme les sangliers ou les ours.;;;;;x
ca_Itown_1;Basketry Workshop;Vannerie;;;;;x
ca_Itown_1_desc;This Basketry Workshop provides baskets and various ornaments made of wicker, straw and wood for Drúedain and for some curious foreign merchants.;La vannerie permet de fabriquer des objets pour le peuple drúedain, mais aussi pour quelques curieux marchands extérieurs.;;;;;x
ct_Iwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Iwall_1_desc;A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long, it surrounds the village and is considered a little obstacle for the besiegers.;Cette Palisade en bois qui entoure la cité est un obstacle à franchir pour les attaquants.;;;;;;;x
ct_pukel_men;Púkel-men;Púkel-men;;;;;x
ct_pukel_men_desc;The Drúedain carved stone statues in their image, which according to the legend, are able to protect their territories and are endowed with magical powers. Their enemies were said to be wary when passing one, preferring to take another route.;Les Druedain ont sculpté de grossières statues de pierre à leur image, qui selon la légende, sont capables de protéger leurs territoires et sont dotés de pouvoirs magiques. Leurs ennemis se méfient lorsqu'ils en croisent une, et préfèrent emprunter un autre chemin.;;;;;;;x;;;;;;;;;
ct_Ikeep_1;Huts;Huttes;;;;;x
ct_Ikeep_1_desc;These huts are primitive dwellings, which may be constructed of various local materials, and represent the main "form" of home for these peoples. Huts are built of readily available materials such as wood, stone, grass, branches, fabric or mud using techniques passed down through the generations.;Ces huttes permettent d'accueillir plus de monde.;;;;;x
ct_Imilitia_barracks_1;Hunting Workshop;Chasseurs cueilleurs;;;;;x
ct_Imilitia_barracks_1_desc;The Hunting Workshop is a place where the hunters of the village supply of weapons and traps for hunting. It is also used by common people to get supplies of food and for the bartering of small objects or animals.;Les chasseurs cueilleurs ont des armes primitives pour suppléer aux besoins de la cité.;;;;;x
ct_Icastleguards_1;Hunters Lodge;Chasseurs de gros gibier;;;;;x
ct_Icastleguards_1_desc;The Hunters Lodge is a place where best hunters among this peoples gather. It also carries out the function of providing weapons, traps, instruments and the training for hunting or for the defense of the village.;Les chasseurs de gros gibier ont des lances primitives afin de tuer des animaux comme les sangliers ou les ours.;;;;;x
ct_Itown_1;Basketry Workshop;Vannerie;;;;;x
ct_Itown_1_desc;This Basketry Workshop provides baskets and various ornaments made of wicker, straw and wood for Drúedain and for some curious foreign merchants.;La vannerie permet de fabriquer des objets pour le peuple drúedain, mais aussi pour quelques curieux marchands extérieurs.;;;;;x
tb_Iwall_1;Wooden Palisade;Palisade en bois;;;;;x
tb_pukel_men;Púkel-men;Púkel-men;;;;;x
tb_Ikeep_1;Huts;Huttes;;;;;x
tb_Imilitia_barracks_1;Hunting Workshop;Chasseurs cueilleurs;;;;;x
tb_Icastleguards_1;Hunters Lodge;Chasseurs de gros gibier;;;;;x 
tb_Itown_1;Basketry Workshop;Vannerie;;;;;x







