#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Hwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Hwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ct_Hwall_3;Stone Wall;Hauts murs;;;;;x  
ct_Hwall_4;Large Stone Wall;Murs larges;;;;;x  
ct_Hwall_5;Massive Stone Wall;Murs massifs;;;;;x
ct_Hwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ct_Hwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ct_Hwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Hwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Hwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Hwatchtower_1;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_2;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_3;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_4;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_5;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_6;Watchtower;Tour de garde;;;;;x
ct_Hwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
ct_Hbarracks_1;Barracks;Baraquements;;;;;x
ct_Hbarracks_2;Barracks;Baraquements;;;;;x
ct_Hbarracks_3;Barracks;Baraquements;;;;;x
ct_Hbarracks_4;Barracks;Baraquements;;;;;x
ct_Hbarracks_5;Barracks;Baraquements;;;;;x
ct_Hbarracks_6;Barracks;Baraquements;;;;;x
ct_Hbarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;x
ct_Htownmilitia_1;Town Militia;Milice urbaine;;;;;x
ct_Htownmilitia_2;Town Militia;Milice urbaine;;;;;x
ct_Htownmilitia_3;Town Militia;Milice urbaine;;;;;x
ct_Htownmilitia_4;Town Militia;Milice urbaine;;;;;x 
ct_Htownmilitia_5;Town Militia;Milice urbaine;;;;;x
ct_Htownmilitia_6;Town Militia;Milice urbaine;;;;;x 
ct_Htownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;x
ct_Hguard_1;City Guard;Garde de la cité;;;;;x 
ct_Hguard_2;City Guard;Garde de la cité;;;;;x 
ct_Hguard_3;City Guard;Garde de la cité;;;;;x 
ct_Hguard_4;City Guard;Garde de la cité;;;;;x 
ct_Hguard_5;City Guard;Garde de la cité;;;;;x 
ct_Hguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ct_Hmarketplace_1;Marketplace;Marché;;;;;x
ct_Hmarketplace_2;Marketplace;Marché;;;;;x
ct_Hmarketplace_3;Marketplace;Marché;;;;;x
ct_Hmarketplace_4;Marketplace;Marché;;;;;x
ct_Hmarketplace_5;Marketplace;Marché;;;;;x
ct_Hmarketplace_6;Marketplace;Marché;;;;;x
ct_Hmarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;x
ct_Hport_1;Port;Port;Hafen;Puerto;;;;;x
ct_Hport_2;Port;Port;Hafen;Puerto;;;;;x
ct_Hport_3;Port;Port;Hafen;Puerto;;;;;x
ct_Hport_4;Port;Port;Hafen;Puerto;;;;;x
ct_Hport_5;Port;Port;Hafen;Puerto;;;;;x
ct_Hport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen. ;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;x
ct_Hshipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Hshipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Hshipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Hshipyard_4;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_beorningbakery_1;Beorning Bakery;Patisserie Béorning;;;;;x
ct_beorningbakery_desc;Beorning bakeries make delicious honeycakes highly appreciated by other cultures.;Les patisseries des Béorning fabriquent de délicieux gateaux au miel que les autres cultures apprécient énormément.;;;;;x 
tp_barrow_field;Barrow Fields;Tertres Funéraires;;;;;;;x;;;;;;;;;
tp_barrow_field_desc;The Men of Middle-earth bury their dead in large barrows. The larger and more splendid, the more important the buried noble.;Les Hommes de la Terre du Milieu enterrent leurs morts sous de grands tertres. Plus celui-ci est riche et grand, plus celui qui y repose était important.;;;;;;;x;;;;;;;;;

