#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ca_Nwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_Nwall_2;Low Stone Wall;Muret de pierre;;;;;x
ca_Nwall_3;Stone Wall;Hauts murs;;;;;x
ca_Nwall_4;Large Stone Wall;Murs larges;;;;;x
ca_Nwall_5;Massive Stone Wall;Murs massifs;;;;;x
ca_Nwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;;;;;x
ca_Nwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;;;;;x
ca_Nwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ca_Nwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ca_Nwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ca_Nwatchtower_1;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_2;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_3;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_4;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_5;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_6;Watchtower;Tour de garde;;;;;x
ca_Nwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nwatchtower_2_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nwatchtower_3_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nwatchtower_4_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nwatchtower_5_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nwatchtower_6_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ca_Nkeep_1;Keep;Forteresse;;;;;x
ca_Nkeep_2;Keep;Forteresse;;;;;x
ca_Nkeep_3;Keep;Forteresse;;;;;x
ca_Nkeep_4;Keep;Forteresse;;;;;x
ca_Nkeep_5;Keep;Forteresse;;;;;x
ca_Nkeep_6;Keep;Forteresse;;;;;x
ca_Nkeep_1_desc;The keep allow more troops to be stationned in the castle.;La forteresse permet de stationner plus de troupe dans le chateau;;;;;x
ca_Nmilitia_barracks_1;Militia;Milice;;;;;x
ca_Nmilitia_barracks_2;Militia;Milice;;;;;x
ca_Nmilitia_barracks_3;Militia;Milice;;;;;x
ca_Nmilitia_barracks_4;Militia;Milice;;;;;x
ca_Nmilitia_barracks_5;Militia;Milice;;;;;x
ca_Nmilitia_barracks_6;Militia;Milice;;;;;x
ca_Nmilitia_barracks_1_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Nmilitia_barracks_2_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Nmilitia_barracks_3_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Nmilitia_barracks_4_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Ntraining_grounds_1;Training Grounds;Zone d'entraînement;;;;;x
ca_Ntraining_grounds_2;Training Grounds;Zone d'entraînement;;;;;x
ca_Ntraining_grounds_3;Training Grounds;Zone d'entraînement;;;;;x
ca_Ntraining_grounds_1_desc;Training Grounds allow replacement of fallen troups.;Ce centre d'entraînement permet de mieux remplacer les troupes perdues au combat.;;;;;x
ca_Ncastleguards_1;Castle Guard;Garde du chateau;;;;;x
ca_Ncastleguards_2;Castle Guard;Garde du chateau;;;;;x
ca_Ncastleguards_3;Castle Guard;Garde du chateau;;;;;x
ca_Ncastleguards_4;Castle Guard;Garde du chateau;;;;;x
ca_Ncastleguards_5;Castle Guard;Garde du chateau;;;;;x
ca_Ncastleguards_6;Castle Guard;Garde du chateau;;;;;x
