#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ct_Nwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Nwall_2;Low Stone Wall;Muret de pierre;;;;;x
ct_Nwall_3;Stone Wall;Hauts murs;;;;;x
ct_Nwall_4;Large Stone Wall;Murs larges;;;;;x
ct_Nwall_5;Massive Stone Wall;Murs massifs;;;;;x
ct_Nwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;;;;;x
ct_Nwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;;;;;x
ct_Nwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ct_Nwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ct_Nwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;;;;;x
ct_Nwatchtower_1;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_2;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_3;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_4;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_5;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_6;Watchtower;Tour de garde;;;;;x
ct_Nwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;x
ct_Nbarracks_1;Barracks;Baraquements;;;;;x
ct_Nbarracks_2;Barracks;Baraquements;;;;;x
ct_Nbarracks_3;Barracks;Baraquements;;;;;x
ct_Nbarracks_4;Barracks;Baraquements;;;;;x
ct_Nbarracks_5;Barracks;Baraquements;;;;;x
ct_Nbarracks_6;Barracks;Baraquements;;;;;x
ct_Nbarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;x
ct_Ntownmilitia_1;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_2;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_3;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_4;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_5;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_6;Town Militia;Milice urbaine;;;;;x
ct_Ntownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;x
ct_Nguard_1;City Guard;Garde de la cité;;;;;x
