#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Pwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_Pwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ca_Pwall_3;Stone Wall;Hauts murs;;;;;x  
ca_Pwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ca_Pwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ca_Pwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ca_Pwatchtower_1;Watchtower;Tour de garde;;;;;x
ca_Pwatchtower_2;Watchtower;Tour de garde;;;;;x
ca_Pwatchtower_3;Watchtower;Tour de garde;;;;;x
ca_Pwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Pwatchtower_2_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Pwatchtower_3_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Pkeep_1;Keep;Forteresse;;;;;x
ca_Pkeep_2;Keep;Forteresse;;;;;x
ca_Pkeep_3;Keep;Forteresse;;;;;x
ca_Pkeep_1_desc;The keep allow more troops to be stationned in the castle.;La forteresse permet de stationner plus de troupe dans le chateau;;;;;x
ca_Pmilitia_barracks_1;Militia;Milice;;;;;x
ca_Pmilitia_barracks_2;Militia;Milice;;;;;x
ca_Pmilitia_barracks_3;Militia;Milice;;;;;x
ca_Pmilitia_barracks_4;Militia;Milice;;;;;x
ca_Pmilitia_barracks_1_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Pmilitia_barracks_2_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Pmilitia_barracks_3_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Pmilitia_barracks_4_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Ptraining_grounds_1;Training Grounds;Zone d'entraînement;;;;;x
ca_Ptraining_grounds_2;Training Grounds;Zone d'entraînement;;;;;x
ca_Ptraining_grounds_3;Training Grounds;Zone d'entraînement;;;;;x
ca_Ptraining_grounds_1_desc;Training Grounds allow replacement of fallen troups.;Ce centre d'entraînement permet de mieux remplacer les troupes perdues au combat.;;;;;x 
ca_Pcastleguards_1;Castle Guard;Garde du chateau;;;;;x 
ca_Pcastleguards_2;Castle Guard;Garde du chateau;;;;;x 
ca_Pcastleguards_3;Castle Guard;Garde du chateau;;;;;x 
ca_Pcastleguards_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ca_Ptown_1;Castle Town;Ville du chateau;;;;;x
ca_Ptown_2;Castle Town;Ville du chateau;;;;;x
ca_Ptown_3;Castle Town;Ville du chateau;;;;;x
ca_Ptown_1_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ptown_2_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ptown_3_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Pstable_1;Stables;Écurie;Ställe;Establos;;;;;x
ca_Pstable_2;Stables;Écurie;Ställe;Establos;;;;;x
ca_Pstable_3;Stables;Écurie;Ställe;Establos;;;;;x
ca_Pstable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;Cette écurie tout près du château abrite tous les destriers de l'ost.;Dieser Stall, direkt außerhalb der Burgmauern, beherbergt alle Rösser des Heeres.;Este establo situado junto a las murallas del castillo alberga las monturas de la leva. ;;;;;x
ca_Pshipyard_1;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_Pshipyard_2;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_Pshipyard_3;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
Pshipyard_desc;Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.;De talentueux charpentiers sont à l'œuvre ici, construisant toutes sortes de navires.;Erfahrene Schiffsbauer arbeiten hier hart und bauen alle Arten von hochseetüchtigen Schiffen.;Carpinteros navales cualificados trabajan duro aquí, construyendo todo tipo de embarcaciones marinas.;;;;;x
