#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Pwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Pwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ct_Pwall_3;Stone Wall;Hauts murs;;;;;x  
ct_Pwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ct_Pwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ct_Pwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_Pwatchtower_1;Watchtower;Tour de garde;;;;;x
ct_Pwatchtower_2;Watchtower;Tour de garde;;;;;x
ct_Pwatchtower_3;Watchtower;Tour de garde;;;;;x
ct_Pwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
ct_Pbarracks_1;Barracks;Baraquements;;;;;x
ct_Pbarracks_2;Barracks;Baraquements;;;;;x
ct_Pbarracks_3;Barracks;Baraquements;;;;;x
ct_Pbarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;x
ct_Ptownmilitia_1;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_2;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_3;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_4;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_5;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_6;Town Militia;Milice urbaine;;;;;x
ct_Ptownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;x
ct_Pguard_1;City Guard;Garde de la cité;;;;;x 
ct_Pguard_2;City Guard;Garde de la cité;;;;;x 
ct_Pguard_3;City Guard;Garde de la cité;;;;;x 
ct_Pguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ct_Pmarketplace_1;Marketplace;Marché;;;;;x
ct_Pmarketplace_2;Marketplace;Marché;;;;;x
ct_Pmarketplace_3;Marketplace;Marché;;;;;x
ct_Pmarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;x
ct_Pport_1;Port;Port;Hafen;Puerto;;;;;x
ct_Pport_2;Port;Port;Hafen;Puerto;;;;;x
ct_Pport_3;Port;Port;Hafen;Puerto;;;;;x
ct_Pport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen. ;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;x
ct_Pshipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Pshipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Pshipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
