#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ca_MT_lair_1;Trolls' Pit;;;;Pozza dei Troll;;x
ca_MT_lair_2;Trolls' Glade;;;;Radura dei Troll;;x
ca_MT_lair_3;Trolls' Cave;;;;Caverna dei Troll;;x
ca_MT_lair_4;Trolls' Shelter;;;;Rifugio dei Troll;;x
ca_MT_lair_5;Trolls' Lair;;;;Nido dei Troll;;x
ca_MT_lair_6;Troll-town;;;;Città dei Troll;;x
ca_MT_lair_desc;Trolls gather here to rest, breed, and hide their loot.;Les trolls reviennent ici pour se reposer, se reproduire et déposer leur butin.;;;;;x
ct_MT_lair_1;Trolls' Pit;;;;Pozza dei Troll;;x
ct_MT_lair_2;Trolls' Glade;;;;Radura dei Troll;;x
ct_MT_lair_3;Trolls' Cave;;;;Caverna dei Troll;;x
ct_MT_lair_4;Trolls' Shelter;;;;Rifugio dei Troll;;x
ct_MT_lair_5;Trolls' Lair;;;;Nido dei Troll;;x
ct_MT_lair_6;Troll-town;;;;Città dei Troll;;x
ca_dragon_lair;Dragon's Lair;Antre du Dragon;;;Antro del Drago;;x
ca_dragon_lair_desc;A huge mass of gold coins, gems and jewels. But is there something beneath ?;Une énorme masse de pièces d'or, de bijoux et de pierres préciseuses... mais y aurait-il quelquechose dessous ?;;;Un enorme antro, una sconfinata massa di monete d'oro, gemme e gioielli. Ma ci sarà forse qualcos'altro sotto quest'enorme ammasso di ricchezze…?;;x
ca_balrog_lair;Lair of the Balrog;Antre du Balrog;;;Covo del Balrog;;x
ca_balrog_lair_desc;Nothing special here, except the feeling of power and evil. The Balrog is obviously not interrested in wealth.;Rien de pariculier à part la sensation de psuissance et de malveillance. le Balrog n'est visiblement pas intéressé par les richesses.;;;;;x
