#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_MOwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_MOwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ca_MOwall_3;Stone Wall;Hauts murs;;;;;x  
ca_MOwall_4;Large Stone Wall;Murs larges;;;;;x  
ca_MOwall_5;Massive Stone Wall;Murs massifs;;;;;x
ca_MOwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ca_MOwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ca_MOwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ca_MOwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ca_MOwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;xca_MOwatchtower_1;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_1;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_2;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_3;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_4;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_5;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_6;Watchtower;Tour de garde;;;;;x
ca_MOwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MOwatchtower_2_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MOwatchtower_3_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MOwatchtower_4_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MOwatchtower_5_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
