population4desc;This province is occupied by enemies and many precious lives have been lost.;;;;;;;;;;;;x
population4A;Our enemies will pay for this...;;;;;;;;;;;;x
population5desc;Though the Men of the West replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage young Dúnedain families to have more children. You should see results within twenty years.;;;;;;;;;;;;x
population5A;No, not right now;;;;;;;;;;;;x
population5B;Yes, make efforts to increase population in a random province;;;;;;;;;;;;x
population5C;Yes, make the effort where my steward is located;;;;;;;;;;;;x
population6desc;The population in this province, with the expenditure of a great amount of wealth and influence, has grown greatly in the last 20 years.;;;;;;;;;;;;x
population6A;Good tidings!;;;;;;;;;;;;x
increase_pop_dunedain;Increase the Dúnedain Population;;;;;;;;;;;;x
increase_pop_dwarves;Increase the Dwarven Population;;;;;;;;;;;;x
increase_pop_elves;Increase the Elven Population;;;;;;;;;;;;x
lightly_populated_by_dunedain;Lightly populated by Dúnedain;;;;;;;;;;;;x
lightly_populated_by_dunedain_desc;The Dúnedain are waning in Middle-Earth, and there are few of them left in this province.;;;;;;;;;;;;x
populated_by_dunedain;Populated by Dúnedain;;;;;;;;;;;;x
populated_by_dunedain_desc;This province is well settled by Dúnedain.;;;;;;;;;;;;x
densely_populated_by_dunedain;Densely populated by Dúnedain;;;;;;;;;;;;x
densely_populated_by_dunedain_desc;In this province there are still many men of high blood, and though there may be other cities more crowded and populous, the natural gifts of the Dúnedain ensure that this land is both wealthy and well protected.;;;;;;;;;;;;x
lightly_populated_by_elves;Lightly populated by Elves;;;;;;;;;;;;x
lightly_populated_by_elves_desc;The Elves are leaving Middle-Earth, and there are few of them left in this province.;;;;;;;;;;;;x
populated_by_elves;Populated by Elves;;;;;;;;;;;;x
populated_by_elves_desc;This province is well settled by Elves.;;;;;;;;;;;;x
densely_populated_by_elves;Densely populated by Elves;;;;;;;;;;;;x
densely_populated_by_elves_desc;Though not 'densely populated' in the human or orcish sense, there are a great many elves in this province and the lands are both wealthy and well guarded..;;;;;;;;;;;;x
lightly_populated_by_dwarves;Lightly populated by dwarves;;;;;;;;;;;;x
lightly_populated_by_dwarves_desc;Dwarves still hold this province, but their numbers are few.;;;;;;;;;;;;x
populated_by_dwarves;Populated by dwarves;;;;;;;;;;;;x
populated_by_dwarves_desc;This province is well settled by dwarves. Though not a numerous people, here at least they have the strength of numbers to protect their lands and maintain their great halls.;;;;;;;;;;;;x
densely_populated_by_dwarves;Densely populated by dwarves;;;;;;;;;;;;x
densely_populated_by_dwarves_desc;The dwarves here are prospering, and though they will never reach the numbers that men and orcs can field, this land is well guarded and the population is steadily increasing.;;;;;;;;;;;;x
population12desc;Though Elves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province.;;;;;;;;;;;;x
population18desc;Though Dwarves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province..;;;;;;;;;;;;x
purge0desc;There are hostile creatures in your realm, they must be purged and the threat removed. It might take a decade to destroy them fully, so it's time to send in the troops...;;;;;;;;;;;;x
purge0A;Yes, send them at once!;;;;;;;;;;;;x
purge1desc;Your land has been purged of enemies, and now the time will come to settle the new wilderness with your people.;;;;;;;;;;;;x
purge3desc;There are enemies living in your demesne who will never submit to you. It's time to send in the troops and get rid of them once and for all.;;;;;;;;;;;;x
purge4desc;Your land has been purged of enemies, and now orcs are swarming in to settle the abandoned places.;;;;;;;;;;;;x
sending_colonists_desc;This province is responsible for building a new colony in unsettled lands, and a large amount of treasure and troops are used for this process. Hence, a tax and levy penalty applies.;;;;;;;;;;;;x
sending_colonists;Sending Colonists.;;;;;;;;;;;;x
colonisation0desc;Do you want to colonize this province? It can take up to 20 years, and one of your demesne provinces will suffer tax and levy penalties while it expends its resources in the new lands.;;;;;;;;;;;;x
colonisation0A;Yes, our people need new lands to settle.;;;;;;;;;;;;x
colonisation0opt2;No, not now.;;;;;;;;;;;;x
colonisation1desc;This province has been colonised, and will now start paying taxes and contributing troops to your realm. The wilderness has given way to settlements, and your people will surely prosper here.;;;;;;;;;;;;x
colonisation_wilderness_with_dwarves;Colonise Wilderness with Dwarves;;;;;;;;;;;;x
being_colonised_with_dwarves;Being colonised with Dwarves;;;;;;;;;;;;x
