#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
################
#traits & decisions
ancient;Ancient Creature;;;;;;;;;;;;;;x
ancient_desc;This character is one of Arda's oldest creatures.;;;;;;;;;;;;;;x
imbue_item;Enhance an Item;;;;;;;;;;;;;;x
imbue_item_desc;Use your ancient wisdom and crafting skills to improve the jewel used in your item.;;;;;;;;;;;;;;x
####elvish_sword
elvish_sword_magic_martial;Elvish Sword of Bloodlust;;;;;;;;;;;;;;x
elvish_sword_magic_martial_desc;An elvish blacksmith forged this sword. It was further enhanced to increase the martial skill of its wielder.;;;;;;;;;;;;;;x
elvish_sword_magic_combat;Elvish Sword of Finesse;;;;;;;;;;;;;;x
elvish_sword_magic_combat_desc;An elvish blacksmith forged this sword. It was further enhanced to increase the combat rating of its wielder.;;;;;;;;;;;;;;x
elvish_sword_magic_exceptional;Elvish Sword of Mastery;;;;;;;;;;;;;;x
elvish_sword_magic_exceptional_desc;An elvish blacksmith forged this sword. It was further enhanced to increase the combat rating and martial skill of its wielder.;;;;;;;;;;;;;;x
####elf_necklace
elf_necklace_magic_diplomacy;Elvish Necklace of Speech;;;;;;;;;;;;;;x
elf_necklace_magic_diplomacy_desc;An elvish blacksmith forged this necklace. It was further enhanced to increase the diplomacy skill of its owner.;;;;;;;;;;;;;;x
elf_necklace_magic_learning;Elvish Necklace of Insight;;;;;;;;;;;;;;x
elf_necklace_magic_learning_desc;An elvish blacksmith forged this necklace. It was further enhanced to increase the learning skill of its owner.;;;;;;;;;;;;;;x
elf_necklace_magic_exceptional;Elvish Necklace of Excellence;;;;;;;;;;;;;;x
elf_necklace_magic_exceptional_desc;An elvish blacksmith forged this necklace. It was further enhanced to increase the learning and diplomacy skills of its owner.;;;;;;;;;;;;;;x
####elf_brooch
elf_brooch_magic_intrigue;Elvish Brooch of Shadows;;;;;;;;;;;;;;x
elf_brooch_magic_intrigue_desc;An elvish blacksmith forged this brooch. It was further enhanced to increase the intrigue skill of its owner.;;;;;;;;;;;;;;x
elf_brooch_magic_stewardship;Elvish Brooch of Wealth;;;;;;;;;;;;;;x
elf_brooch_magic_stewardship_desc;An elvish blacksmith forged this brooch. It was further enhanced to increase the stewardship skill of its owner.;;;;;;;;;;;;;;x
elf_brooch_magic_exceptional;Elvish Brooch of Power;;;;;;;;;;;;;;x
elf_brooch_magic_exceptional_desc;An elvish blacksmith forged this brooch. It was further enhanced to increase the stewardship and intrigue skills of its owner.;;;;;;;;;;;;;;x
####################
#events
####################
EVTNAMEcraft_upgrade.0;Enhance an Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.0;Your crafting and ancient wisdom allow you to improve your items further.;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.0;I want to enhance my elvish sword.;;;;;;;;;;;;;;x
EVTOPTBcraft_upgrade.0;I want to enhance my ancient elvish sword.;;;;;;;;;;;;;;x
EVTOPTDcraft_upgrade.0;I want to enhance my elvish necklace.;;;;;;;;;;;;;;x
EVTOPTEcraft_upgrade.0;I want to enhance my elvish brooch.;;;;;;;;;;;;;;x
EVTOPTZcraft_upgrade.0;I don't feel ready yet. Maybe later.;;;;;;;;;;;;;;x
EVTNAMEcraft_upgrade.1;Enhance an Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.1;Whilst studying your item you have found several different possibilities to enhance it.;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.1;I'll focus on power.;;;;;;;;;;;;;;x
EVTOPTBcraft_upgrade.1;I'll focus on finesse.;;;;;;;;;;;;;;x
EVTOPTCcraft_upgrade.1;I'll focus on speech.;;;;;;;;;;;;;;x
EVTOPTDcraft_upgrade.1;I'll focus on insight.;;;;;;;;;;;;;;x
EVTOPTEcraft_upgrade.1;I'll focus on intrigue.;;;;;;;;;;;;;;x
EVTOPTFcraft_upgrade.1;I'll focus on wealth.;;;;;;;;;;;;;;x
EVTOPTZcraft_upgrade.1;On a second thought, I don't feel ready yet.;;;;;;;;;;;;;;x
EVTNAMEcraft_upgrade.2;Enhance an Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.2;Your study is finished, you are ready.;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.2;And...;;;;;;;;;;;;;;x
EVTNAMEcraft_upgrade.3;Enhance Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.3;It seems there are things too tough even for your skills...;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.3;Oh, no!;;;;;;;;;;;;;;x
EVTNAMEcraft_upgrade.4;Enhance an Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.4;Your wisdom and skills in crafting bring you success! But wait! There is even more than you expected!;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.4;Oh yes, success!;;;;;;;;;;;;;;x
EVTNAMEcraft_upgrade.5;Enhance an Item;;;;;;;;;;;;;;x
EVTDESCcraft_upgrade.5;Your wisdom and skills in crafting bring you success! However there is a small price to pay...;;;;;;;;;;;;;;x
EVTOPTAcraft_upgrade.5;Nice.;;;;;;;;;;;;;;x
