#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;x
EVTDESCalliancesystem.50;[ROOT.GetFullName],I too am a Defender of Middle-Earth, and you need aid! I am joining you in your defence against Evil!;;;;;;;;x
EVTOPTAalliancesystem.50;Thank You;;;;;;;x
#Additional targetted_descisions;;;;;;;;;;;x
join_defend_against_evil_war;Help in Defensive War against Evil.;;;;;;;x
join_defend_against_evil_war_named;Come to the aid of [Root.GetTitledFirstName ].;;;;;;;;;;x
join_defend_against_evil_war_desc;[Root.GetTitledFirstName] is currently loosing a defensive war against Evil. Now that you are peace, you can, as a Defender of Middle-Earth, join [Root.GetName] in [Root.GetHerHis] defensive war!;;;;;;;;;;x
TT_MEP_AIDWAR1;Must be loosing (-20% or worse) a defensive war against an Evil attacker.;;;;;;;x
invite_tocourt_special;Pay [Root.GetName] to come to your Court.;;;;;;;;;;x
invite_tocourt_special_desc;When inviting others to your court, those not of your species or culture are often reluctant to come. However, you can convince them with some cash.;;;;;;;;;;x
TT_MEP_INVITE_S1;The target to invite must be unmarried, not a coucillor, and must be otherwise have no importance.;;;;;;;x
TT_MEP_INVITE_S2;You are 'Good Side' and the target to invite is not 'Evil Side'.;;;;;;;x
TT_MEP_INVITE_S3;You are 'Evil Side' and the target to invite is not 'Good Side'.;;;;;;x
TT_MEP_INVITE_S4;You are neither 'Good Side' nor 'Evil Side'.;;;;;;x
# More
recruit_rangers;Recruit Rangers of Ithilien;;;;;;;x
recruit_rangers_desc;Recruit more active troops (archers and light infantry) for the Rangers of Ithilien.;;;;;;;x
draft_snaga_mob;Draft a mob of Snagas;;;;;;;x
draft_snaga_mob_desc;Snagas are the lowest kind of orcs, lightly equipped slaves. You can get some cheaply.;;;;;;;x
# Goverment Types and Laws and stuff
jcrown_authority;Lordly Authority;Autorité du Seigneur;Herr Autorität;;Autoridad de los Señor;;;;;;;;;x
jcrown_authority_desc;The Kings and High Kings of the Elves, Dwarves, Dúnedian and some other Free Peoples were usually given a great deal of respect and obesiance, but at the same time were expected to be Just and stay within the accepted bounds of authority...;;;;;;;;;;;;;x
jcrown_authority_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos independientes;;;;;;;;;x
jcrown_authority_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
jcrown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;Les vassaux n'obéissent qu'à leurs propres règles, dirigeant leurs propriétés comme de petits royaumes. Leurs obligations envers leur seigneur lige sont minimales.;Vasallen sind sich selbst das Gesetz und herrschen in ihren Lehen wie kleine Könige. Ihre Verpflichtungen gegenüber dem Lehnsherrn sind minmal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
jcrown_authority_1;Limited Lordly Authority;Autorité limitée du Seigneur;Beschränkte Herrschaft;;Autoridad limitada señoría;;;;;;;;;x
jcrown_authority_1_option;Low;Faible;Niedrig;;Baja;;;;;;;;;x
jcrown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies. Wars between vassals are forbidden.;Les vassaux ont une grande autonomie, mais ils doivent remettre à leur seigneur une importante part de leurs levées. Les guerres entre vassaux sont interdites.;Vasallen genießen weitgehende Autonomie, müssen aber einen nicht unwesentlichen Anteil der von ihnen eingenommenen Abgaben an den Lehnsherrn abgeben. Kriege zwischen Vasallen sind verboten.;;Los vasallos gozan de bastante autonomía, pero tienen que proporcionar levas suficientes a su señor. Las guerras entre vasallos están prohibidas.;;;;;;;;;x
jcrown_authority_2;Medium Lordly Authority;Autorité moyenne du Seigneur;Mittlere Herrschaft;;Autoridad de señorío medio;;;;;;;;;x
jcrown_authority_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
