#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
painter;Painter;Peintre;;;;;;;;;;;;;x
painter_desc;This character has a creative soul that seeks to capture the essence of creation on parchment and canvas.;Ce personnage a une ame creatrice qui cherche a capturer l'essence de la creation sur parchemin et toile.;;;;;;;;;;;;;x
musician;Musician;Musicien;;;;;;;;;;;;;x
musician_desc;This character is known as an expert among minstrels.;Ce personnage est connu comme un spécialiste parmi les ménestrels.;;;;;;;;;;;;;x
calligraphist;Proficient Writer;Calligraphiste;;;;;;;;;;;;;x
calligraphist_desc;This character has spent long hours practicing the art of writing.;Ce personnage a passé de longues heures à pratiquer l'art de l'écriture.;;;;;;;;;;;;;x
ruthless;Ruthless;Impitoyable;;;;;;;;;;;;;x
ruthless_desc;This character is not bound by honour.;Ce personnage n'est pas lié par l'honneur.;;;;;;;;;;;;;x
chivalrous;Chivalrous;Chevaleresque;;;;;;;;;;;;;x
chivalrous_desc;This character is the embodiment of chivalry.;Ce personnage est l'incarnation de la chevalerie.;;;;;;;;;;;;;x
tall;Tall;Grand;;;;;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.;Ce personnage est incroyablement grand.;;;;;;;;;;;;;x
agile;Agile;Agile;;;;;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;Ce personnage est plus rapide et habile que bien d'autres.;;;;;;;;;;;;;x
perceptive;Perceptive;Perspicace;;;;;;;;;;;;;x
perceptive_desc;This character is sharp, possessing excellent senses and intuition.;Ce personnage a une excellente intuition, et on peut difficilement le duper.;;;;;;;;;;;;;x
melodious_voice;Melodious Voice;Voix mélodieuse;;;;;;;;;;;;;x
melodious_voice_desc;This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;Ce personnage a une voix plaisante, qui résonne comme le chant des oiseaux.;;;;;;;;;;;;;x
powerful_voice;Powerful Voice;Voix Puissante;;;;;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;Ce personnage possède une voix imposante, qui peut persuader les amis, terrifier les ennemis, et insipirer ses sujets.;;;;;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextre;;;;;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;Ce personnage peut utiliser ses deux mains avec autant de talent.;;;;;;;;;;;;;x
lefthanded;Lefthanded;Gaucher;;;;;;;;;;;;;x
lefthanded_desc;This character is better at using their left hand than their right hand. It offers them many advantages when dealing with others, but it is viewed as impious by religious authorities.;Ce personnage est gaucher. Cela peut lui donner maints avantages, mais il souffre du regard des autres.;;;;;;;;;;;;;x
wrymouth;Wrymouth;Bouche Tordue;;;;;;;;;;;;;x
wrymouth_desc;This character was born with an oddly-shaped chin or jaw – perhaps it is too big, or too small. Hopefully, this facial feature won’t spread with interbreeding.;Ce personnage est né avec un menton ou de la mâchoire à la forme étrange - peut-être qu'il est trop grand ou trop petit. Espérons que cette caractéristique du visage ne ??se propagera pas à ses descendants.;;;;;;;;;;;;;x
absentminded;Absent-Minded;Distrait;;;;;;;;;;;;;x
