#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
herbalist;Herbalist;Herbaliste;;;;;;;;;;;x
herbalist_desc;This character has a basic knowledge of the healing power of plants, and is able to find them in nature.;Ce personnage connait le pouvoir de guérison des plantes, et est capable d'en trouver dans la nature.;;;;;;;;;;;x
apothecary;Apothecary;Apothicaire;;;;;;;;;;;x
apothecary_desc;This character has a good knowledge of healing power of plants, and is able to make potions and salves.;Ce personnage connait le pouvoir de guérison des plantes, et est capable de faire des potions et des baumes.;;;;;;;;;;;x
great_healer;Great Healer;Grand Soigneur;;;;;;;;;;;x
great_healer_desc;This character is skilled in using the healing power of plants, and was educated in the ancient knowledge of healing, either from Numenor or the Elves.;Ce personnage est capable d'utiliser le pouvoir de guérison des plantes, et a été éduqué dans le savoir antique de guérison de Numenor ou des Elfes.;;;;;;;;;;;x
healer_master;Master Healer;Maitre-Soigneur;;;;;;;;;;;x
healer_master_desc;This character is able to cure almost all diseases, even those of evil power. Their talent is recognized throughout Middle-earth.;Ce personnage est capable de guérir presque toutes les maladies, même celles issues d'un pouvoir maléfique. Son talent est reconnu partout en Terre-du-Milieu.;;;;;;;;;;;x
craftsman;Craftsman;Artisan;;;;;;;;;;;x
craftsman_desc;This character is capable of producing objects, weapons or jewelry.;Ce personnage est capable de fabriquer des objets, des armes ou des bijoux.;;;;;;;;;;;x
skilled_craftsman;Skilled Craftsman;Artisan Talentueux;;;;;;;;;;;x
skilled_craftsman_desc;This character is capable of producing objects, weapons or jewelry. His talent is respected, and his achievements adorn the finest homes.;Ce personnage est capable de fabriquer des objets, des armes ou des bijoux. Son talent est réputé, et ses réalisations ornent les plus belles maisons.;;;;;;;;;;;x
master_craftsman;Master Craftsman;Maitre-Artisan;;;;;;;;;;;x
master_craftsman_desc;This character is capable of producing objects, weapons or jewelry. His talent is respected and he teaches many young apprentices in his workshop. His accomplishments are sold throughout Middle-earth.;Ce personnage est capable de fabriquer des objets, des armes ou des bijoux. Son talent est réputé, et il forme de nombreux jeunes apprentis dans son atelier. Ses réalisations sont vendues dans toute la Terre-du-Milieu.;;;;;;;;;;;x
poet_2;Song-Writer;Auteur de Chansons;;;;;;;;;;;x
poet_2_desc;This character is able to write beautiful poems and ballads, but needs someone else to set them to music.;Ce personnage est capable d'écrire de jolis textes, mais a besoin de quelqu'un pour les mettre en musique.;;;;;;;;;;;x
composer;Composer;Compositeur;;;;;;;;;;;x
composer_desc;This character is able to write beautiful poems and is known to produce beautiful melodies to accompany them.;Ce personnage est capable d'écrire de jolis textes, et sait réaliser de jolies mélodies pour les accompagner.;;;;;;;;;;;x
skilled_composer;Skilled Composer;Compositeur Talentueux;;;;;;;;;;;x
skilled_composer_desc;This character is able to write beautiful poems and is known to produce beautiful melodies to accompany them. His songs are known and sung in many kingdoms.;Ce personnage est capable d'écrire de jolis textes, et sait réaliser de belles mélodies pour les accompagner. Ses chansons sont chantées dans de nombreuses contrées.;;;;;;;;;;;x
legendary_musician;Legendary Musician;Musicien Légendaire;;;;;;;;;;;x
legendary_musician_desc;This character has composed some of the most beautiful and famous songs in Middle Earth. His works are sung during each festival, and everyone knows his name.;Ce personnage a réalisé certaines des plus belles chansons de la Terre du Milieu. On chante ses oeuvres durant chaque festivité, et tout le monde connait son nom.;;;;;;;;;;;x
mariner;Mariner;Marin;;;;;;;;;;;x
