#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silmaril;Silmaril;Silmaril;Silmaril;;Silmaril;;;;;;;;;x
silmaril_desc;This character holds a Silmaril, one of three gems of immense might and beauty forged by Fëanor in Valinor. Feanor gave his heart to their making and could not duplicate them.;Ce personnage possède un Silmaril, l'une des trois puissantes et magnifiques pierres forgées par Fëanor, et renfermant la lumière des Arbres de Valinor. Fëanor mis tout son cœur dans cet ouvrage, et a été incapable de refaire un tel objet après cela.;;;;;;;;;;;;x
light_valinor;Light of the Trees;Lumière des Arbres;;;;;;;;;;;;x
light_valinor_desc;This character was in Valinor before Morgoth destroyed the Trees of Valinor, and everyone in Middle-Earth can see in his eyes the memory of their lights.;Ce personnage était en Valinor avant que Morgoth ne fasse périre les Arbres, et tout le monde peut voir dans ses yeux le souvenir de la Lumière des Arbres.;;;;;;;;;;;;x
nauglamir;The Nauglamir;Le Nauglamir;;;;;;;;;;;;x
nauglamir_desc;The Nauglamír or Necklace of the Dwarves is a piece of jewelry forged by the dwarves of Nogrod for Finrod Felagund. Thingol set in the Silmaril of Luthien and Beren.;Le Nauglamír ou Collier des Nains est une pièce de joaillierie forgée par les Nains de Nogrod, et offert à Finrod Felagund. Thingol y fera sertir le Silmaril de Beren et Luthien.;;;;;;;;;;;;x
oath_of_feanor;The Oath of Fëanor;Le Serment de Fëanor;;;;;;;;;;;;x
oath_of_feanor_desc;This Character swore in the name of Ilúvatar that he wouldn't rest until the three Silmarils were in the hands of the house of Fëanor, and to make war on any who withheld them.;Ce personnage a fait le serment, sur Iluvatar, de ne pas avoir de repos avant que les Silmarils ne soient retournés entre les mains de la Maison de Fëanor, et de tuer quiconque, Elfe ou Valar, qui se mettrait sur son chemin.;;;;;;;;;;;;x
angrist;Angrist;Angrist;;;;;;;;;;;;x
angrist_desc;Angrist was a knife made by the dwarf-smith Telchar for the Elf-lord Curufin in the First Age. Beren used it to cut through the Iron Crown of Morgoth and free a Silmaril.;Angrist est un poignard forgé par le célèbre forgeron Nain Telchar, à Nogrod, pour le Seigneur Elfe Curufin au Premier Age. Beren le prendra et s'en servira pour desceller un Silmaril de la couronne de Morgoth.;;;;;;;;;;;;x
angainor;Angainor;Angainor;;;;;;;;;;;;x
angainor_desc;Angainor was the chain used to contain Melkor in the Halls of Mandos. At the end of the First Age, Melkor was again bound by Angainor, and his iron crown was made into a collar.;Angainor était la chaîne utilisée pour contenir Melkor dans les Halls de Mandos. A la fin du Premier Âge, Melkor a de nouveau été enchainé par Angainor, et sa couronne de fer a été transformé en collier.;;;;;;;;;;;;x
dragon_helm;The Dragon-Helm;L'Heaume du Dragon;;;;;;;;;;;;x
dragon_helm_desc;The Dragon-helm of Dor-lómin, also known as the Helm of Hador, was a visored steel helm, embossed and embellished with gold and runes, that bore as its crest an image of the head of Glaurung. It was forged by Telchar in Nogrond, but was holded by Maedhros, Fingon, Hador, Hurin and Turin.;Le Heaume du Dragon de Dor-lómin, également connu sous le Heaume de Hador, était une barre d'acier à visière, de relief et rehaussé d'or et runes, qui portait comme sa crête une image de la tête de Glaurung. Il a été forgée par Telchar à Nogrond, mais a été détenu par Maedhros, Fingon, Hador, Hurin et Turin.;;;;;;;;;;;;x
valaroma;Valaróma;Valaróma;;;;;;;;;;;;x
valaroma_desc;Valaróma was the fabled hunting-horn of Oromë, the Huntsman of the Valar. It could be heard above all other horns, for its sound was like lightning cleaving the clouds, and its echoes made even Melkor quail in Utumno.;Valaróma était le cor de chasse légendaire de Oromë, le chasseur des Valar, dont l'appel est comme un lever de soleil écarlate, un éclair déchirant les nuages qu'on entendait au-dessus de toutes les autres dans les forêts que Yavanna avait fait lever sur Valinor.;;;;;;;;;;;;x
elendilmir;The Elendilmir;L'Elendilmir;;;;;;;;;;;;x
elendilmir_desc;"The Elendilmir was a symbol of royalty among the Kings of Arnor and their descendants; it was a ""white star of elvish crystal upon a fillet of mithril"".";"L'Elendilmir était un symbole de royauté pour les souverains d'Arnor et ses descendants. C'est une ""un cristal elfique pareil à une étoile blanche sur un filet de mithril"".";;;;;;;;;;;;x
vingilot;The Vingilótë;Vingilótë;;;;;;;;;;;;x
