#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
obj_become_a_rider_title;Become a Rider;Devenir un Cavalier;;;;;x
obj_become_a_rider_desc;Your people are known for their horsemanship, but you haven't received any training in the art of riding. You can try to fill this gap.;Vous êtes membre d'un peuple de cavaliers, mais vous n'avez pas reçu une éducation vous permettant de monter à cheval. Vous devriez tenter de combler ce manque.;;;;;x
EVTTITambitions.0;A Rider in the Fields;Un Cavalier dans les Plaines;;;;;x
EVTDESCambitions.0;You're not a good rider, but you want to improve your skills. One day, you meet an old errant rider who seems to master his horse to perfection. You should ask him to teach you what he knows, to finally become a true Rohirrim;Vous n'êtes pas un bon cavalier, mais vous souhaitez améliorer vos qualités. Un jour, vous rencontrer un vieux cavalier errant qui semble maitriser son cheval à la perfection. Vous devriez lui demander de vous enseigner ce qu'il sait, afin d'enfin devenir un véritable Rohirrim;;;;;x
EVTOPTAambitions.0;Old Man, be my teacher!;Vieil Homme, soyez mon professeur !;;;;;x
EVTOPTBambitions.0;I don't have enough time for this…;Je n'ai pas assez de temps pour cela…;;;;;x
EVTDESCambitions.1;The Old Man has agreed to teach you what he knows, and you begin your training. It will take time before you become a true horseman, but you work seriously.;Le Vieil Homme a accepté de vous apprendre ce qu'il sait, et vous commencez votre formation. Il faudra du temps avant que vous ne deveniez un véritable cavalier, mais vous travaillez sérieusement.;;;;;x
EVTOPTAambitions.1;I hope my skills will be improved!;J'espère que mes talents s'amélioreront !;;;;;x
EVTTITambitions.2;You're not a Rider…;Vous n'êtes pas un Cavalier…;;;;;x
EVTDESCambitions.2;You have tried to follow the formation of the old man, but you never cease to fall off the horse, and you do not seem comfortable on the back of this animal. The Old Man finally announced you that you would never be a good rider, and that you should focus on something else ...;Vous avez bien essayé de suivre la formation du vieil Homme, mais vous ne cessez de tomber de cheval, et vous ne semblez pas à l'aise sur le dos de cet animal. Le Vieil Homme vous a finalement annoncé que vous ne seriez jamais un bon cavalier, et que vous devriez vous concentrer sur autre chose...;;;;;x
EVTOPTAambitions.2;So bad…;Suis-je si mauvais?;;;;;x
EVTTITambitions.3;A New Squire;Un Nouvel Ecuyer;;;;;x
EVTDESCambitions.3;Your training begins to yield results, and the old man made ??you his squire. You can, by investing in new equipments, try to improve your skills, or be content to be at least a Squire.;Votre formation commence à donner des résultats, et le vieil homme fait de vous son écuyer. Vous pouvez, en investissant dans du nouveau matériel, tenter d'améliorer vos qualités, ou vous contenter de ce statut.;;;;;x
EVTOPTAambitions.3;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.3;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.4;A Good Rider;Un Bon Cavalier;;;;;x
EVTDESCambitions.4;You improve your skills, and you're now recognized as a good rider. You can always try to improve again, but it'll cost you more money, and it's not sure you can progress ...;Vous avez améliorer vos talents, et vous êtes maintenant reconnu comme un bon cavalier. Vous pouvez toujours tenter de vous améliorer, mais cela vous coutera plus d'argent, et il n'est pas sur que vous y arriviez...;;;;;x
EVTOPTAambitions.4;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.4;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.5;A Great Rider;Un Grand Cavalier;;;;;x
EVTDESCambitions.5;You're now a proud Rider of Rohan, able to draw your horses and ride into battle. You could try to become as good as the Old Man who has led you these past months, but it will cost expensive money for a risky outcome ...;Vous êtes maintenant l'un des fiers cavaliers du Rohan, capable de dresser vos chevaux et de monter en combat. Vous pourriez tenter de devenir aussi bon que le Vieil Homme qui vous a entrainé ces derniers mois, mais cela coutera cher, pour un résultat hasardeux...;;;;;x
