#CRAFTING
learn_craft_abilities;Learn or Improve Crafting.;;;;;;;;;x
learn_craft_abilities_desc;Learn or improve crafting for a small price.;;;;;;;;;x
#SINGING/POETRY
learn_song_abilities;Learn or Improve Singing.;;;;;;;;;x
learn_song_abilities_desc;Learn or improve your ability to sing and compose songs for a small price.;;;;;;;;;x
#HEALING
learn_herbal_abilities;Learn or Improve Healing.;;;;;;;;;x
learn_herbal_abilities_desc;Learn or improve your ability to heal those striken by wounds or disease for a small price.;;;;;;;;;x
#WARRIOR (ELF/DWARF)
learn_warrior_abilities;Learn to become a warrior.;;;;;;;;;x
learn_warrior_abilities_desc;Learn or improve my skill in battle.;;;;;;;;;x


