#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
give_horngondor_to_heir;Give the Horn of Gondor to [Root.GetFirstName];Donner le Cor du Gondor à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_horngondor_to_heir_desc;I will pass on the Horn of Gondor to [Root.GetFirstName], [Root.GetSheHe] deserves it.;Je vais donner le Cor du Gondor à [Root.GetFirstName], [Root.GetSheHe] le mérite.;;;;;;;;;;;;x
give_elessar_to_heir;Give the Elessar to [Root.GetFirstName];Donner l'Elessar à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_elessar_to_heir_desc;I will pass on the Elessar to [Root.GetFirstName], [Root.GetSheHe] deserves it.;Je vais donner l'Elessar, l'Etoile du Soir, à [Root.GetFirstName], [Root.GetSheHe] le mérite.;;;;;;;;;;;;x
give_mithril_to_heir;Give my Mithril chainmail to [Root.GetFirstName];Donner ma tunique en Mithril à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_mithril_to_heir_desc;I will pass on my Mithril chainmail to [Root.GetFirstName], [Root.GetSheHe] deserves it.;Je vais donner ma cotte de mailles en Mithril à [Root.GetFirstName], [Root.GetSheHe] le mérite.;;;;;;;;;;;;x
give_barahir_to_heir;Give the Ring of Barahir to [Root.GetFirstName];Donner l'anneau de Barahir à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_barahir_to_heir_desc;I will pass on the Ring of Barahir to [Root.GetFirstName], [Root.GetSheHe] could protect the inheritance of my family.;Je vais donner l'Anneau de Barahir à [Root.GetFirstName], [Root.GetSheHe] saura protéger l'héritage de ma Maiheir.;;;;;;;;;;;;x
give_narsil_to_heir;Give Narsil to [Root.GetFirstName];Donner les fragments de Narsil à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_narsil_to_heir_desc;I will pass on Narsil to [Root.GetFirstName], [Root.GetSheHe] could protect the inheritance of Elendil.;Je vais donner les fragments de Narsil à [Root.GetFirstName], [Root.GetSheHe] saura protéger l'héritage d'Elendil.;;;;;;;;;;;;x
give_durin_ring_to_heir;Give the Ring of Durin to [Root.GetFirstName];Donner l'Anneau de Durin à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_durin_ring_to_heir_desc;I will pass on the Ring of Durin to [Root.GetFirstName], [Root.GetSheHe] could protect the inheritance of my family.;Je vais donner l'Anneau de Durin à [Root.GetFirstName], [Root.GetSheHe] saura protéger l'héritage de ma Maiheir.;;;;;;;;;;;;x
give_dwarf_ring_to_heir;Give the Dwarf Ring to [Root.GetFirstName];Donner l'Anneau des Nains à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_dwarf_ring_to_heir_desc;I will pass on the Dwarf Ring to [Root.GetFirstName], [Root.GetSheHe] could protect the inheritance of my House.;Je vais donner l'Anneau des Nains à [Root.GetFirstName], [Root.GetSheHe] saura protéger l'héritage de ma Maiheir.;;;;;;;;;;;;x
give_lesser_ring_to_heir;Give the lesser ring to [Root.GetFirstName];@FIXME@ Donner l'anneau à [Root.GetFirstName]. ;;;;;;;;;;;;x
give_lesser_ring_to_heir_desc;I will pass on the lesser ring to [Root.GetFirstName], [Root.GetSheHe] could protect the inheritance of my House.;@FIXME@ Je vais donner l'anneau à [Root.GetFirstName], [Root.GetSheHe] saura protéger l'héritage de ma Maiheir.;;;;;;;;;;;;x
give_annunimas_to_heir;Give the Scepter of Annuminas to [Root.GetFirstName];;;;;;;;;;;;;x
give_annunimas_to_heir_desc;Give the Scepter of Annuminas to [Root.GetFirstName];;;;;;;;;;;;;x
give_arkenstone_to_heir;Give the Arkenstone to [Root.GetFirstName];;;;;;;;;;;;;x
give_arkenstone_to_heir_desc;Give the Arkenstone to [Root.GetFirstName];;;;;;;;;;;;;x
give_himling_armour_to_heir;Give my set of Himling Armor to [Root.GetFirstName];;;;;;;;;;;;;x
give_himling_armour_to_heir_desc;Give my set of Himling Armor to [Root.GetFirstName];;;;;;;;;;;;;x
give_arvedui_armor_to_heir;Give my set of Arvedui Armor to [Root.GetFirstName];;;;;;;;;;;;;x
give_arvedui_armor_to_heir_desc;Give my set of Arvedui Armor to [Root.GetFirstName];;;;;;;;;;;;;x
give_erebor_armor_to_heir;Give my set of Erebor Armor to [Root.GetFirstName];;;;;;;;;;;;;x
give_erebor_armor_to_heir_desc;Give my set of Erebor Armor to [Root.GetFirstName];;;;;;;;;;;;;x
