#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;;;;;;;;x
open_employment_decisions;Show Employment Decisions;;;;;;;;;;;;;x
open_employment_decisions_desc;Opens the list of courtier employment decisions.;;;;;;;;;;;;;x
close_employment_decisions;Hide Employment Decisions;;;;;;;;;;;;;x
close_employment_decisions_desc;Closes the list of courtier employment decisions.;;;;;;;;;;;;;x
open_special_decisions;Show Middle Earth Decisions;;;;;;;;;;;;;x
open_special_decisions_desc;Opens the list of race, item, trait, and war based decisions.;;;;;;;;;;;;;x
close_special_decisions;Hide Middle Earth Decisions;;;;;;;;;;;;;x
close_special_decisions_desc;Closes the list of race, item, trait, and war based decisions.;;;;;;;;;;;;;x
open_family_decisions;Show Family Decisions;;;;;;;;;;;;;x
open_family_decisions_desc;Opens the list of family decisions, including hiding your relations, abdication and inheritance of items.;;;;;;;;;;;;;x
close_family_decisions;Hide Family Decisions;;;;;;;;;;;;;x
close_family_decisions_desc;Closes the list of family decisions.;;;;;;;;;;;;;x
open_festivity_decisions;Show Festivity Decisions;;;;;;;;;;;;;x
open_festivity_decisions_desc;Opens the list of festival, fair and hunt decisions.;;;;;;;;;;;;;x
close_festivity_decisions;Hide Festivity Decisions;;;;;;;;;;;;;x
close_festivity_decisions_desc;Closes the list of festival, fair and hunt decisions.;;;;;;;;;;;;;x

