#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
build_aglarond;A new Kingdom in the Glittering Caves;;;;;;;;;;;;;x
build_aglarond_desc;Found the most beautiful kingdom of the dwarves to exist in the 4th age.;;;;;;;;;;;;;x
EVTTITbuilding_aglarond.0;A new Kingdom in the Glittering Caves.;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.0;You can now try to build and establish a new major dwarven kingdom in the Glittering Caves, but it won't be easy.;;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.0;Let's do it !;Faisons-le !;;;;;;;;;;;;x
EVTOPTBbuilding_aglarond.0;No, I'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuilding_aglarond.1;Orc Raid;Pillards Orcs;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.1;You are on the way to Helm's Deep and the caves behind when a Rohirrim company tells you about a camp of orc raiders ahead. The orcs are a larger group than yours, but there is no way to pass undetected. The Zabbud Kharâb, the horse lords suggest combining forces to defeats the orcs...;Sur le trajet vers la Montagne Solitaire, une compagnie de mercenaires vous prévient qu'il y-a un campement de pillards orcs devant vous. C'est un groupe plus important que le votre, mais il est impossible de les dépasser sans se faire repérer. Les mercenaires vous proposent leurs services.;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.1;Join the Zabbud Kharâb but personally stay back.;Enrôler les mercenaires et regarder.;;;;;;;;;;;;x
EVTOPTBbuilding_aglarond.1;Fight without the Zabbud Kharâb.;Combattre sans les mercenaires.;;;;;;;;;;;;x
EVTOPTCbuilding_aglarond.1;Join the Zabbud Kharâb and lead the fight!;Enrôler les mercenaires et combattre.;;;;;;;;;;;;x
EVTOPTDbuilding_aglarond.1; We cannot win this battle. We leave now, maybe we can return later with more dwarves!;Nous ne pouvons pas gagner alors partons !;;;;;;;;;;;;x
EVTTITbuilding_aglarond.2;Defeat...;Défaite...;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.2;The Orcs won the day, your troops are scatered and in too few numbers. There is nothing to be done except leave the place... alive if possible.;Les orcs ont gagné cette fois. Vos troupes sont dipersées et en trop petit nombre. Il n'y à rien à faire à part quitter les lieux... en essayant de rester en vie.;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.2;Retreat !!!;Retraite !;;;;;;;;;;;x
EVTTITbuilding_aglarond.3;Collapse;Effondrement;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.3;The digging caused a major collapse in the galleries. If you want to go deeper, you'll first have to consolidate what's already existing. It will take time and money for additional materials...;Des galleries se sont effondrées de façon importante, si vous souhaitez creuser plus loin, vous devrez d'abord consolider les galleries déja existantes... Cela prendra du temps et de l'argent pour des matériaux supplémentaires.;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.3;Reinforce the ceiling and the walls ! I'll watch from here.;Renforcez les galleries, je supervise tout cela !;;;;;;;;;;;x
EVTOPTBbuilding_aglarond.3;No more funds, only our arms !;Plus d'argent, juste la force de nos bras!;;;;;;;;;;x
