EVTTITlearncraft.1;I should learn to craft.;;;;;;;;;x
EVTDESClearncraft.1;With some time effort and money invested, I think I can learn or improve my crafting.;;;;;;;;;x
EVTOPTAlearncraft.1;Learn or Improve Crafting.;;;;;;;;;x
EVTOPTBlearncraft.1;Too expensive for me.;;;;;;;;;x
EVTTITlearncraft.2;Time to learn.;;;;;;;;;x
EVTDESClearncraft.2;I think I will be able to learn more in a few months.;;;;;;;;;x
EVTOPTAlearncraft.2;I need to focus!;;;;;;;;;x
EVTTITlearncraft.3;Enough time has passed.;;;;;;;;;x
EVTDESClearncraft.3;I think enough time has passed, I can try to improve again if I want.;;;;;;;;;x
EVTOPTAlearncraft.3;I can try again!;;;;;;;;;x
