#CRAFTING
EVTTITlearncraft.1;I should learn to craft.;;;;;;;;;x
EVTDESClearncraft.1;With some time, effort, and money invested, I think I can learn or improve my crafting.;;;;;;;;;x
EVTOPTAlearncraft.1;Learn or Improve Crafting.;;;;;;;;;x
EVTOPTBlearncraft.1;Too expensive for me.;;;;;;;;;x
EVTTITlearncraft.2;Time to learn.;;;;;;;;;x
EVTDESClearncraft.2;I think it's time to apply what I have learned and see if I have improved.;;;;;;;;;x
EVTOPTAlearncraft.2;I need to focus!;;;;;;;;;x
EVTTITlearncraft.3;Enough time has passed.;;;;;;;;;x
EVTDESClearncraft.3;I think enough time has passed, I can try to improve again if I want.;;;;;;;;;x
EVTOPTAlearncraft.3;I can try again!;;;;;;;;;x
#HEALING
EVTTITlearnherbal.1;I should learn to heal.;;;;;;;;;x
EVTDESClearnherbal.1;With some time, effort, and money invested, I think I can learn or improve my ability to heal those stricken by the ails of this world.;;;;;;;;;x
EVTOPTAlearnherbal.1;Learn or Improve Healing.;;;;;;;;;x
EVTOPTBlearnherbal.1;Too expensive for me.;;;;;;;;;x
EVTTITlearnherbal.2;Time to learn.;;;;;;;;;x
EVTDESClearnherbal.2;I think it's time to apply what I have learned and see if I have improved.;;;;;;;;;x
EVTOPTAlearnherbal.2;I need to focus!;;;;;;;;;x
EVTTITlearnherbal.3;Enough resting.;;;;;;;;;x
EVTDESClearnherbal.3;Enough time has passed, I can try to gather the materials I need to attempt to learn more if I want.;;;;;;;;;x
EVTOPTAlearnherbal.3;I can try again!;;;;;;;;;x
#SINGING/POETRY
EVTTITlearnsong.1;I should learn to sing.;;;;;;;;;x
EVTDESClearnsong.1;With some time, effort, and money invested, I think I can learn or improve my ability to compose poetry and songs and perhaps even my singing.;;;;;;;;;x
EVTOPTAlearnsong.1;Learn or Improve Singing.;;;;;;;;;x
EVTOPTBlearnsong.1;Too expensive for me.;;;;;;;;;x
EVTTITlearnsong.2;Time to learn.;;;;;;;;;x
EVTDESClearnsong.2;I think it's time to apply what I have learned and see if I have improved.;;;;;;;;;x
EVTOPTAlearnsong.2;I need to focus!;;;;;;;;;x
EVTTITlearnsong.3;Enough resting.;;;;;;;;;x
EVTDESClearnsong.3;I have rested long enough, I can return to my studies now and learn more about song-writing if I so choose.;;;;;;;;;x
EVTOPTAlearnsong.3;I can try again!;;;;;;;;;x
#WARRIOR (ELF/DWARF)
EVTTITlearnwarrior.1;Train for Battle.;;;;;;;;;x
EVTDESClearnwarrior.1;While peace is preferable, sometimes conflict comes in spite of all we do.  With some time, effort, and money invested, I am confident that I can learn to improve my skill in battle.;;;;;;;;;x
EVTOPTAlearnwarrior.1;Learn to become a true Elven Warrior!;;;;;;;;;x
EVTOPTBlearnwarrior.1;Learn to become a true Dwarven Warrior!;;;;;;;;;x
EVTOPTClearnwarrior.1;Too expensive for me.;;;;;;;;;x
EVTTITlearnwarrior.2;Ready to become a true Elven Warrior.;;;;;;;;;x
EVTDESClearnwarrior.2;My teachers are ready and I am prepared, time to see if I can apply these techniques I have learned to a final test!;;;;;;;;;x
EVTOPTAlearnwarrior.2;Train like you fight!;;;;;;;;;x
EVTTITlearnwarrior.3;Enough time has passed.;;;;;;;;;x
EVTDESClearnwarrior.3;I have recovered from the last test, I can resume my studies if I so chose.;;;;;;;;;x
EVTOPTAlearnwarrior.3;No more pushups!;;;;;;;;;x
EVTTITlearnwarrior.4;Ready to become a true Dwarven Warrior.;;;;;;;;;x
EVTDESClearnwarrior.4;My teachers are ready and I am prepared, time to see if I can apply these techniques I have learned to a final test!;;;;;;;;;x
EVTOPTAlearnwarrior.4;Train like you fight!;;;;;;;;;x

