EVTTITlearnwarrior.1;Defence of my home is key.;;;;;;;;;x
"EVTDESClearnwarrior.1;With some time effort and money invested, I am confident that I can become a true warrior.;;;;;;;;;x"
EVTOPTAlearnwarrior.1;Learn to become a true elf Warrior!;;;;;;;;;x
EVTOPTBlearnwarrior.1;Learn to become a true Dwarven Warrior!;;;;;;;;;x
EVTOPTClearnwarrior.1;Too expensive for me.;;;;;;;;;x
EVTTITlearnwarrior.2;Ready to become a true Elven Warrior.;;;;;;;;;x
"EVTDESClearnwarrior.2;My teachers are ready and I am prepared, time to see if I can master these techniques!;;;;;;;;;x"
EVTOPTAlearnwarrior.2;Train like you fight!;;;;;;;;;x
EVTTITlearnwarrior.3;Enough time has passed.;;;;;;;;;x
"EVTDESClearnwarrior.3;I think enough time has passed, I can try to improve again if I want.;;;;;;;;;x"
EVTOPTAlearnwarrior.3;No more pushups!;;;;;;;;;x
EVTTITlearnwarrior.4;Ready to become a true Dwarven Warrior.;;;;;;;;;x
"EVTDESClearnwarrior.4;My teachers are ready and I am prepared, time to see if I can master these techniques!;;;;;;;;;x"
EVTOPTAlearnwarrior.4;Train like you fight!;;;;;;;;;x
