#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMERoN.1;The Province of Umbar;La Province d'Umbar;;;;;;;;;;;;x
EVTDESCRoN.1;Umbar is one of the most ancient province of Gondor. During the Second Age, it was one of the most important trading ports of Numenor in Middle-Earth. Fortified in 2280 S.A., Ar-Pharazon landed there in 3261 S.A. to challenge Sauron himself. After that, Umbar remained a symbol of Numenorean pride. During the beginning of the Third Age, Umbar was inhabited by Black Numenoreans, before to be reconquered by Earnil. After the Kin-Strife of Gondor, in 1448 TA, the heirs of Castamir the Usurper established the fleets of the secessionists in this realm, and became independant. Since this time, the Corsairs of Umbar attacked the coasts of Gondor. But you conquered it, like Eärnil before you.;Umbar est l'une des plus ancienne province du Gondor. Pendant le Deuxième Âge, c'était l'un des ports commerciaux les plus importants de Númenor dans la Terre du Milieu. Fortifié en 2280 SA, Ar-Pharazôn y a atterri en 3261 SA pour se mesurer Sauron lui-même. Après sa victoire, Umbar restera un symbole de fierté Numenorean. Pendant le début du Troisième Âge, Umbar fut habitée par les Numénoréens Noirs, puis conquise par Eärnil en 933. Après la Guerre Fratricide du Gondor, en 1448 TA, les héritiers de Castamir l'Usurpateur établirent la flotte des rebelles en Umbar, et en ont fait un royaume indépendant. Depuis ce temps, les Corsaires d'Umbar attaqué les côtes du Gondor. Mais vous avez reconquis ces terres, comme Eärnil auparavant.;;;;;;;;;;;;x
EVTOPTARoN.1;Glory to the true heirs of Númenor !;Gloire aux vrais héritiers de Númenor !;;;;;;;;;;;;x
EVTNAMERoN.2;The Province of Harondor;La Province d'Harondor;;;;;;;;;;;;x
EVTDESCRoN.2;Harondor is the sindarin name of the province of South Gondor. At South of Ithilien, these lands were certainly conquered first by Tarannon Falastur, but were lost after the Kin-Strife. Since this time, the Corsairs of Umbar and the Haradrim are trying to conquer these lands for their own powers, and the wars made this demesne a desertic lands. The two elder brothers of Fengel, grand-father of Théoden, were killed in battle in Harondor, fighting for the Gondor.;Harondor est le nom sindarin de la province du Gondor du Sud. Au Sud de l'Ithilien, ces terres ont été certainement conquises par le Roi Tarannon Falastur, mais ont été perdues après la Guerre Fratricide. Depuis ce temps, les Corsaires d'Umbar et les Haradrim tentent de conquérir ces terres pour leurs propres pouvoirs, et les nombreuses guerres ont fait ce domaine une terre désertique. Les deux frères aînés de Fengel, grand-père de Théoden, sont morts au combat en Harondor, en se battant pour le Gondor.;;;;;;;;;;;;x
EVTOPTARoN.2;In memory of Tarannon Falastur!;A la mémoire de Tarannon Falastur!;;;;;;;;;;;;x
EVTNAMERoN.3;The Province of Calenardhon;La Province du Calenardhon;;;;;;;;;;;;x
EVTDESCRoN.3;"Calenardhon is the northern province of Gondor, from the Isen River to the mouthes of Entwash at East. Land of Pastures and grassland, many travellerers described it as a ""sea of grassland"". Some ancient fortresses of Gondor are still there, like the Orthanc, Dunharrow or Hornburg.";"Le Calenardhon est la province septentrionnale du Gondor. Bordé par l'Isen à l'Ouest et l'Anduin à l'Est, cette région est souvent décrite par les voyageurs comme une ""mer d'herbes"". De fait, terre de patures, le Calenardhon est réputé pour ses gigantesques étendues vallonnées, recouvertes d'herbes vertes.";;;;;;;;;;;;x
EVTOPTARoN.3;The green province.;Le pays vert.;;;;;;;;;;;;x
EVTNAMERoN.4;The Province of Ithilien;La Province d'Ithilien;;;;;;;;;;;;x
EVTDESCRoN.4;"The Land of the Moon. Ithilien is the eastern province of Gondor, with Mordor at his East, Harondor at South, and the Brownlands at North. Fair and prosperous land during the First Part of the Third Age, the land is known for his forests, and was named ""the Garden of Gondor"". The main fortress of this area is Minas Ithil, the twin city of Minas Tirith. Emyn Arnen is the most important city, at south of Osgiliath. ";"Le Pays de la Lune. C'est la province la plus orientale du Gondor, bordée par le Mordor à l'Est, l'Harondor au Sud et les Terres-Brunes au Nord. Belle et prospère durant la première moitié du Tiers Age, la terre est connue pour ses nombreuses forêts et son atmosphère apaisante. Elle prend alors le surnom de ""Jardin du Gondor"". Sa plus puissante forteresse est Minas Ithil, la soeur jumelle de Minas Tirith, et sa plus grande cité est Emyn Arnen, au Sud d'Osgiliath.";;;;;;;;;;;;x
EVTOPTARoN.4;The Gardens of Gondor !;Les Jardins du Gondor !;;;;;;;;;;;;x
EVTNAMERoN.5;The Crown of Gondor;La Couronne du Gondor;;;;;;;;;;;;x
EVTDESCRoN.5;The last heir of Isildur died, and the line is now extinct. You're the leader of one of the noblest families of Gondor, and this family governs the Gondor for generations. It's time for you, the Steward of Gondor, to claim the Kingship!;;;;;;;;;;;;;x
EVTOPTARoN.5;I'm the King of Gondor!;Je suis le Roi du Gondor !;;;;;;;;;;;;x
EVTOPTBRoN.5;No more Kings for Gondor.;Plus de Rois pour le Gondor.;;;;;;;;;;;;x
EVTNAMERoN.6;The Crown of Gondor;La Couronne du Gondor;;;;;;;;;;;;x
EVTDESCRoN.6;The last heir of Isildur is dead, and the line is now extinct. The Steward of Gondor, whose family has ruled Gondor for centuries, decided to claim the kingship. There is now again a King in Gondor,  and he'll do everything to restore the Southern Kingdom to its former glory.;Le dernier héritier d'Isildur est mort, et la lignée est maintenant éteinte. L'Intendant du Gondor, dont la famille gouverne le Gondor depuis des siècles, a décidé de réclamer la Royauté. Il y a maintenant de nouveau un Roi au Gondor, et il fera tout pour redonner au Royaume du Sud sa gloire de jadis.;;;;;;;;;;;;x
EVTOPTARoN.6;A King in Gondor.;Un Roi au Gondor.;;;;;;;;;;;;x
EVTNAMERoN.7;The Crown of Arthedain;La Couronne d'Arthedain;;;;;;;;;;;;x
EVTDESCRoN.7;There is now again a King in Arthedain.;Il y a maintenant de nouveau un Roi en Arthedain.;;;;;;;;;;;;x
EVTOPTARoN.7;A King in Arthedain.;Un Roi en Arthedain.;;;;;;;;;;;;x
EVTNAMERoN.8;The Crown of Cardolan;La Couronne de Cardolan;;;;;;;;;;;;x
EVTDESCRoN.8;There is now again a King in Cardolan.;Il y a maintenant de nouveau un Roi au Cardolan.;;;;;;;;;;;;x
EVTOPTARoN.8;A King in Cardolan.;Un Roi au Cardolan.;;;;;;;;;;;;x
EVTNAMERoN.9;The Crown of Rhudaur;La Couronne de Rhudaur;;;;;;;;;;;;x
EVTDESCRoN.9;There is now again a King in Rhudaur.;Il y a maintenant de nouveau un Roi au Rhudaur.;;;;;;;;;;;;x
EVTOPTARoN.9;A King in Rhudaur.;Un Roi au Rhudaur.;;;;;;;;;;;;x
