#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITamroth.0;The Story of Amroth and Nimrodel;L'Histoire d'Amroth et Nimrodel;;;;;;x
EVTDESCamroth.0;You're Amroth, King of Lórien, a Lord of the Sindar in the midst of a people of Sylvan. While most agreed you and love you, your heart has turned to an inaccessible person : Nimrodel. She had lived in Lothlórien since well before the Sindar and Noldor came. She was unhappy with the newcomers, as she thought they would bring the turmoils of Middle-earth to the golden forest. She lived separately near the river that would later bear her name, and spoke only her native tongue. She love you, but refuse to marry you. Only an extraordinary event could change that, and you'll wait for it.;Vous êtes Amroth, Roi de la Lorien, un Seigneur des Sindar, au milieu d'un peuple de Sylvains. Alors que la plupart vous convenir et vous aimez, votre coeur est comme une personne inaccessible: Nimrodel. Elle avait vécu dans la Lothlorien depuis bien avant l'arrivée des Sindar et Noldor. Elle était malheureuse avec les nouveaux arrivants, car elle pensait qu'ils apporteraient les tourments de la Terre du Milieu à la forêt d'or. Elle vivait séparément près de la rivière qui allait plus tard porter son nom, et ne parlait que sa langue maternelle. Elle vous aime, mais refuse de vous marier. Seul un événement extraordinaire pourrait changer cela, et vous allez l'attendre.;;;;;;x
EVTOPTAamroth.0;She's my only love…;Elle est mon seul Amour…;;;;;;x
EVTTITamroth.1;The Fall of the Moria;La Chute de la Moria;;;;;;x
EVTDESCamroth.1;An abomination has awakened in the tunnels of Khazad-Dûm, and the dwarves of Durin's Folk fled their ancient city. Since then, many orcs roam around Kheled-zâram, and your home is no longer safe. You should leave Lorien, despite the love you have for this land ...;Une abomination s'est éveillée dans les tunnels de Khazad-Dûm, et les nains du Peuple de Durin se sont enfuis de leur antique cité. Depuis, de nombreux orques rodent autour de Kheled-zâram, et votre demeure n'est plus sure. Vous devriez quitter la Lorien, malgré l'amour que vous avez pour cette terre...;;;;;;x
EVTOPTAamroth.1;I need to leave my river!;Je dois quitter ma rivière!;;;;;;x
EVTOPTBamroth.1;This is my country.;C'est mon pays.;;;;;;x
EVTTITamroth.2;The Departure of Nimrodel;Le Départ de Nimrodel;;;;;;x
EVTDESCamroth.2;Khazad-Dum has fallen into the hands of an abomination of the past, and orcs roam near the borders of your country. You learn that Nimrodel fled its river heading south, and your heart tells you to go to his rescue. But your kingdom needs you in these dark hours. What will you do?;Khazad-Dûm est tombée entre les mains d'une abomination du passé, et les orques rodent près des frontières de votre pays. Vous apprenez que Nimrodel a abandonné sa rivière pour partir vers le Sud, et votre coeur vous dit d'aller à son secours. Mais votre Royaume a besoin de vous en ces heures sombres. Qu'allez-vous faire?;;;;;;x
EVTOPTAamroth.2;I need to find her…;Je dois la retrouver…;;;;;;x
EVTOPTBamroth.2;I can't leave my Kingdom…;Je ne peux pas quitter mon Royaume…;;;;;;x
EVTTITamroth.3;To the rescue of Nimrodel;À la rescousse de Nimrodel;;;;;;x
EVTDESCamroth.3;You went to the south, beyond the borders of your kingdom. You can find some traces of Elves company, heading Fangorn. It seems almost certain that this is the company of Nimrodel. Will you continue your journey in this direction?;Vous êtes parti vers le Sud, au-delà des frontières de votre royaume. Vous trouvez quelques traces d'une compagnie d'elfes, se dirigeant vers Fangorn. Il semble presque certain qu'il s'agit de la compagnie de Nimrodel. Allez-vous continuer votre route dans cette direction?;;;;;;x
EVTOPTAamroth.3;I'll follow these traces !;Je vais suivre ces traces!;;;;;;x
EVTOPTBamroth.3;I can't go so far away from my kingdom…;Je ne peux aller si loin de mon Royaume…;;;;;;x
EVTTITamroth.4;The Edges of Fangorn;La Lisière de Fangorn;;;;;;x
EVTDESCamroth.4;You finally find Nimrodel and his company on the edge of the forest of Fangorn. She seems terrified, and tells you that the forest refused her. You stand in front of her, your heart ready to explode after fears of losing her ...;Vous retrouvez finalement Nimrodel et sa compagnie, à la lisière de la forêt de Fangorn.  Elle semble terrifiée, et vous dit que la forêt lui refuse l'entrée. Vous vous tenez face à elle, votre coeur prêt à exploser après avoir craint de la perdre…;;;;;;x
EVTOPTAamroth.4;I want to marry you, Nimrodel.;Je veux vous épouser, Nimrodel.;;;;;;x
EVTTITamroth.5;The Asking of Amroth;La Demande d'Amroth;;;;;;x
EVTDESCamroth.5;Amroth was able to find you, while you were at the entrance to the forest of Fangorn. He confessed his love for you, and said he would do anything to marry you. What will you answer him?;Amroth a réussi à vous rattraper, alors que vous étiez à l'entrée de la forêt de Fangorn. Il vous a avoué son amour, et dit qu'il serait prêt à tout pour vous épouser. Qu'allez-vous lui répondre?;;;;;;x
EVTOPTAamroth.5;I agree, if you find a Kingdom without wars.;J'accepte, si vous trouvez un Royaume sans Guerres.;;;;;;x
EVTOPTBamroth.5;I refuse.;Je refuse.;;;;;;x
EVTOPTCamroth.5;;;;;;;;x
EVTTITamroth.6;The Answer of Nimrodel;La Réponse de Nimrodel;;;;;;x
EVTDESCamroth.6;Nimrodel agrees to marry you, but raises an important condition. You must find a kingdom where you can live happily, and where no war will disturb your happiness. You understand that only a journey towards the West and the Lands of Valinor can meet this requirement. You know you'll give up your Kingdom and your people, but your heart tells you to follow this path.;Nimrodel accepte de vous épouser, mais pose une condition importante. Vous devez trouver un Royaume où vous pourrez vivre heureux, et où aucune guerre ne viendra troubler votre bonheur. Vous comprenez que seul un départ vers l'Ouest et les Terres de Valinor peut remplir cette condition. Vous savez que vous abandonnerez votre Royaume, mais votre coeur vous dicte de suivre ce chemin.;;;;;;x
EVTOPTAamroth.6;I know where we'll go.;Je sais où nous irons.;;;;;;x
EVTTITamroth.7;The Answer of Nimrodel;La Réponse de Nimrodel;;;;;;x
EVTDESCamroth.7;Nimrodel refuses to marry you, despite the love she has for you. She tells you that you can never live in peace together, and she doesn't want to suffer the torments of war on your side.;Nimrodel refuse de vous épouser, malgré l'amour qu'elle a pour vous. Elle vous dit que jamais vous ne pourrez vivre en paix ensemble, et qu'elle ne veut pas subir les tourments de la guerre à vos cotés.;;;;;;x
EVTOPTAamroth.7;My heart is broken.;Mon cœur est brisé.;;;;;;x
EVTTITamroth.8;The Road to Edhellond;La Route d'Edhellond;;;;;;x
EVTDESCamroth.8;You know that a Sindar port is on the coast of Belfalas in Gondor. This is the quickest way to reach the land of Valinor, and you decide to head south through the White Mountains.;Vous savez qu'un port de Sindar se trouve sur les côtes du Belfalas, en Gondor. C'est le chemin le plus rapide pour rejoindre les terres de Valinor, et vous décidez de partir vers le Sud à travers les Montagnes Blanches.;;;;;;x
EVTOPTAamroth.8;A long road...;Une longue route…;;;;;;x
EVTTITamroth.9;Robbers in the White Mountains;Brigands des les Montagnes Blanches;;;;;;x
EVTDESCamroth.9;You're going through the White Mountains when you come face to face with a band of brigands. Your company has many women and few soldiers, and you need to protect your wife. What will you do?;Vous êtes en train de traverser les Montagnes Blanches quand vous tombez nez à nez avec une bande de brigands. Votre compagnie comporte beaucoup de femmes et peu de soldats, et vous devez protéger les votres. Qu'allez-vous faire?;;;;;;x
EVTOPTAamroth.9;Go ahead Nimrodel, i'll fight them !;Va en avant Nimrodel, je vais les combattre !;;;;;;x
EVTOPTBamroth.9;Nimrodel, stay with me!;Nimrodel, reste à mes cotés !;;;;;;x
