#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTDESCarchivesgondor.0;The Important characters are :;Les Personnages les plus importants du Gondor sont :;;;;;;x
OPTAarchivesgondor.0;The Kings of Gondor;Les Rois du Gondor;;;;;;x
OPTBarchivesgondor.0;Rangers of Ithilien;Les Rangers de l'Ithilien;;;;;;x
OPTCarchivesgondor.0;Knights of Dol Amroth;Les Chevaliers de Dol Amroth;;;;;;x
OPTDarchivesgondor.0;Captain-Generals of Gondor;Les Capitaines-Général du Gondor;;;;;;x
TOOLTIPMEMDURINGKING;during the reign of [This.Liege.GetTitledFirstName] of the House [This.Liege.GetOnlyDynastyName];durant le règne de [This.Liege.GetTitledFirstName], de la maison [This.Liege.GetOnlyDynastyName];;;;;;x
TOOLTIPKNIGHTAMROTH;Knight [This.GetFirstName] [This.GetOnlyDynastyName];Chevalier [This.GetFirstName] [This.GetOnlyDynastyName];;;;;;x
TOOLTIPKNOWNNICK;also known as  [This.GetBestName],;surnommé [This.GetBestName],;;;;;;x
TOOLTIPBRAVE; who was known to be most courageous; qui était connu pour être courageux;;;;;;x
TOOLTIPDILIGENT; and was unyielding in their devotion to their vows; et resta inflexible quant au respect de ses vœux;;;;;;x
TOOLTIPKIND; who was known to be compassionate; qui était connu pour sa compassion;;;;;;x
TOOLTIPhumble; who was remembered as being a humble knight; qui était connu pour sa grande humilité;;;;;;x
TOOLTIPfair; as well as being most fair to look upon; ainsi que d'une grande beauté.;;;;;;x
TOOLTIPstrong; as well as possessing immense strength; et qui possédait une force immense;;;;;;x
TOOLTIPtall; as well as towering above common men; et qui dépassait tous le monde de plusieurs têtes;;;;;;x
TOOLTIPCAPTAINGENERAL;Captain-General [This.GetFirstName]  [This.GetOnlyDynastyName];Capitaine-General [This.GetFirstName]  [This.GetOnlyDynastyName];;;;;;x
TOOLTIPhorngondor;, who owned the Horn of Gondor;, qui possédait le Cor du Gondor;;;;;;x
TOOLTIPRANGERSITHILIEN;Ranger [This.GetFirstName] of Ithilien;Ranger [This.GetFirstName] d'Ithilien;;;;;;x
TOOLTIPimposing; as well as the most imposing of all the soldiers; et qui était le plus imposant de toute sa compagnie;;;;;;x
TOOLTIPKINGGONDOR;King [This.GetFirstName];Roi [This.GetFirstName];;;;;;x
TOOLTIPROMENDACIL;, who was known to have defeated the Men of the East;, qui est renommé pour avoir défait les Hommes de l'Est;;;;;;x
TOOLTIPPRESTIGIOUS;, who was a prestigious King, ;, qui fut un roi glorieux, ;;;;;;x
TOOLTIPHYARMENDACIL;, who was known to have defeated the Haradrim;, qui est renommé pour avoir défait les Haradrim;;;;;;x
TOOLTIPUMBARDACIL;, who was known to have conquered Umbar;, qui est renommé pour avoir conquis Umbar;;;;;;x
TOOLTIPRING;, who was known holds the One Ring;, qui est renommé pour avoir tenu l'Anneau Unique;;;;;;x
TOOLTIPNARSIL;, who was known to have wielded Narsil;, qui est renommé pour avoir brandi Narsil au combat;;;;;;x
TOOLTIPANDURIL;, who was known to have wielded Anduril;, qui est renommé pour avoir brandi Anduril au combat;;;;;;x
TOOLTIPSHIPKING;, who was known to be a Ship-King;, qui est renommé pour avoir fait partie des Rois Navigateurs;;;;;;x
