#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
unificate_dwarves;Call the Council of the Kings;Réunir le Conseil des Rois;;;;;;;;;;;;;x
EVTTITunificatedwarves.0;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.0;Formerly, in the heart of Mount Gundabad where Durin the Deathless awoke, all the Kings of the Dwarves met in a Great Council. They exchanged information, traded, and allied themselves against the forces of Morgoth. But for several millennia, Mount Gundabad was in the hands of orcs, and the Council could not meet. This area has recently been reclaimed, and it's now time to reunite all the Dwarves under the same banner once more.;Autrefois, au coeur du Mont Gundabad où s'éveilla Durin Trompe-la-Mort, les Nains de toutes les tribus se réunissaient en une Grande Assemblée. Ils s'échangeaient leurs informations, commerçaient, s'alliaient contre les Forces de Morgoth. Mais pendant plusieurs millénaires, le Mont Gundabad fut entre les mains des orques, et l'Assemblée ne put se réunir. Ce territoire a été reconquis dernièrement, et il est temps maintenant de réunir de nouveau tous les Nains sous la même bannière.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.0;I will call all the Dwarven Kingdoms!;Je vais appeler tous les Royaumes des Nains!;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.0;The tribes won't unify...;Je n'unifierais pas les Tribus.;;;;;;;;;;;;;x
EVTTITunificatedwarves.1;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.1;Formerly, in the heart of Mount Gundabad where Durin the Deathless awoke, all the Kings of the Dwarves met in a Great Council. They exchanged information, traded, and allied themselves against the forces of Morgoth. But for several millennia, Mount Gundabad was in the hands of orcs, and the Council could not meet. This area has recently been reclaimed, and [From.GetTitle] [From.GetFirstName] has invited you to join the New Assembly.;Autrefois, au coeur du Mont Gundabad où s'éveilla Durin Trompe-la-Mort, les Nains de toutes les tribus se réunissaient en une Grande Assemblée. Ils s'échangeaient leurs informations, commerçaient, s'alliaient contre les Forces de Morgoth. Mais pendant plusieurs millénaires, le Mont Gundabad fut entre les mains des orques, et l'Assemblée ne put se réunir. Ce territoire a été reconquis dernièrement, et le [From.GetTitle] [From.GetFirstName] vous a invité à rejoindre cette Assemblée..;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.1;I will come.;Je viendrais.;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.1;I won't come.;Je ne viendrais pas.;;;;;;;;;;;;;x
EVTTITunificatedwarves.2;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.2;[From.GetTitle] [From.GetFirstName] has accepted your invitation and will join the Great Council of the Dwarves, to be held in the heart of Mount Gundabad.;[From.GetTitle] [From.GetFirstName] a accepté votre invitation, et rejoindra la Grande Assemblée des Nains qui se tiendra au coeur du Mont Gundabad.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.2;Perfect!;Parfait !;;;;;;;;;;;;;x
EVTTITunificatedwarves.3;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.3;The Kings of the Dwarves have gathered in Mount Gundabad for the Great Council, as in the past. While you run this first meeting, you submit an initial proposal to the Council of Dwarves: Unifying all the tribes of the Dwarves, in order to create a supremely powerful dwarf nation.;Les Rois des Nains se sont réunis au sein du Mont Gundabad en une Grande Assemblée, comme au temps jadis. Alors que vous dirigez cette première réunion, vous soumettez une première proposition au Conseil des Nains : Unifier toutes les Tribus des Nains, et créer une puissante nation naine.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.3;I ask you to unify all the Tribes under a King of All the Mountains!;Unifions les Tribus sous le règne d'un Roi de toutes les Montagnes!;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.3;No, it's not the time.;Non, ce n'est pas l'heure.;;;;;;;;;;;;;x
EVTTITunificatedwarves.4;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.4;The Kings of Dwarves gathered in Mount Gundabad for the Grand Assembly, as in the past. The Interim Head of the Council proposed to unify all the tribes and kingdoms of the dwarves under the reign of a King of all Mountains, elected by the Council of Kings.;Les Rois des Nains se sont réunis au sein du Mont Gundabad en une Grande Assemblée, comme au temps jadis. Le Chef provisoire du Conseil a proposé d'unifier toutes les tribus et Royaumes des Nains sous le règne d'un Roi de toutes les Montagnes, qui serait élu par le Conseil des Rois.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.4;I accept this proposal.;J'accepte cette unification.;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.4;No, I don't want to join them.;Non, je ne veux pas de ça.;;;;;;;;;;;;;x
