#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
black_serpent;Legion of the Black Serpent;Légion du Serpent Noir;;;;;;;;;;;;x
black_serpent_desc;This character has joined the Legion of the Black Serpent, an elite unit of the Haradrim. With his brothers in arms, they are sowing terror in the ranks of the enemy.;Ce personnage a rejoins la Légion du Serpent Noir, une unité d'élite des haradrim. Avec ses frères d'armes, ils font régner la terreur dans les rangs des ennemis.;;;;;;;;;;;;x
establish_black_serpent;Establish the Legion of the Black Serpent;Créer la Légion du Serpent Noir.;;;;;;;;;;;;x
establish_black_serpent_desc;Every great King of the Haradrim gathered around him an elite unit, with the best warriors of his kingdom. You're the most powerful ruler of Harad, and it may be time for you to resurrect the Black Serpent legend, for your own glory.;Chaque grand Roi des Haradrim a réuni autour de lui une unité d'élite, comportant les meilleurs guerriers de son royaume. Vous êtes le plus puissant souverain du Harad, et il est peut-être temps pour vous de réssuciter le mythe du Serpent Noir.;;;;;;;;;;;;x
TOOLTIPESTABLISHBS;We'll establish this unit!;Nous allons le faire!;;;;;;;;;;;;x
send_son_black_serpent;Send [From.GetBestName] to the Black Serpent.;Envoyer [From.GetBestName] auprès du Serpent Noir.;;;;;;;;;;;;x
send_son_black_serpent_desc;By sending your son serve under the Black Serpent, you'll make him one of the most feared warriors of your kingdom . Maybe he'll come also a day where he'll claim to be the Black Serpent himself, for the glory of your family.;En envoyant votre fils servir sous les ordres du Serpent Noir, vous ferez de lui l'un des guerriers les plus crains de votre royaume. Peut-être arrivera-t-il également à revendiquer un jour le titre de Serpent Noir pour la gloire de votre famille.;;;;;;;;;;;;x
EVTDESCblackserpent.0;There's an ancient tradition among the Haradrim. Each time a lord comes to reunify the clans, he establish a powerful order, led by a commander feared and respected, known as the Black Serpent. This elite unit brings together the strongest and most powerful warriors of Haradrim, and create a reign of terror in the ranks of the enemy. You've succeeded in your turn to become the most powerful Lord of Harad, and as such, you can now recreate this prestigious order. The Black Serpent will lead once again the armies of the Haradrim in battle, if you decide to follow the tradition now.;Il est une tradition ancestrale parmi les Haradrim. A chaque fois qu'un seigneur arrive à réunifier les clans du Sud, il met en place un puissant ordre, dirigé par un Commandant craint et respecté, connu sous le pseudonyme de Serpent Noir. Cette unité d'élite rassemble les plus forts et plus puissants des guerriers des Haradrim, et fait régner la terreur dans les rangs des ennemis. Vous avez réussi à votre tour à devenir le plus puissant des seigneurs du Harad, et à ce titre, vous pouvez maintenant recréer cet ordre prestigieux. Le Serpent Noir mènera de nouveau les armées des Haradrim au combat, si vous le décidez maintenant.;;;;;;;;;;;;x
EVTOPTAblackserpent.0;I need this powerful order.;J'ai besoin de cet ordre puissant.;;;;;;;;;;;;x
EVTOPTBblackserpent.0;My power is strong enough without it.;Mon pouvoir est assez puissant sans lui.;;;;;;;;;;;;x
EVTDESCblackserpent.1;"You've decided to recreate the powerful Order of the Legion of the Black Serpent. So this banner will again float on the world and lead your armies to victory. As the creator of the Order, you have the power and honor to choose the first Commandant who'll be called ""the Black Serpent"". It's a tough choice, as he'll lead one of the greatest strengths of your kingdom. Who will you choose?";Vous avez décidé de recréer le puissant Ordre de la Légion du Serpent Noir. Son étendard va donc de nouveau flotter sur le monde, et mener vos armées à la victoire. En tant que créateur de l'Ordre, vous avez le pouvoir de choisir le premier Commandant qui portera le nom de Serpent Noir. C'est un choix difficile, car il dirigera l'une des plus grandes forces de votre Royaume. Qui allez-vous choisir?;;;;;;;;;;;;x
EVTOPTAblackserpent.1;I'll choose one of the Mightest Warriors.;Je vais choisir l'un des plus puissants guerriers.;;;;;;;;;;;;x
EVTOPTBblackserpent.1;I'll choose a good tacticien.;Je vais choisir un bon stratège.;;;;;;;;;;;;x
EVTOPTCblackserpent.1;I'll choose the son of a Chieftain of the Haradrim.;Je vais choisir un Seigneur des Haradrim.;;;;;;;;;;;;x
EVTDESCblackserpent.2;You've chosen to appoint one of the most powerful warriors of your realm. A wise choice, and there's no doubt that he'll gain respect from his men, by force if necessary. Here's a selection of the best fighters we have gathered, allowing you to choose between several candidates.;Vous avez choisi de nommer l'un des plus puissants guerriers de votre royaume. Un choix judicieux, et il ne fait aucun doute qu'il saura se faire respecter de ses hommes, par la force si besoin. Voici une sélection des meilleurs combattants que nous avons rassemblés, vous permettant ainsi de choisir entre plusieurs candidats.;;;;;;;;;;;;x
EVTOPTAblackserpent.2;[BS_1.GetTitledFirstName] [BS_1.GetOnlyDynastyName], you can become the Black Serpent.;[BS_1.GetTitledFirstName] [BS_1.GetOnlyDynastyName], vous pouvez devenir le Serpent Noir.;;;;;;;;;;;;x
EVTOPTBblackserpent.2;[BS_2.GetTitledFirstName] [BS_2.GetOnlyDynastyName], you can become the Black Serpent.;[BS_2.GetTitledFirstName] [BS_2,GetOnlyDynastyName], vous pouvez devenir le Serpent Noir.;;;;;;;;;;;;x
EVTOPTCblackserpent.2;[BS_3.GetTitledFirstName] [BS_3.GetOnlyDynastyName], you can become the Black Serpent.;[BS_3.GetTitledFirstName] [BS_3,GetOnlyDynastyName], vous pouvez devenir le Serpent Noir.;;;;;;;;;;;;x
EVTOPTDblackserpent.2;None of them deserves it.;Ils ne le méritent pas.;;;;;;;;;;;;x
EVTDESCblackserpent.3;You've chosen to appoint one of the most wise tacticien of your realm. A good choice, and there's no doubt that he'll be able to lead perfectly your troops in the battle. Here's a selection of the best commandants we have gathered, allowing you to choose between several candidates.;Vous avez choisi de nommer l'un des plus fins tacticiens de votre royaume. Un choix judicieux, et il ne fait aucun doute qu'il saura diriger avec sagesse vos armées sur le champ de bataille. Voici une sélection des meilleurs stratèges que nous avons rassemblés, vous permettant ainsi de choisir entre plusieurs candidats.;;;;;;;;;;;;x
EVTDESCblackserpent.4;You've chosen to appoint one of the heirs of the Chieftains of the Haradrim. A good choice, and there's no doubt that with a true Chief as the Black Serpent, your vassals will follow him. Here's a selection of the best young lords we have gathered, allowing you to choose between several candidates.;Vous avez choisi de nommer l'un des enfants des Seigneurs des Haradrim. Un choix judicieux, et il ne fait aucun doute qu'avec un Seigneur commandant vos armées, vos vassaux le suivront sur le champ de bataille. Voici une sélection des meilleurs jeunes que nous avons rassemblés, vous permettant ainsi de choisir entre plusieurs candidats.;;;;;;;;;;;;x
EVTDESCblackserpent.5;Great News, My Lord! The Lord of the Haradrim offers you to take one of the most prestigious post, the Black Serpent. With this title, you will command the armies of Harad, and you will be one of the most faired commandants of Middle Earth. What should we respond?;Grande Nouvelle, Mon Seigneur! Le Seigneur des Haradrim vous propose de prendre un poste des plus prestigieux, celui de Serpent Noir. Avec ce titre, vous commanderez les armées du Harad, et vous serez l'un des commandants les plus crains de la Terre du Milieu. Que devons-nous répondre?;;;;;;;;;;;;x
EVTOPTAblackserpent.5;That seems acceptable.;Cela semble acceptable.;;;;;;;;;;;;x
EVTOPTBblackserpent.5;I don't want it.;Je ne le souhaite pas.;;;;;;;;;;;;x
EVTDESCblackserpent.6;Good news, my King. A Black Serpent stood among the tribes of Harad and now command your units. No doubt that many will want to join the warriors, and with time, the order you created will certainly become the most powerful of the world. The time has come to celebrate your power.;Bonne nouvelle, mon Roi. Un Serpent Noir s'est élevé parmi les tribus du harad, et commande à présent vos unités d'élite. Nul doute que bien des guerriers voudront le rejoindre, et avec le temps, l'Ordre que vous avez créé deviendra certainement le plus puissant du Monde. Le temps est venu de célébrer votre puissance.;;;;;;;;;;;;x
EVTOPTAblackserpent.6;My army will be invincible.;Mes armées serons invincibles.;;;;;;;;;;;;x
EVTDESCblackserpent.7;Bad news, my King. The Black Serpent is still not active because your proposal was rejected by the one you chose. You'll have to find another candidate.;Mauvaise Nouvelle, mon Roi. Le Serpent Noir n'est toujours pas actif, car votre proposition a été refusée par celui que vous aviez choisi. Vous allez devoir trouver un autre candidat.;;;;;;;;;;;;x
EVTOPTAblackserpent.7;He's such a coward.;C'est un lâche.;;;;;;;;;;;;x
EVTDESCblackserpent.100;Your father decided that you will be more useful as a member of the Black Snake elite unit, and so sent you to other warriors. You will definitely become very powerful and fear by all.;Votre père a décidé que vous serez plus utile en tant que membre de l'unité d'élite du Serpent Noir, et vous a donc envoyé auprès des autres guerriers. Vous deviendrez certainement très puissant et crains par tous.;;;;;;;;;;;;x
EVTDESCblackserpent.20;You are the Black Serpent, the most powerful commander of all Harad, yet your men must be content to train on land that doesn't belong to you. You should ask the Lord of Harad to give you a fortress, to be able to secure your power permanently.;Vous êtes le Serpent Noir, le Commandant le plus puissant de tout Harad, et pourtant, vos hommes doivent se contenter de s'entrainer sur des territoires qui ne vous appartiennent pas. Vous devriez demander au Seigneur du Harad de vous donner une forteresse, afin que vous puissiez asseoir votre pouvoir durablement.;;;;;;;;;;;;x
EVTOPTAblackserpent.20;Give me a Fortress!;Donnez-moi une Forteresse!;;;;;;;;;;;;x
EVTDESCblackserpent.21;The Black Serpent just sent you a messenger, my lord. He asks you to allow him to install his men in a fortress that belong to him, to become independent of local chiefs. This will allow him to better prepare his men, and so serve you with dignity.;Le Serpent Noir vient de vous envoyer un messager, monseigneur. Il vous demande de lui permettre d'installer ses hommes dans une forteresse qui lui appartiendrait, afin de ne plus dépendre des Chefs locaux. Cela lui permettra de mieux préparer ses hommes, et ainsi de vous servir dignement.;;;;;;;;;;;;x
EVTOPTAblackserpent.21;They deserves their own fortress.;Ils méritent leur propre forteresse.;;;;;;;;;;;;x
EVTOPTBblackserpent.21;I don't have any lands to give for now.;Je n'ai pas de terres à donner pour le moment.;;;;;;;;;;;;x
