#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
build_erebor;A new Kingdom Under The Mountain;Le Royaume Sous La Montagne;;;;;;;;;;;;x
build_erebor_desc;Found the most powerfull a wealthy kingdom of the dwarves after Khazâd-dum.;Fondez le plus puissant et riche royaume des Nains après Khazâd-dum.;;;;;;;;;;;;x
EVTTITbuilding_erebor.0;A new Kingdom Under The Moutain.;Un nouveau Royaume Sous La Montagne. ;;;;;;;;;;;x
EVTDESCbuilding_erebor.0;You can now try to build and establish a new major dwarven kingdom under the Lonely Mountain, but it won't be easy.;Vous pouvez maintenant essayer de créer un nouveau royaume nain sous la Montagne Solitaire, mais cela ne sera pas chose aisée.;;;;;;;;;;;;x
EVTOPTAbuilding_erebor.0;Let's do it !;Faisons-le !;;;;;;;;;;;;x
EVTOPTBbuilding_erebor.0;No, I'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuilding_erebor.1;Orc Raid;Pillards Orcs;;;;;;;;;;;;x
EVTDESCbuilding_erebor.1;On the way to the Lonely Mountain, an unemployed mercenary company tells you about a camp of orc raiders ahead. The orcs are a larger group than yours, but there is no way to pass undetected. The mercenaries propose you to hire them...;Sur le trajet vers la Montagne Solitaire, une compagnie de mercenaires vous prévient qu'il y-a un campement de pillards orcs devant vous. C'est un groupe plus important que le votre, mais il est impossible de les dépasser sans se faire repérer. Les mercenaires vous proposent leurs services.;;;;;;;;;;;;x  
EVTOPTAbuilding_erebor.1;Hire the mercenaries and watch.;Enrôler les mercenaires et regarder.;;;;;;;;;;;;x
EVTOPTBbuilding_erebor.1;Fight without the mercenaries;Combattre sans les mercenaires.;;;;;;;;;;;;x
EVTOPTCbuilding_erebor.1;Hire the mercenaries and lead the fight;Enrôler les mercenaires et combattre.;;;;;;;;;;;;x
EVTOPTDbuilding_erebor.1; We cannot win this battle. We leave now !;Nous ne pouvons pas gagner alors partons !;;;;;;;;;;;;x
EVTTITbuilding_erebor.2;Defeat...;Défaite...;;;;;;;;;;;;x
EVTDESCbuilding_erebor.2;The Orcs won the day, your troops are scatered and in too few numbers. There is nothing to be done except leaving the place... alive if possible.;Les orcs ont gagné cette fois. Vos troupes sont dipersées et en trop petit nombre. Il n'y à rien à faire à part quitter les lieux... en essayant de rester en vie.;;;;;;;;;;;x
EVTOPTAbuilding_erebor.2;Retreat !!!;Retraite !;;;;;;;;;;;x
EVTTITbuilding_erebor.3;Collapse;Effondrement;;;;;;;;;;;;x
EVTDESCbuilding_erebor.3;The digging caused a major collapse in the galleries. If you want to go deeper, you'll first have to consolidate what's already existing. It will take time and money for additional materials...;Des galleries se sont effondrées de façon importante, si vous souhaitez creuser plus loin, vous devrez d'abord consolider les galleries déja existantes... Cela prendra du temps et de l'argent pour des matériaux supplémentaires.;;;;;;;;;;;;x
EVTOPTAbuilding_erebor.3;Reinforce the ceiling and the walls ! I'll watch from here.;Renforcez les galleries, je supervise tout cela !;;;;;;;;;;;x
