#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITbuildings.1;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.1;Since the decline of Arthedain and abandonment of Fornost in TA 1974, the fortress has fallen into ruin. You can try to rebuild and reestablish the ruins, but it won't be easy.;Depuis la chute de Fornost en 1974 TA, la forteresse est tombée en ruines. Vous pouvez maintenant essayer de la rebatir et d'y établir votre territoire, mais cela ne sera pas chose aisée.;;;;;;;;;;;;x
EVTOPTAbuildings.1;Fornost will rise once more!;Fornost va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.1;No, I'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.2;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.2;After some scouting, it is clear that Fornost is inhabited by wolves and evil spirits. If you want to rebuild the ancient capital of Arthedain, you will first have to hunt and drive out all of these creatures...;Vous vous rendez compte que Fornost n'est habitée que par les loups et les esprits mauvais. Si vous souhaitez rebatir l'ancienne capitale de l'Arthedain, vous devrez d'abord en chasser toutes les créatures...;;;;;;;;;;;;x
EVTOPTAbuildings.2;I will slay all the beasts!;Je vais tuer toutes les créatures maléfiques !;;;;;;;;;;;;x
EVTOPTBbuildings.2;No, it's too dangerous...;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.3;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.3;You managed to hunt most of the creatures within the ruins of Fornost. There are still some wolves, but you will easily drive them out. Now, the hard work begins. You must clean the city of debris and overgrown vegetation.;Vous avez réussi à chasser la plupart des créatures des ruines de Fornost. Il reste encore quelques loups, mais vous en viendrez facilement à bout. Maintenant, le travail le plus difficile commence, il faut nettoyer la cité des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.3;I will clear out the fortress.;Je vais nettoyer la forteresse.;;;;;;;;;;;;x
EVTOPTBbuildings.3;No, I'm exhausted...;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.4;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.4;The creatures that haunt Fornost are stronger than you thought, and you have failed to dislodge them. After many fights, you decide to leave the ruins of the fortress of Arthedain.;Les créatures qui hantent Fornost sont plus fortes que vous ne le pensiez, et vous n'avez pas réussi à les déloger. Après de nombreux combats, vous décidez de sortir des ruines de la forteresse de l'Arthedain.;;;;;;;;;;;;x
EVTOPTAbuildings.4;I will be back...;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.5;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.5;You managed to clear out most of the fortress and it is once again habitable. Now it is time to rebuild the keep and walls, and return Fornost Erain to its former glory.;Vous avez réussi à nettoyer la majeure partie de la forteresse, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Fornost Erain sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.5;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.6;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.6;As you begin to clear debris from the fortress, you are suddenly attacked by a pack of wolves. You and your men carry only tools, and you are quickly overrun and forced to retreat.;Alors que vous commencez à nettoyer la forteresse, vous êtes attaqué par une meute de loups. Vos hommes ayant abandonné les armes pour des sacs, vous ne pouvez vous défendre, et devez battre en retraite.;;;;;;;;;;;;x
EVTOPTAbuildings.6;Curses!;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.7;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.7; While clearing out the fortress, you find a room full of collapsed rubble, not far from the throne room. After some digging it is clear that it was once the armory, and amidst rusty swords and broken spears, you notice some armour still in perfect condition, and richly adorned. This is undoubtedly the ceremonial armour of Arvedui, the last King of Arthedain, abandoned during the destruction of the fortress.;Alors que vous commencez à nettoyer la forteresse, vous trouvez une salle recouverte par les décombres, non loin de la Salle du Trône. Il s'agit d'une Salle d'Armes, et au milieu des épées rouillées et des lances brisées, vous remarquez une armure en parfait état, richement parée. Il s'agit certainement de l'armure de parade d'Arvedui, le dernier Roi d'Arthedain, abandonnée durant la destruction de la Forteresse.;;;;;;;;;;;;x
EVTOPTAbuildings.7;It fits me perfectly!;Elle sera parfaite pour moi !;;;;;;;;;;;;x
rebuild_fornost;Rebuild Fornost;Reconstruire Fornost;;;;;;;;;;;;x
