#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##DWARVES
#DURIN'S DAY
EVTNAMEcalendar.0;Durin's Day;Jour de Durin;;;;;;;;;;;;x
EVTDESCcalendar.0;Durin's Day has fallen, the Dwarven New Year, marked by the first day of the last moon of Autumn appearing with the evening sun on the threshold of winter.;Quoi?;;;;;;;;;;;;x
EVTOPTAcalendar.0;Happy New Year!;Bon.;;;;;;;;;;;;x
EVTOPTBcalendar.0;Turn off Calendar Events.;Non;;;;;;;;;;;;x

##HOBBITS
#LITHE
EVTNAMEcalendar.1;Lithe;Lithe;;;;;;;;;;;;x
EVTDESCcalendar.1;It is now Midsummer in the Shire, the largest holiday known to Hobbit folk. It is marked by the Free Fair festival, presided over by the Mayor of Michel Delving. The sounds of music, laughter and drunken merriment drift out from the Party Tree in all directions, from morning until late into the night. On a more serious note, this is also where the Mayor of Michel Delving is elected every 7 years to act as postmaster, chief shiriff and party organiser. But enough with the lofty titles, grab an ale and get dancin'!;Quoi?;;;;;;;;;;;;x
EVTOPTAcalendar.1;Happy Lithe!;Bon.;;;;;;;;;;;;x
EVTOPTBcalendar.1;Turn off Calendar Events.;Non;;;;;;;;;;;;x
#YULE
EVTNAMEcalendar.2;Yule;Yule;;;;;;;;;;;;x
EVTDESCcalendar.2;It is Midwinter in the Shire, the New Year holiday for Hobbit folk. Feasts, drinking and pipe-weed abound throughout the Shire. Candles and lamps shine from the windows of the Green Dragon and dance on the ice and snow.;Quoi?;;;;;;;;;;;;x
EVTOPTAcalendar.2;Happy Yuletide!;Bon.;;;;;;;;;;;;x
EVTOPTBcalendar.2;Turn off Calendar Events.;Non;;;;;;;;;;;;x

##ROHIRRIM
#LITHE
EVTNAMEcalendar.3;Giulitid;Giulitid;;;;;;;;;;;;x
EVTDESCcalendar.3;It is Midwinter, the New Year holiday for the Rohirrim.;Quoi?;;;;;;;;;;;;x
EVTOPTAcalendar.3;Merry Giulitid!;Bon.;;;;;;;;;;;;x
EVTOPTBcalendar.3;Turn off Calendar Events.;Non;;;;;;;;;;;;x
#YULE
EVTNAMEcalendar.4;Halegmonath;Halegmonath;;;;;;;;;;;;x
EVTDESCcalendar.4;It is harvest season, a sacred holiday for the Rohirrim.;Quoi?;;;;;;;;;;;;x
EVTOPTAcalendar.4;Good Harvest!;Bon.;;;;;;;;;;;;x
EVTOPTBcalendar.4;Turn off Calendar Events.;Non;;;;;;;;;;;;x

