#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DESCmepclaims.0;You are haunted by a recurring dream relating to your ancient claim. The rich lands of Gondor could have been yours... should have been yours... !;Vous êtes hanté par un rêve récurrent, qui vous rappelle l'étendue des Terres de vos Ancêtres. Les riches terres du Gondor aurait pu être les vôtres ... aurait dû être les vôtres ... !;;;;;;;;;;;;x
mepclaims0a;Ready the Black Fleet!;Préparez la Flotte Noire !;;;;;;;;;;;;x
DESCmepclaims.1;Umbar was once a mighty fortress of Gondor, and under your rule, it could be again...;Umbar était jadis une puissance forteresse du Gondor au Sud… Cela pourrait être encore le cas…;;;;;;;;;;;;x
mepclaims1a;Prepare to send a mighty army!;Préparez-ous à envoyer une puissante armée !;;;;;;;;;;;;x
mepclaims1b;No. Gondor is too weak.;Non, le Gondor est trop faible.;;;;;;;;;;;;x
DESCmepclaims.2;The time of the Elves is over. It is the age of men... which you must rule. It will begin, with Rohan.;Le Temps des Elfes est terminé… C'est l'äge des Hommes… que vous devriez dominer. Cela commencera avec le Rohan.;;;;;;;;;;;;x
mepclaims2a;I shall strike when they are weak and leaderless!;Je devrais attaquer tant qu'ils sont faibles!;;;;;;;;;;;;x
DESCmepclaims.3;The straw-heads took your lands, and drove you off to scratch a living off bare rocks. But one day you may return and take back what is yours!;Les éleveurs de chevaux ont pris NOS terres, et nous ont conduits a vivre nus sur des rochers. Mais un jour, vous retournerez et leur prendrez ce qui vous appartient de droit !;;;;;;;;;;;;x
mepclaims3a;Lands of Rohan are ours !;Les Terres du Rohan sont à nous !;;;;;;;;;;;;x
DESCmepclaims.4;With Sauron defeated, hope is renewed for the Dwarves. The Durin's Bane was killed, and the city of Khazad-Dum should be repopulated by our kin. It's time to send a mighty army to reconquer our Kingdom !;Avec Sauron vaincu, l'espoir renait pour les Nains. Le fléau de Durin a été tué, et l'antique citée de Khazad-Dum devrait être repeuplée par notre Peuple. Il est temps d'envoyer une puissante armée pour reconquérir notre Royaume !;;;;;;;;;;;;x
mepclaims4a;Baruk Khazâd! Khazâd ai-mênu!;Baruk Khazâd! Khazâd ai-mênu!;;;;;;;;;;;;x
mepclaims4b;Khazad-Dum is lost for the dwarves.;Khazad-Dum est perdu pour les Nains.;;;;;;;;;;;;x
DESCmepclaims.5;The Dwarves assemble currently a mighty army, and plan to reclaim the mines of Moria in order to rebuild the ancient kingdom of Khazad-Dum! If they succeed, the wealth of the Durin's Folk will be huge ...;Les nains assemblent une puissante armée, et prévoient de reconquérir les mines de la Moria pour y rebatir l'ancien royaume de Khazad-Dum ! S'ils réussissent, les richesses du Peuple de Durin seront immenses…;;;;;;;;;;;;x
mepclaims5a;I hope they'll share their treasures !;J'espère qu'ils partageront leurs trésors!;;;;;;;;;;;;x
mepclaims5b;A new war between dwarves and orcs?;Une nouvelle guerre entre Nains et Orques?;;;;;;;;;;;;x
mepclaims5c;Greedy dwarves!;Nains cupides !;;;;;;;;;;;;x
DESCmepclaims.6;You brilliantly reconquered Khazad-Dum, and your people settled there little by little. You know that orcs can now be defeated and exiled from their caves, and you look to the North. Mount Gundabad, where once awoke Durin I the Deathless, the father of your people. It's time to take this holy place, occupied too long by those pesky orcs ...;Vous avez brillamment reconquis Khazad-Dum, et votre peuple s'y réinstalle petit à petit. Vous savez que les orques peuvent être maintenant vaincus et exilés de leurs cavernes, et vous regardez au Nord. Le Mont Gundabad, où jadis s'éveilla Durin I Trompe-la-Mort, le père de votre peuple. Il est temps de reprendre ce lieu saint, occupé depuis trop longtemps par ces maudits orques...;;;;;;;;;;;;x
mepclaims6a;Baruk Khazâd! Khazâd ai-mênu!;Baruk Khazâd! Khazâd ai-mênu!;;;;;;;;;;;;x
mepclaims6b;This is no more an Holy Place…;Ce n'est plus un Lieu Saint…;;;;;;;;;;;;x
DESCmepclaims.7;Dwarves of Moria reconquered, and rebuilt the kingdom of Khazad-Dum! Now they want to take over the land where once born Durin I. Mount Gundabad will soon be the site of a major battle …;Les Nains ont reconquis la Moria, et rebâti le Royaume de Khazad-Dum ! Maintenant, ils veulent reprendre les terres où naquit jadis Durin I. Le Mont Gundabad va bientôt être le siège d'une bataille importante...;;;;;;;;;;;;x
mepclaims7a;I hope the dwarves will exterminate the last orcs!;J'espère que les orques seront massacrés!;;;;;;;;;;;;x
mepclaims7b;War, again?;La Guerre, encore?;;;;;;;;;;;;x
mepclaims7c;Greedy dwarves!;Nains cupides !;;;;;;;;;;;;x
EVTNAMEclaimtitles.1;High King of the Silvan Elves;Haut-Roi des Elfes Sylvains;;;;;;;;;;;;x
EVTDESCclaimtitles.1;You are the ruler of the majority of the Forests of Middle Earth, and all Silvan Elves pay you homage. It may be time for you to become the true High King of all the Forests, in order to consolidate your sovereignty over all the areas that are yours. With this new power, you can work for the renewal of your people, and become the true protector of trees throughout the world. Will you claim the crown for you and your blood?;Vous êtes le souverains de la majorité des Forêts de la Terre du Milieu, et les Elfes Sylvains vous rendent hommage. Il est peut-être temps pour vous de devenir le véritable Haut-Roi de toutes les Forêts, afin d'asseoir votre souveraineté sur tout les domaines qui sont les votres. Avec ce nouveau pouvoir, vous pourrez oeuvrer pour le renouveau de votre peuple, et devenir le véritable protecteur des arbres à travers le Monde. Allez-vous réclamer cette couronne pour vous et ceux de votre sang?;;;;;;;;;;;;x
EVTOPTAclaimtitles.1;Give me this Crown!;Donnez-moi cette Couronne!;;;;;;;;;;;;x
EVTOPTBclaimtitles.1;No, I don't need it.;Non, je n'en ai pas besoin.;;;;;;;;;;;;x
EVTNAMEclaimtitles.2;High King of the Silvan Elves;Haut-Roi des Elfes Sylvains;;;;;;;;;;;;x
EVTDESCclaimtitles.2;From the depths of the forests, an elf-lord has managed to unite the Silvan Elves, and claimed the sovereignty over all the forests of Middle-earth. He will be the new protector of forests, proclaiming his power over all.;Du plus profond des forêts, un seigneur elfe a réussi à unir les Elfes Sylvains, et à réclamer la Souveraineté sur toutes les Forêts de la Terre du Milieu. Il sera le nouveau protecteur des forêts, et assied son pouvoir sur notre monde et notre âge.;;;;;;;;;;;;x
EVTOPTAclaimtitles.2;I see. ;Je vois.;;;;;;;;;;;;x
EVTNAMEclaimtitles.3;High King of Anadûnê;Haut-Roi d'Anadûnê;;;;;;;;;;;;x
EVTDESCclaimtitles.3;You have managed to unify the all of the Black Numenorean Kingdoms. Your subjects relate you to the great Ar-Pharazon of old Numenor, since you have proven yourself as a worthy heir of the Lost Kingdom of Numenor, you should claim this title for your blood. This will improve your prestige, and make you the legitimate ruler of all inferior men of Middle-earth. Will you charge this title?;Vous avez réussi à unifier sous votre joug les royaumes des Numénoréens Noirs. Vous êtes un Roi glorieux, comme le fut jadis Ar-Pharazon le Doré. Vous avez prouvé que vous étiez le digne héritier du Royaume Perdu de Numenor, et à ce titre, vous devriez en réclamer le titre. Cela accroitera votre prestige, et fera de vous le souverain légitime de tout les hommes inférieurs de la Terre du Milieu. Allez-vous réclamer ce titre?;;;;;;;;;;;;x
EVTOPTAclaimtitles.3;I'm the True Heir of Ar-Pharazon!;Je suis le véritable héritier d'Ar-Pharazon!;;;;;;;;;;;;x
EVTOPTBclaimtitles.3;No, Numenor is lost forever.;Non, Numenor demeure perdue.;;;;;;;;;;;;x
EVTNAMEclaimtitles.4;High King of Anadûnê;Haut-Roi d'Anadûnê;;;;;;;;;;;;x
EVTDESCclaimtitles.4;Blacks Numenoreans have become stronger, as a Black Numenorean King who has taken control of all their kingdoms defines himself as the heir of Ar-Pharazon, the last king of Numenor. He has took the title of High King of Anadûnê, and now claims sovereignty over all inferior men of Middle-earth.;Les Numénoréens Noirs deviennent de plus en plus forts, et le Souverain qui a pris le contrôle de tous leurs royaumes se définit lui-même comme l'héritier d'Ar-Pharazon, le dernier roi de Numenor. Il a pris le titre de Haut-Roi d'Anadûnê, et réclame maintenant la souveraineté sur tout les Hommes inférieurs de la Terre du Milieu.;;;;;;;;;;;;x
EVTOPTAclaimtitles.4;What nonsense, Numenor is lost forever!;Je vois.;;;;;;;;;;;;x
EVTNAMEclaimtitles.5;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCclaimtitles.5;You're a descendant of Isildur, and your demesne includes two of the three kingdoms created after the division of Arnor. You should take the opportunity to regain the crown of your ancestors and try to reform the former Kingdom of the Dunedain of the North. If you take the crown of Arnor, you will become one of the most prestigious Kings of Middle-earth, but the enemies of your people will be even more aggressive ... What will you do?;Vous êtes l'un des descendants d'Isildur, et votre domaine comprend deux des trois royaumes créés après la division de l'Arnor. Vous devriez en profiter pour reprendre la couronne de vos ancêtres, et tenter de reformer l'ancien Royaume du Nord. Si vous prenez la Couronne d'Arnor, vous deviendrez l'un des Rois les plus prestigieux de la Terre du Milieu, mais les ennemis de votre peuple n'en seront que plus agressifs... Qu'allez-vous faire?;;;;;;;;;;;;x
EVTOPTAclaimtitles.5;This crown belongs to me!;Cette couronne m'appartient!;;;;;;;;;;;;x
EVTOPTBclaimtitles.5;It's not the time.;Ce n'est pas le moment.;;;;;;;;;;;;x
EVTNAMEclaimtitles.6;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCclaimtitles.6;From the Kingdoms of the Dúnedain of North, a descendant of Isildur rose. He claimed the legacy of his house to the Crown of the Kingdom of Arnor and reformed the powerful Kingdom North, after the division of this one between Arthedain, Cardolan and Rudhaur. He will now be the restorer of the glory of the Dúnedain, and become a guarantor of peace in Eriador.;Des Royaumes des Dunedains du Nord, un descendant d'Isildur s'est élevé. Il a réclamé l'héritage de sa maison : la Couronne du Royaume d'Arnor, et a reformé le puissant Royaume du Nord, après la division de ce dernier entre l'Arthedain, le Cardolan et le Rudhaur. Il va maintenant pouvoir restorer la grandeur des Dunedains, et devenir un garant de la paix en Eriador.;;;;;;;;;;;;x
EVTOPTAclaimtitles.6;I see. ;Je vois.;;;;;;;;;;;;x
EVTNAMEclaimtitles.7;The Reunited Kingdom;Le Royaume Unifié;;;;;;;;;;;;x
EVTDESCclaimtitles.7;You're the descendant of Elendil the Great, the first King of Gondor and Arnor. After his death, his sons shared the thrones between the Kingdoms of North and South for long. But under your reign, you can finally unite the two crowns, and borrow the title once worn by your glorious ancestor. You will be the greatest king of Middle Earth, but you will make many enemies too. What will you do?;Vous êtes le descendant d'Elendil le Grand, le premier Roi du Gondor et d'Arnor. Après sa mort, ses fils se sont partagés les trônes, séparant les Royaumes du Nord et du Sud pour longtemps. Mais sous votre règne, vous pouvez enfin réunir les deux couronnes, et reprendre le titre porté jadis par votre glorieux ancêtre. Vous serez le plus grand Roi de la Terre du Milieu, mais vous vous ferez aussi beaucoup d'ennemis. Qu'allez-vous faire?;;;;;;;;;;;;x
EVTOPTAclaimtitles.7;I'll restore the Kingdom of Elendil!;Je vais restaurer le Royaume d'Elendil!;;;;;;;;;;;;x
EVTOPTBclaimtitles.7;Gondor and Arnor were separate too long.;Gondor et Arnor ont été trop longtemps séparés.;;;;;;;;;;;;x
EVTNAMEclaimtitles.8;The Reunited Kingdom;Le Royaume Unifié;;;;;;;;;;;;x
EVTDESCclaimtitles.8;Long separated, the kingdoms of Gondor and Arnor have finally found a new king to unify them. The Dunedain are now united in one great kingdom, and all western Middle-earth follow the power of this new King. This kingdom will certainly be the most powerful of all, and will restore the power of the heirs of Numenor.;Longtemps séparés, les royaumes du Gondor et d'Arnor ont enfin trouvés un nouveau Roi pour les unifier. Les Dunedains sont maintenant unis en un seul grand Royaume, et tout l'Ouest de la Terre du Milieu répond au pouvoir de ce nouveau Roi. Ce Royaume sera certainement le plus puissant de tous, et restaurera le pouvoir des héritiers de Numenor.;;;;;;;;;;;;x
EVTOPTAclaimtitles.8;I see. ;Je vois.;;;;;;;;;;;;x
