#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
craft_a_jewel;Create a Jewel;Créer un Bijou;;;;;;;;;;;;x
craft_a_jewel_desc;You're a craftsman, and it may be time for you to create your masterpiece. A jewel, set with the most beautiful gemstones, could bring you the glory you deserve.;Vous êtes un artisan, et il est peut-être temps pour vous de créer votre chef d'oeuvre. Un bijou, serti des plus belles pierres précieuses, pourrait vous apporter la gloire que vous méritez.;;;;;;;;;;;;x
craft_a_weapon;Forge a Weapon;Forger une Arme;;;;;;;;;;;;x
craft_a_weapon_desc;You're a craftsman, and it may be time for you to create your masterpiece. A sword, sharp as a razor, would be an asset for you.;Vous êtes un artisan, et il est peut-être temps pour vous de créer votre chef d'oeuvre. Une épée, tranchante comme un rasoir, serait un atout pour vous.;;;;;;;;;;;;x
EVTTITcraft.0;To the Forge!;A la Forge !;;;;;;;;;;;;x
EVTDESCcraft.0;You head to your forge, determined to achieve a prestigious sword. Nevertheless, this work will require some time, but will mostly require resources. Are you ready to spend them?;Vous vous dirigez vers votre forge, détérminé à réaliser une épée prestigieuse. Néanmoins, ces travaux demanderont un peu de temps, mais surtout des ressources. Êtes vous prêt à en dépenser?;;;;;;;;;;;;x
EVTOPTAcraft.0;I'm ready to make this piece.;Je suis prêt à réaliser cette pièce.;;;;;;;;;;;;x
EVTOPTBcraft.0;I'm ready to make this piece.;Je suis prêt à réaliser cette pièce.;;;;;;;;;;;;x
EVTOPTCcraft.0;No, I don't have resources to waste.;Je n'ai pas de ressources à gaspiller.;;;;;;;;;;;;x
EVTTITcraft.1;To the Forge!;A la Forge !;;;;;;;;;;;;x
EVTDESCcraft.1;The Fire of your forge is lit and you're ready to work. However, two choices are available to you: to reforge an ancient sword, in perpetuating the work of the ancient elvens blacksmiths, with a chance to fail, or forge your own sword, less powerfull, and reap all the glory.;Le feu de votre forge est allumé, et vous êtes prêt à travailler. Cependant, deux choix s'offrent à vous : celui de reforger une épée ancienne, en perpetuant le travail des anciens forgerons elfes, mais avec le risque d'échouer, ou de forger votre propre épée, moins puissante, et d'en récolter toute la gloire.;;;;;;;;;;;;x
EVTOPTAcraft.1;I'll reforge an ancient sword.;Je vais reforger une épée ancienne.;;;;;;;;;;;;x
EVTOPTBcraft.1;I'll make my own sword.;Je vais forger ma propre épée.;;;;;;;;;;;;x
EVTTITcraft.2;An Ancient Sword;Une Epée Antique;;;;;;;;;;;;x
EVTDESCcraft.2;You hitch up to the task, and you begin to rework the fragments of the ancient sword you have chosen. Quickly, you realize that you needs some missing fragments, and it'll take you ... rare and expensive raw materials. A merchant offers some materials for 150 gold. Will pay you to continue your work?;Vous vous attelez à la tâche, et vous commencez à retravailler les fragments de l'ancienne épée que vous avez choisi. Rapidement, vous vous rendez compte qu'il manque des fragments, et qu'il vous faudra des matières premières rares... et chères. Un marchand vous propose ces pièces pour 150 pièces d'or. Allez vous payer, pour pouvoir continuer votre oeuvre?;;;;;;;;;;;;x
EVTOPTAcraft.2;This is a low price for a masterpiece.;C'est un prix peu élevé pour un chef d'œuvre!;;;;;;;;;;;;x
EVTOPTBcraft.2;I don't have so much money to waste.;Je n'ai pas autant d'argent à gaspiller.;;;;;;;;;;;;x
EVTTITcraft.3;A Great Sword.;Une Superbe Epée;;;;;;;;;;;;x
EVTDESCcraft.3;After a few weeks of work, you managed to reforge the old sword, which has regained its old edge. The brilliance of this blade is unique, and the one who'll held the weapon in battle will inject fear into the minds of his enemies.;Après quelques semaines de travail, vous avez réussi à reforger cette ancienne épée, qui a retrouvé son tranchant d'autrefois. L'éclat de cette lame est unique, et celui qui tiendra cette arme en bataille insufflera la peur dans l'esprit de ses ennemis.;;;;;;;;;;;;x
EVTOPTAcraft.3;I'm proud of my skills.;Je suis fier de mon talent.;;;;;;;;;;;;x
EVTTITcraft.4;You failed;Vous avez échoué;;;;;;;;;;;;x
EVTDESCcraft.4;While you were still working on the sword, the fire of your forge began to fade. The forge has lost effectiveness, and the quality of your metal is felt. The sword is damn, and you can't rework its flaws anymore. You will have to wait for another opportunity to create your masterpiece.;Alors que vous travaillez encore sur l'épée, le feu de votre forge a commencé à s'éteindre. La forge a perdue en efficacité, et la qualité de votre métal s'en est ressenti. L'épée est fichue, et vous ne pourrez pas retravailler ses défauts. Vous devrez attendre une autre occasion pour créer votre chef d'oeuvre.;;;;;;;;;;;;x
EVTOPTAcraft.4;So bad…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.5;A New Sword;Votre épée;;;;;;;;;;;;x
EVTDESCcraft.5;You hitch up to the task, and you started to make your own sword. You quickly create a good blade, but to make it even better, you need the help of a former blacksmith of Eregion. One of them, present in Rivendell, offers his services, but you will have to pay for it.;Vous vous attelez à la tâche, et vous commencez à fabriquer votre propre épée. Vous arrivez rapidement à créer une lame de fort bonne facture, mais pour la rendre encore meilleure, vous avez besoin de l'aide d'un ancien forgeron de l'Eregion. L'un d'entre eux, présent à Fondcombe, vous propose ses services, mais vous devrez le payer pour cela.;;;;;;;;;;;;x
EVTOPTAcraft.5;This is a low price for a masterpiece.;C'est un prix peu élevé pour un chef d'œuvre!;;;;;;;;;;;;x
EVTOPTBcraft.5;I don't have so much money to waste.;Je n'ai pas autant d'argent à gaspiller.;;;;;;;;;;;;x
EVTTITcraft.6;A Great Sword.;Une Superbe Epée;;;;;;;;;;;;x
EVTDESCcraft.6;After a few weeks of work, you've successfully created your sword. The brilliance of this blade is unique, and its sharp is deadly. The old craftsman of Eregion helped you to hone the blade, but despite this, you didn't reached the level of the blacksmiths of old, so the power of this weapon is weaker than those of yesteryear.;Après quelques semaines de travail, vous avez créé avec succès votre épée. L'éclat de cette lame est unique, et son tranchant mortel. L'ancien artisan d'Eregion vous a aidé à parfaire la lame, mais malgré cela, vous n'avez pas atteint le niveau des forgerons d'autrefois, de sorte que la puissance de cette arme est plus faible que celles d'antan.;;;;;;;;;;;;x
EVTOPTAcraft.6;It's a good sword.;C'est une bonne épée.;;;;;;;;;;;;x
EVTTITcraft.7;You failed;Vous avez échoué;;;;;;;;;;;;x
EVTDESCcraft.7;While you were still working on the sword, the fire of your forge began to fade. The forge has lost effectiveness, and the quality of your metal is felt. The sword is damn, and you can't rework its flaws anymore. You will have to wait for another opportunity to create your masterpiece.;Alors que vous travaillez encore sur l'épée, le feu de votre forge a commencé à s'éteindre. La forge a perdue en efficacité, et la qualité de votre métal s'en est ressenti. L'épée est fichue, et vous ne pourrez pas retravailler ses défauts. Vous devrez attendre une autre occasion pour créer votre chef d'oeuvre.;;;;;;;;;;;;x
EVTOPTAcraft.7;So bad…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.8;A Dwarvish Sword;Une Epée Naine;;;;;;;;;;;;x
