#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITdragon.0;A Dwarven Treasure...;Le Trésor des Nains;;;;;;;;;;;;x
EVTDESCdragon.0;You have become rich, even for a dwarf lord, and your talents are recognized in all the Grey Mountains. You are renowned for your ability to turn any resources into gold, and rumours of a huge treasure locked in the deepest rooms of your city begins to spread everywhere. Let's hope no dragons will hear about it...;Vous êtes devenu riche, même pour un seigneur nain, et vos talents sont reconnus dans toutes les Montagnes Grises. Votre peuple sait que vous savez transformer la moindre ressource en or, et la rumeur d'un trésor enfermé dans les plus profondes salles de votre cité commence à se répandre partout... Esperons qu'aucun dragon n'en entendra parler...;;;;;;;;;;;;x
EVTOPTAdragon.0;I am proud of my fortune!;Je suis fier de ma fortune !;;;;;;;;;;;;x
EVTTITdragon.1;A Dragon from the North!;Un Dragon viendrait du Nord !;;;;;;;;;;;;x
EVTDESCdragon.1;A merchant who passed through the northern wastes noticed strange footprints in the snowy passes. He is almost certain it was a Cold-Drake making its way south, and the tracks seemed to be pointing in the direction of your city. Even if this dragon is unable to breathe fire, it would do enormous damage if it should ever reach your doors... What will you do?;Un marchand, qui passait par les routes du Nord, a remarqué d'étranges traces dans les cols enneigés. Il est presque sur qu'il s'agit d'un Dragon-de-Glace, et les traces semblaient aller dans la direction de votre cité... Même si ce dragon est incapable de cracher du feu, il ferait d'énormes dégats s'il venait jusqu'à vos portes... Comment allez-vous réagir?;;;;;;;;;;;;x
EVTOPTAdragon.1;Nothing can break through these doors!;Rien ne peut enfoncer mes Portes !;;;;;;;;;;;;x
EVTOPTBdragon.1;I will send a true hero to kill it!;Je vais envoyer un véritable héros pour le tuer !;;;;;;;;;;;;x
EVTOPTCdragon.1;I will kill it myself!;Je le tuerais moi-même !;;;;;;;;;;;;x
EVTOPTDdragon.1;Oh no....;Oh non…;;;;;;;;;;;;x
EVTTITdragon.2;The dragon is coming...;Le Dragon arrive…;;;;;;;;;;;;x
EVTDESCdragon.2;You have barricaded your people in your city, but the dragon comes close...  It will now definitely try to break down your doors and take possession of your gold!;Vous vous êtes enfermé dans votre cité, mais le Dragon arrive à proximité... Il va maintenant certainement essayer d'enfoncer vos portes pour prendre possession de votre or...;;;;;;;;;;;;x
EVTOPTAdragon.2;The dragon is here...;Le Dragon est là…;;;;;;;;;;;;x
EVTTITdragon.3;A Dragon in your Land;Un Dragon sur vos Terres;;;;;;;;;;;;x
EVTDESCdragon.3;The dragon has now arrived, and attempts to break down your gates even now. What will you do?;Le Dragon est maintenant arrivé, et essaie d'enfoncer vos portes. Qu'allez-vous faire maintenant?;;;;;;;;;;;;x
EVTOPTAdragon.3;I will fight him!;Je vais le combattre !;;;;;;;;;;;;x
EVTOPTBdragon.3;My marshal will fight him!;Mon Sénéchal le combattra !;;;;;;;;;;;;x
EVTOPTCdragon.3;My heir will fight him!;Mon Héritier le combattra !;;;;;;;;;;;;x
