#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tomb_of_thorin;Visit the Tomb of Thorin Oakenshield;Se rendre sur la Tombe de Thorin Ecu-de-Chêne;;;;;;;;;;;;x
tomb_of_thorin_desc;Go to visit the Tomb of Thorin Oakenshield, the dwarf who died to regain the Arkenstone, the Heart of the Mountain.;;;;;;;;;;;;;x
EVTerebor.1;The Tomb of Thorin;La Tombe de Thorin Ecu-de-Chêne;;;;;;;;;;;;x
EVTDESCerebor.1;You decided to visit the Tomb of Thorin Oakenshield, who led the Quest of Erebor before his death on the Batlle of the Five Armies. What will you do?;Vous vous rendez sur la tombe de Thorin Ecu-de-Chêne, qui mena l'Expedition d'Erebor avant d'être tué lors de la Bataille des Cinq Armées. Qu'allez-vous faire?;;;;;;;;;;;;x
EVTOPTAerebor.1;I'll meditate on his fate.;Je vais méditer sur son destin.;;;;;;;;;;;;x
EVTOPTBerebor.1;I could take the Arkenstone…;Je pourrais récupérer l'Arkenstone peut-être?;;;;;;;;;;;;x
EVTOPTCerebor.1;I could take Orcrist, maybe?;Je pourrais récupérer Orcrist peut-être?;;;;;;;;;;;;x
EVTerebor.2;Time of Meditation;Méditation;;;;;;;;;;;;x
EVTDESCerebor.2;You kneel in front of the tomb, and meditate a long time about the fate of Thorin Oakenshield. He was brave, but the Arkenstone made his mind crazy at the end…;Vous vous agenouillez face à la tombe de Thorin Ecu-de-Chêne, et vous méditez longuement sur son destin. Il était brave, mais l'Arkenstone a rendu son esprit malade à la fin…;;;;;;;;;;;;x
EVTOPTAerebor.2;He could have been a great King…;Il aurait pu être un grand Roi…;;;;;;;;;;;;x
EVTerebor.3;The Arkenstone;L'Arkenstone;;;;;;;;;;;;x
EVTDESCerebor.3;Even within the grave of Thorin, the Arkenstone shine again. It was the symbol of the King under the Mountain, and you're now on this throne. Maybe… You shall take it, and show your power to the world!;Même depuis l'intérieur de la tombe de Thorin, l'Arkenstone laisse entrevoir son éclat. C'était le symbole du Roi sous la Montagne, et vous êtes assis maintenant sur ce trône… Vous devriez peut-être reprendre la Pierre des Rois!;;;;;;;;;;;;x
EVTOPTAerebor.3;Yes, it's my right!;Oui, c'est mon droit!;;;;;;;;;;;;x
EVTOPTBerebor.3;Too many troubles will come with this stone...;Trop de périls viendraient avec cette Pierre…;;;;;;;;;;;;x
EVTerebor.4;Orcrist Blade;Orcrist;;;;;;;;;;;;x
EVTDESCerebor.4;You know that in the grave of Thorin rest Orcrist, the elfic sword of Gondolin. In these times of troubles, maybe you can take it, and fight against the ennemy with one of the most powerful sword of Middle-Earth!;Vous savez qu'à l'intérieur de la tombe de Thorin repose Orcrist, l'épée elfique venue de Gondolin. En ces temps de guerre, vous pourriez peut-être la prendre, et aller au combat avec l'une des plus puissantes épées de la Terre du Milieu!;;;;;;;;;;;;x
EVTOPTAerebor.4;An useful sword…;Une épée bien utile…;;;;;;;;;;;;x
EVTOPTBerebor.4;No! It's the Sword of Thorin, not mine!;Non! C'est l'épée de Thorin, non la mienne!;;;;;;;;;;;;x
EVTerebor.5;Arkenstone Glows;L'Arkenstone;;;;;;;;;;;;x
EVTDESCerebor.5;The Arkenstone shines now on the top of your Throne, and all your guests can see your power. You're the true King under the Mountain, but all the cupid creatures of the world know now that you've got the Stone…;L'Arkenstone brille maintenant au sommet de votre trône, et tous vos visiteurs peuvent l'admirer. Vous êtes le véritable Roi sous la Montagne, mais toutes les créatures cupides de ce monde savent maintenant que vous avez la Pierre...;;;;;;;;;;;;x
EVTOPTAerebor.5;I'll protect my legacy!;Oui, c'est mon droit!;;;;;;;;;;;;x
erebor_improved;Gold in Erebor;De l'Or en Erebor;;;;;;;;;;;;x
erebor_improved_iron;Iron and Copper in Erebor;Du Fer et du Cuivre en Erebor;;;;;;;;;;;;x
trade_erebor_dale;Trade between Erebor and Dale;Commerce entre Dale et Erebor;;;;;;;;;;;;x
EVTTITerebor.6;Erebor;Erebor;;;;;;;;;;;;x
EVTDESCerebor.6;You're in Erebor, one of the largest cities of the dwarves in Middle-Earth. You should take advantage of the immense wealth of the depths of the city to increase your own treasure. What action will you accomplish to raise this goal?;Vous êtes en Erebor, l'une des plus grandes cités naines de la Terre du Milieu. Vous devriez profiter des immenses richesses des profondeurs de la cité pour augmenter votre propre trésor. Quelle action allez-vous accomplir dans ce but?;;;;;;;;;;;;x
EVTOPTAerebor.6;I'll try to open new galleries.;Je vais tenter d'ouvrir de nouvelles galeries.;;;;;;;;;;;;x
EVTOPTBerebor.6;I'll craft some weapons.;Je vais fabriquer des armes.;;;;;;;;;;;;x
EVTOPTCerebor.6;I'll trade with Dale.;Je vais commercer avec Dale.;;;;;;;;;;;;x
EVTOPTDerebor.6;It's not the good moment.;Ce n'est pas le bon moment.;;;;;;;;;;;;x
EVTTITerebor.7;Mines of Erebor;Les Mines d'Erebor;;;;;;;;;;;;x
EVTDESCerebor.7;You've decided to open new galleries to extract even more wealth from the depths of the mountain. Your miners are looking for new veins, we hope they'll find some gold quickly!;Vous avez décidé d'ouvrir de nouvelles galeries, pour extraire encore plus de richesses des profondeurs de la montagne. Vos mineurs sont partis à la recherche de nouveaux filons, esperons qu'ils en trouveront rapidement !;;;;;;;;;;;;x
EVTOPTAerebor.7;I hope they'll find something…;J'espère qu'ils trouveront quelquechose…;;;;;;;;;;;;x
EVTTITerebor.8;New Vein of Gold !;Un Filon d'Or !;;;;;;;;;;;;x
EVTDESCerebor.8;Your miners came back from the galleries freshly dug, and are pleased to announce they have found a large vein of gold. No doubt it will bring many treasures to your city ... And to yourself.;Vos mineurs sont remontés des galeries fraichement creusés, et sont heureux de vous annoncer qu'ils ont trouvé un important filon d'or. Nul doute que celui-ci rapportera de nombreuses richesses à votre cité... et à vous même.;;;;;;;;;;;;x
EVTOPTAerebor.8;Wonderful!;Merveilleux !;;;;;;;;;;;;x
EVTTITerebor.9;An Extraordinay Stone;Une Pierre Extraordinaire;;;;;;;;;;;;x
