#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTsailedtowest.3;Sail to West?;Partir à l'Ouest?;;;;;;;;;;;;x
EVTDESCsailedtowest.3;You are tired of life in Middle-Earth. The wars and pains are not how you would like to live. You are looking to the West, and you have heard the call of the Sea. Will you leave Middle-Earth and go to the Undying Lands of Valinor?;Vous êtes fatigué de la vie sur les Terres du Milieu. Les guerres, les peines, les souffrances ont eu raison de votre volonté. Votre regard se porte maintenant vers l'Ouest, et vous entendez l'appel de la Mer. Allez-vous quitter les Terres du Milieu pour partir vers les Terres Immortelles?;;;;;;;;;;;;x
EVTOPTAsailedwest.3;Yes, it is the Time of Men, we must leave.;Oui, le temps des Hommes est venu.;;;;;;;;;;;;x
EVTOPTBsailedwest.3;Not yet, Middle-Earth needs us!;Les Terres du Milieu ont encore besoin de moi !;;;;;;;;;;;;x
elveninfertility_de1;You can feel that this will be your last child.;Vous pouvez sentir que vous ne pourrez plus avoir d'enfants.;;;;;;;;;;;;x
EVTsailedtowest.4;@FIXME@ Sail to West;@FIXME@ Partir à l'Ouest;;;;;;;;;;;;x
EVTDESCsailedtowest.4;@FIXME@ The character sailed to Valinor;@FIXME@ The character sailed to Valinor;;;;;;;;;;;;x
EVTOPTAsailedwest.4;@FIXME@ OK;@FIXME@ OK;;;;;;;;;;;;x
sail_to_west;Sail West;Partir à l'Ouest;;;;;;;;;;;;x
sail_to_west_desc;The elven realms are fading in middle-earth. And the age of men dawns. Should we remain in middle earth or sail West and join our kin in the undying lands?;@FIXME@ Partir à l'Ouest;;;;;;;;;;;;x
### ELVEN CHILDHOOD ###;;;;;;;;;;;;;;
EVTTITelfchild.0;Childhood;Enfance;;;;;;;;;;;;x
EVTDESCelfchild.0;You're young for an elf, and your body and soul have not finished growing. You still need to wait many years before finally being considered as an adult by your kin.;Vous êtes encore jeune pour un elfe, et votre corps comme votre esprit n'ont pas fini de grandir. Vous devez encore patienter de longues années avant d'être enfin considéré comme un adulte au sein de votre peuple.;;;;;;;;;;;;x
EVTOPTAelfchild.0;Ok.;Ok.;;;;;;;;;;;;x
EVTTITelfchild.1;End of your Childhood;Fin de votre Enfance;;;;;;;;;;;;x
EVTDESCelfchild.1;You have finally reached adulthood. You have become wiser, stronger, and your mind is at its peak. You can finally take a full part in the events of your world.;Vous avez enfin atteint l'âge adulte pour un elfe. Vous êtes devenu plus sage, plus fort, et votre esprit est à son apogée. Vous pouvez enfin prendre part aux événements de votre monde.;;;;;;;;;;;;x
EVTOPTAelfchild.1;Finally!;Enfin!;;;;;;;;;;;;x
EVTTITelfchild.2;Your name;Votre Nom;;;;;;;;;;;;x
EVTDESCelfchild.2;Among elves, it is customary to receive several names during a lifetime: the first name is given by the father at birth, the Ataressë. The second, the Amilessë is given by the mother. Finally, at majority, the elf receives a third name, the Epessë or Kilmessë. What name will you choose?;Chez les elfes, il est coutume de recevoir plusieurs noms durant sa vie : le premier nom est donné par le père à la naissance, l'Ataressë. Le second, l'Amilessë, est donné par la mère. Enfin, à la majorité, l'elfe reçoit un troisième nom, l'Epessë ou Kilmessë. Quel nom allez-vous recevoir aujourd'hui?;;;;;;;;;;;;x
EVTOPTAelfchild.2;I will keep my Ataressë;Je garde mon Ataressë;;;;;;;;;;;;x
EVTOPTBelfchild.2;I will use my Amilessë;Je vais utiliser mon Amilessë;;;;;;;;;;;;x
EVTOPTCelfchild.2;I will choose an Epessë;Je vais choisir mon Epessë;;;;;;;;;;;;x
EVTTITelfchild.3;Epessë;Epessë;;;;;;;;;;;;x
