#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITfallofarnor.1;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.1;The Former Kingdom of Arnor is divised into three kingdoms since some generations : Arthedain, the most powerful, Cardolan, the older one, and Rhudaur, the weakest. Since some years, a new power raise in the North : the Kingdom of Angmar, with the powerful Witch-King at his head. Will the Dunedain of the North be strong enough to resist to the mighty armies of Arnor? ;L'ancien Royaume d'Arnor est divisé en trois royaumes depuis quelques générations: Arthedain, le plus puissant, Cardolan, le plus ancien, et Rhudaur, le plus faible. Depuis quelques années, un nouveau pouvoir s'éleve au Nord: le royaume d'Angmar, avec le puissant Roi-Sorcier à sa tête. Les Dunedains du Nord seront-ils assez forts pour résister aux puissantes armées d'Arnor?;;;;;;;;;;;;x
EVTOPTAfallofarnor.1;An uncertain time…;Une époque incertaine …;;;;;;;;;;;;x
EVTTITfallofarnor.2;Ulfang the Hillman;Ulfang, l'Homme des Collines;;;;;;;;;;;;x
EVTDESCfallofarnor.2;Within the Kingdom of Rhudaur, there remains only a few dunedains, and it is time to claim the crown for your people, the Hillmen. The Witch-king of Angmar command you to take the throne, but will you dare to attack the heirs of Isildur?;Au sein du Royaume du Rhudaur, il ne reste plus beaucoup de dunedains, et il est temps de réclamer la couronne pour votre peuple, les Hommes des Collines. Le Roi-Sorcier d'Angmar vous ordonne de prendre le trône, mais allez-vous oser vous attaquer aux héritiers d'Isildur?;;;;;;;;;;;;x
EVTOPTAfallofarnor.2;I'll be King of Rhudaur !;Je serais Roi du Rhudaur !;;;;;;;;;;;;x
EVTOPTBfallofarnor.2;No, they're wise rulers.;Non, ce sont de Sages Seigneurs.;;;;;;;;;;;;x
EVTTITfallofarnor.3;Ulfang the Hillman;Ulfang, l'Homme des Collines;;;;;;;;;;;;x
EVTDESCfallofarnor.3;You learn that in your kingdom, a vassal of the name of Ulfang starts to claim your crown. It has already attracted many men around him, but does not seem to be still a real threat.;Vous apprenez qu'au sein de votre royaume, un vassal du nom d'Ulfang commence à prétendre à votre couronne. Il rassemble déjà de nombreux hommes autour de lui, mais ne semble pas être encore une réelle menace.;;;;;;;;;;;;x
EVTOPTAfallofarnor.3;It's only an Hillman, he can't pretend to be King!;Ce n'est qu'un Homme des Collines, il ne peut être Roi !;;;;;;;;;;;;x
EVTOPTBfallofarnor.3;I'll need to be more prudent…;Je vais devoir être prudent…;;;;;;;;;;;;x
EVTTITfallofarnor.4;Ulfang the Hillman;Ulfang, l'Homme des Collines;;;;;;;;;;;;x
EVTDESCfallofarnor.4;Within the Kingdom of Rhudaur, an Hillman seems to be trying to raise men to claim the crown of your cousin. There's not yet a threat, but Forodacil lack of allies in his kingdom ...;Au sein du Royaume du Rhudaur, un Homme des Collines semble être en train de réunir des hommes afin de réclamer la couronne de votre cousin. Il n'est pas encore une menace, mais Forodacil manque d'alliés dans son royaume...;;;;;;;;;;;;x
EVTOPTAfallofarnor.4;I hope my kin will resist !;J'espère que mes parents résisteront !;;;;;;;;;;;;x
EVTTITfallofarnor.5;Plots for a Crown…;Des complots pour une couronne…;;;;;;;;;;;;x
EVTDESCfallofarnor.5;You've gathered many men around you, and it's time to start to weaken the King. Forodacil isn't reallt prudent, so maybe you should start by killing his two children and heirs ...;Vous avez rassemblé de nombreux hommes autour de vous, et il est temps de commencer à affaiblir le Roi. Forodacil n'est pas en alerte, vous devriez donc commencer par faire tuer ses deux enfants et héritiers...;;;;;;;;;;;;x
EVTOPTAfallofarnor.5;First, I'll kill his heirs…;D'abord, je vais tuer ses héritiers…7;;;;;;;;;;;;x
EVTOPTBfallofarnor.5;No, Forodacil is a great king. ;Non, Forodacil est un Grand Roi.;;;;;;;;;;;;x
EVTTITfallofarnor.6;Plots for a Crown…;Des complots pour une couronne…;;;;;;;;;;;;x
EVTDESCfallofarnor.6;You've gathered many men around you, and it's time to start to weaken the King. Forodacil keep an eye on you, and war is inevitable. You should assemble an army.;Vous avez rassemblé de nombreux hommes autour de vous, et il est temps de commencer à affaiblir le Roi. Forodacil vous surveille, vous devriez donc rassembler une armée, la guerre semblant inévitable…;;;;;;;;;;;;x
EVTOPTAfallofarnor.6;I'll assemble an army!;Je vais rassembler une armée !;;;;;;;;;;;;x
EVTOPTBfallofarnor.6;No, Forodacil is a great king. ;Non, Forodacil est un Grand Roi.;;;;;;;;;;;;x
EVTTITfallofarnor.7;End of your line;La fin de votre Lignée;;;;;;;;;;;;x
EVTDESCfallofarnor.7;While your sons, Erchirion and Mamandur, were on patrol on the hills of Rhudaur, they were ambushed. The small number of their escort hasn't pushed the enemies and your son have fallen bravely in battle.;Alors que vos fils, Erchirion et Mamandur, étaient en patrouille dans les collines du Rhudaur, ils sont tombés dans une embuscade. Le faible nombre de leur escorte n'a pas permis de repousser les ennemis, et vos fils sont tombés, bravement, au combat.;;;;;;;;;;;;x
EVTOPTAfallofarnor.7;Noooo! My Sons!;Nooooon ! Mes Fils!;;;;;;;;;;;;x
EVTTITfallofarnor.8;End of a line;La fin d'une Lignée;;;;;;;;;;;;x
EVTDESCfallofarnor.8;Both son of Forodacil were killed in an ambush, and the lineage of Rhudaur will turns off now after the King's death. Cardolan and Arthedain will have to share the lands of Rhudaur once Forodacil will be dead.;Les deux fils de Forodacil ont été tués dans une embuscade, et la lignée du Rhudaur s'éteindra maintenant après la mort du Roi. Le Cardolan et l'Arthedain devront se partager les terres du Rhudaur, une fois Forodacil mort.;;;;;;;;;;;;x
EVTOPTAfallofarnor.8;I'll have to keep an eye on Rhudaur...;Je devrais garder un œil sur le Rhudaur…;;;;;;;;;;;;x
EVTTITfallofarnor.9;Ulfang the Hillman;Ulfang, l'Homme des Collines;;;;;;;;;;;;x
EVTDESCfallofarnor.9;You successfuly killed the heirs of Forodacil, and it's now time to claim the crown for you. You should begin to assemble your army now.;Vous avez tué les héritiers de Forodacil, et il est maintenant temps de réclamer la couronne pour vous. Vous devriez commencer à assembler votre armée.;;;;;;;;;;;;x
EVTOPTAfallofarnor.9;Come to me, Men of the Hills!;Venez à moi, Hommes des Collines !;;;;;;;;;;;;x
EVTOPTBfallofarnor.9;No, it's over.;Non, j'en ai fait assez.;;;;;;;;;;;;x
EVTTITfallofarnor.10;End of a line;La fin d'une Lignée;;;;;;;;;;;;x
