#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITorcfeast.0;Orc Feast;Banquet d'Orques;;;;;;;;;;;;x
EVTDESCorcfeast.0;Your chieftains expect you to hold a great feast each year, and they will expect to taste the flesh of their enemies! Do you have any suitable prisoners that can be prepared?;Vos capitaines se préparent à organiser une grande fête, et ils espèrent pouvoir gouter la chair de leurs ennemis! Avez-vous quelques prisonniers assez gras pour être préparés?;;;;;;;;;;;;x
EVTOPTAorcfeast.0;They will taste man-flesh!;Ils gouteront à la chair humaine!;;;;;;;;;;;;x
EVTOPTBorcfeast.0;They will taste elf-flesh!;Ils gouteront à la chair des Elfes!;;;;;;;;;;;;x
EVTOPTCorcfeast.0;They will taste dwarf-flesh!;Ils gouteront à la chair des Nains!;;;;;;;;;;;;x
EVTOPTDorcfeast.0;They will taste halfling-flesh!;Ils gouteront à la chair des Semi-Hommes!;;;;;;;;;;;;x
EVTOPTEorcfeast.0;I only have orc prisoners in my dungeons...;Je n'ai que de la viande d'orques…;;;;;;;;;;;;x
EVTOPTForcfeast.0;I don't have any prisoners, serve normal meat.;Je n'ai pas de prisonniers…;;;;;;;;;;;;
EVTTITorcfeast.2;Orc Feast;Banquet d'Orques;;;;;;;;;;;;x
EVTDESCorcfeast.2;This vassal has refused to come to your feast, and sends you back the head of your messenger, horribly mutiliated.;Ce vassal a refusé de participer à votre banquet, et a renvoyé la tête de votre messager, horriblement mutilée.;;;;;;;;;;;;x
EVTOPTAorcfeast.2;I won't forget this insult...;Je n'oublierais pas cette insulte.;;;;;;;;;;;;x
EVTTITorcfeast.5;Orc Feast;Banquet d'Orques;;;;;;;;;;;;x
EVTDESCorcfeast.5;The food is excellent, the flesh of your enemies has roasted perfectly! Your liege has outdone himself this year, who will they serve next year? Humans? Dwarves?;La nourriture est excellente, la chair de vos ennemis a été rotie avec perfection! Votre Maître s'est surpassé cette année, mais que vont-ils servir l'an prochain? Hommes? Nains?;;;;;;;;;;;;x
EVTOPTAorcfeast.5;I will praise the chief loudly!;Je vais féliciter le cuisinier!;;;;;;;;;;;;x
EVTOPTBorcfeast.5;Wait - this piece is slightly overcooked! It's ruined!;Attendez… Ce morceau est trop cuit!;;;;;;;;;;;;x
EVTTITorcfeast.8;Orc Feast;Banquet d'Orques;;;;;;;;;;;;x
EVTDESCorcfeast.8;The food is acceptable, the orc flesh was cooked well, but you had hoped for something more rare! Is it so hard to find a few humans at the very least to serve to his guests?;La nourriture est acceptable, la chair des orques a été bien cuisinée, mais vous aviez espéré quelquechose de plus rare! Est-il si difficile de trouver quelques hommes au moins à servir à ses invités?;;;;;;;;;;;;x
EVTOPTAorcfeast.8;Still, it was a fine meal. Hail the chief!;Mais c'était bien cuisiné. Bravo au cuisinier.;;;;;;;;;;;;x
EVTOPTBorcfeast.8;*shout* Next year we want man-flesh! MAN-Flesh!;*hurle* L'an prochain, je veux de la CHAIR HUMAINE!;;;;;;;;;;;;x
EVTDESCorcfeast.9;The food was disappointing, just normal meat, and ill prepared at that! Why can't your liege serve man-flesh? Is he too cowardly to go capture some prisoners?;La nourriture était décevante. De la viande de mouton, et mal cuisinée avec ça! Pourquoi votre maitre ne peut-il servir de la chair humaine? Est-il trop lâche pour aller capturer quelques prisonniers?;;;;;;;;;;;;x
EVTOPTAorcfeast.9;Still, the ale was fine!;Cependant, la bière était bonne.;;;;;;;;;;;;x
EVTOPTBorcfeast.9;*shout angrily* This food stinks!;*hurle avec colère* Cette nourriture pue!;;;;;;;;;;;;x
EVTDESCorcfeast.6;One of your vassals loudly proclaims that this is the best meat he has ever tasted. The hall roars in agreement.;L'un de vos vassaux proclame que vous avez servi la meilleure viande qu'il n'ait jamais gouté. La salle grogne en acquiesçant.;;;;;;;;;;;;x
EVTDESCorcfeast.7;One of your vassals loudly complain about the food. The hall jeers and shouts, and all eyes are on you - how do you react to this insult?;L'un de vos vassaux se plaint de votre nourriture. La salle se remplit de sarcasmes et de cris, et tous les yeux se tournent vers vous. Comment allez-vous réagir à cette insulte?;;;;;;;;;;;;x
EVTOPTAorcfeast.7;Taunt him back.;Tournez le en Ridicule.;;;;;;;;;;;;x
EVTOPTBorcfeast.7;Imprison him - we shall feast on HIM up next year!;Emprisonnez-le, nous festoierons avec ses os l'an prochain!;;;;;;;;;;;;x
EVTDESCorcfeast.11;After insulting the chief, the hall jeers and shouts, and his reaction is swift - his guards seize you, and drag you violently to the dungeons where you are beaten senseless!;Après avoir insulté votre chef, la salle a été recouverte de cris et de railleries, et sa réaction n'a pas tardé. Ses guardes se sont saisis de vous, et vous ont violemment jeté dans un des cachots.;;;;;;;;;;;;x
EVTOPTAorcfeast.11;Coward! Face me like a real orc!;Lâche! Affronte moi comme un vrai Orque!;;;;;;;;;;;;x
