#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#Sindar
EVTDESCsindarfeast.0;In preparation for Mereth-nuin-Giliath, you must choose how you are to feed your guests. What standard should you instruct your steward to set for the feast this year?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAsindarfeast.0;Only the finest wine and most exquisite food!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBsindarfeast.0;Wine and modest food will suffice.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTCsindarfeast.0;Just serve them whatever is available that day...
EVTDESCsindarfeast.5;Welcome! Merethor Veren!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#Noldor
EVTDESCnoldorfeast.0;In preparation for Mereth-nuin-Rîn, you must choose how you are to feed your guests. What standard should you instruct your steward to set for the feast this year?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAnoldorfeast.0;Only the finest wine and most exquisite food!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBnoldorfeast.0;Wine and modest food will suffice.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTCnoldorfeast.0;Just serve them whatever is available that day...;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCnoldorfeast.5;Welcome! Merethor Veren!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#Dwarven
EVTDESCdwarvenfeast.0;In preparation for Amrug-u-Durin, you must choose how you are to feed your guests. What standard should you instruct your steward to set for the feast this year?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAdwarvenfeast.0;Only the finest ale and most exquisite salted pork!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBdwarvenfeast.0;Ale and modest food will suffice.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTCdwarvenfeast.0;Just serve them whatever is available that day...;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCdwarvenfeast.5;Welcome! Amarragi!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#Human
EVTDESChumanfeast.0;Most of the preparations for the feast has been made, now I only have to send out the invitations!;Les préparatifs du banquet touchent à leur fin et il ne me reste plus qu’à envoyer les invitations !;Die meisten Vorbereitungen für das Gelage sind abgeschlossen. Jetzt muss ich nur noch die Einladungen verschicken!;;¡Ya están terminados la mayoría de los preparativos, ahora solo tengo que enviar las invitaciones!;;;;;;;;;x
EVTOPTAhumanfeast.0;I hereby invite you to...';Par la présente, je vous invite à...;Hiermit lade ich Euch ein zum ...';;'Por la presente te invito...';;;;;;;;;x

EVTDESC72109;I have given the orders for a Great Feast to be hosted in [Root.Location.GetName]. Let the preparations begin...;J’ai demandé à ce qu’un grand banquet soit organisé à [Root.Location.GetName]. Que les préparatifs commencent...;Ich habe ein Großes Gelage in [Root.Location.GetName] angeordnet. Mögen die Vorbereitungen beginnen ...;;He dado orden de que se celebre un gran festejo en [Root.Location.GetName]. Que empiecen los preparativos...;;;;;;;;;x
