#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITfrodo.1;Towards Mordor;Vers le Mordor!;;;;;;;;;;;;x
EVTDESCfrodo.1;You leave the fellowship with Sam, and head East. It will be a long, perilous journey, but if you do not find a way - then no one will.;Vous avez quitté la Communauté avec Sam, et partez maintenant vers l'Est. Ce sera un voyage dangereux et long, mais si vous ne trouvez pas le chemin, personne ne le pourra.;;;;;;;;;;;;x
EVTOPTAfrodo.1;We must find a way into Mordor.;Nous devons trouver la route du Mordor…;;;;;;;;;;;;x
EVTTITfrodo.2;The Black Gate;La Porte Noire;;;;;;;;;;;;x
EVTDESCfrodo.2;Guided by the creature Gollum, you reach the Black Gate. Sauron's armies are marching in, but you dare not risk following. Gollum tells you of another way, a secret passage...;Guidé par Gollum, vous atteignez la Porte Noire. Les Armées de Sauron se rassemblent en passant cette porte, mais vous ne voulez prendre le risque de les suivre. Gollum vous dit alors qu'il existe un autre chemin… Un chemin secret…;;;;;;;;;;;;x
EVTOPTAfrodo.2;That sounds better...;Cela semble plus sage…;;;;;;;;;;;;x
EVTTITfrodo.3;Ithilien;Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.3;You reach the woods of Ithilien, but the dark lord's armies are everywhere! His great war must soon be starting, and you must travel slowly and cautiously so that you do not get caught...;Vous avez atteint les terres d'Ithilien, mais les armées de Sauron sont partout! Sa grande guerre semble démarrer bientôt, et vous devriez voyager plus lentement et avec plus de précaution, pour éviter de vous faire prendre…;;;;;;;;;;;;x
EVTOPTAfrodo.3;Quietly... steadily...;En silence… Tels des ombres...;;;;;;;;;;;;x
EVTTITfrodo.4;Frodo and the Ring;Frodon et l'Anneau;;;;;;;;;;;;x
EVTDESCfrodo.4;Your thoughts turn to Frodo and the Ring. He is somewhere east of the river, hopefully still alive. You should summon a council, to decide what to do to help.;Vos pensées se tournent vers Frodon et l'Anneau. Il est quelquepart à l'Est du Fleuve, et vous esperez qu'il soit encore en vie. Vous devriez rassembler un Conseil, afin de trouver un moyen de l'aider.;;;;;;;;;;;;x
EVTOPTAfrodo.4;We'll need to do something!;Nous devons faire quelquechose!;;;;;;;;;;;;x
EVTTITfrodo.5;The King's Council;Le Conseil du Roi;;;;;;;;;;;;x
EVTDESCfrodo.5;Frodo needs a distraction to make it to Mt.Doom past Sauron's armies. We could invade Sauron's lands... or maybe send scouts to find Frodo and bring him here to safety?;Frodon a besoin d'une diversion pour pouvoir atteindre la Montagne du Destin derrière les armées ennemies. Nous pourrions envahir les terres du Mordor… ou peut-être envoyer des éclaireurs pour ramener Frodon en sécurité à Minas Tirith?;;;;;;;;;;;;x
EVTOPTAfrodo.5;Let the enemy think I have the ring - invade Mordor!;Laissons l'Ennemi croire que j'ai l'Anneau… Au Mordor!;;;;;;;;;;;;x
EVTOPTBfrodo.5;We should bring Frodo here for safekeeping.;Nous devrions emmener Frodon ici en sécurité…;;;;;;;;;;;;x
EVTTITfrodo.6;The Rangers of Ithilien;Les Rodeurs d'Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.6;While hiding from orcs in Ithilien one day, a party of rangers from Minas Tirith led by Aragorn find you! He urges you to come to Minas Tirith, where the ring will now be safe!;Alors que vous vous cachez des armées d'orques présentes en Ithilien, des rodeurs venant de Minas Tirith, menés par Aragorn, vous trouvent! Il vous ordonne de le suivre à Minas Tirith où l'Anneau sera en sécurité.;;;;;;;;;;;;x
EVTOPTAfrodo.6;But... my quest?;Mais… ma Quête?;;;;;;;;;;;;x
EVTTITfrodo.25;You find Frodo;Vous trouvez Frodon;;;;;;;;;;;;x
EVTDESCfrodo.25;Leading a party of rangers yourself, you cross into Ithilien and after a long search, find Frodo and Sam! You bring him safely back to Minas Tirith.;Menant vous-même une troupe de rodeurs, vous traversez l'Ithilien, et après une longue traque, trouvez Frodon et Sam! Vous le ramenez sauf à Minas Tirith.;;;;;;;;;;;;x
EVTOPTAfrodo.25;I tracked an invisible hobbit in the wilderness!;J'ai trouvé un hobbit invisible dans des terres Sauvages!;;;;;;;;;;;;x
EVTTITfrodo.7;Frodo and the Ring;Frodon et l'Anneau;;;;;;;;;;;;x
EVTDESCfrodo.7;Your armies stand ready, and they will follow you to whatever end. It is time to march on Mordor, and distract the Eye, so that Frodo has a chance!;Vos armées sont prêtes, et vous suivront jusqu'à la fin. Il est temps de marcher vers le Mordor, distraire l'Œil, afin de donner une chance à Frodon!;;;;;;;;;;;;x
EVTOPTAfrodo.7;For Frodo...;Pour Frodon...;;;;;;;;;;;;x
EVTTITfrodo.8;The Last Battle;La dernière Bataille;;;;;;;;;;;;x
EVTDESCfrodo.8;Your friend Aragorn is marching on Mordor, hoping to distract the enemy while Frodo tries to destroy the ring. Will the men of Rohan ride with him?;Votre ami Aragorn marche vers le Gondor, esperant distraire l'Ennemi, pendant que Frodon essaie de détruire l'Anneau. Est-ce que les Rohirrim chevaucheront à ses cotés?;;;;;;;;;;;;x
EVTOPTAfrodo.8;We are true to our friends!;Nous aiderons nos amis!;;;;;;;;;;;;x
EVTOPTBfrodo.8;Invade Mordor? That is madness!;Envahir le Mordor? Folie !;;;;;;;;;;;;x
EVTTITfrodo.9;Towards Mordor;Vers le Mordor!;;;;;;;;;;;;x
EVTDESCfrodo.9;After hiding for ages, you spot your chance! The men of Gondor have won a great victory, and now march upon Mordor. The eye is distracted, and his last armies are going to the front lines.;Après vou êtres caché longuement, voila votre chance! Les Hommes du Gondor ont remportés une grande Victoire, et marchent maintenant vers le Gondor. L'Oeil est distrait, et ses dernières armées se rassemblent sur la ligne de front.;;;;;;;;;;;;x
EVTOPTAfrodo.9;We make for the secret stairs!;Nous passerons par l'Escalier Secret!;;;;;;;;;;;;x
EVTTITfrodo.10;The secret stair;L'Escalier Secret;;;;;;;;;;;;x
EVTDESCfrodo.10;While climbing the steps of Cirith Ungol and into a hidden passage, you are attacked by Shelob! You wake up to find Orcs have captured you!;Après avoir escaladé l'Escalier Secret, et être entré dans le Passage Secret, vous êtes attaqué par Arachne! Vous vous réveillez en vous rendant compte que les Orques vous ont capturés!;;;;;;;;;;;;x
EVTOPTAfrodo.10;Oh no, they took the ring!;Oh non, ils ont l'Anneau!;;;;;;;;;;;;x
EVTTITfrodo.11;Samwise the Brave;Samsagace le Brave;;;;;;;;;;;;x
EVTDESCfrodo.11;Sam bursts into the room wielding sting, he has come to rescue you! Unfortunately, orcs overwhelm him and you watch him die - All is lost!;Sam fait irruption dans la pièce, brandissant Sting ! Il est venu vous sauver ! Malheureusement, les Orques le surpassent et vous le voyez mourir… Tout est perdu !;;;;;;;;;;;;x
EVTOPTAfrodo.11;Nooooooooo!!!;Noooooon !! Sam!;;;;;;;;;;;;x
EVTTITfrodo.12;Samwise the Brave;Samsagace le Brave;;;;;;;;;;;;x
