#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITcouncilgondor.0;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.0;It was traditional among the Men of Númenor for the King to maintain a Council of the Sceptre composed of nobles from each of the main regions of Númenor, together with the King's Heir as advisers. Their descendants in Gondor followed a similar system made up from representatives of each of the South-kingdom's separate lands, probably in addition to the King's heir, and apparently the Steward as well. You can gather the Council to make important decisions about the future of the Kingdom. Will you call its members in Minas Tirith?;Il était de tradition chez les hommes de Númenor de maintenir un Conseil du Sceptre composé des nobles de chacune des principales régions de Númenor, plus l'Héritier du Roi. Leurs descendants en Gondor ont suivi un système analogue, composé de représentants de chacune des Régions du Royaume du Sud, en plus de l'héritier du Roi. Vous pouvez réunir le Conseil pour prendre d'importantes décisions sur l'avenir du Royaume. Allez-vous appeler ses membres à se réunir?;;;;;x
EVTOPTAcouncilgondor.0;The Council will meet.;Le Conseil se réunira.;;;;;x
EVTOPTBcouncilgondor.0;I don't need them.;Je n'ai pas besoin d'eux.;;;;;x
EVTTITcouncilgondor.1;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.1;It was traditional among the Men of Númenor for the King to maintain a Council of the Sceptre composed of nobles from each of the main regions of Númenor, together with the King's Heir as advisers. Their descendants in Gondor followed a similar system made up from representatives of each of the South-kingdom's separate lands, probably in addition to the King's heir. The Lord of Gondor and he called you to meet in Minas Tirith. Will you join the Council of Gondor?;Il était de tradition chez les hommes de Númenor de maintenir un Conseil du Sceptre composé des nobles de chacune des principales régions de Númenor, plus l'Héritier du Roi. Leurs descendants en Gondor ont suivi un système analogue, composé de représentants de chacune des Régions du Royaume du Sud, en plus de l'héritier du Roi. Le Souverain du Gondor a appelé le Conseil à se réunir. Allez-vous vous rendre à Minas Tirith?;;;;;x
EVTOPTAcouncilgondor.1;This is my duty!;C'est mon devoir !;;;;;x
EVTOPTBcouncilgondor.1;I don't have any time.;Je n'ai pas le temps.;;;;;x
EVTTITcouncilgondor.2;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.2;[From.GetTitle] [From.GetFirstName] accepted to join the Council of Gondor, and came to Minas Tirith.;[From.GetTitle] [From.GetFirstName] accepte de rejoindre le Conseil du Gondor, et est arrivé à Minas Tirith.;;;;;x
EVTOPTAcouncilgondor.2;Great.;Parfait.;;;;;x
