#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITgondorwotr.0;War for Gondor;La Guerre pour le Gondor;;;;;;;;;;;;x
EVTDESCgondorwotr.0;For too long, Gondor has successfully opposed to your power. The Men of the West defeated you in the War of the Last Alliance, and it took you almost 3,000 years to rebuild your former strength and weaken your opponents. Now it is time to take revenge from the descendants of Númenor, and launch your great war against them. First, it would be wise to seize the crossings of the Aduin, as East Osgiliath and Cair Andros, which will be beachheads to attack Minas Tirith and the rest of Gondor later.;;;;;;;;;;;;;x
EVTOPTAgondorwotr.0;Gather our Legions!;Préparez nos Légions!;;;;;;;;;;;;x
EVTTITgondorwotr.1;War is coming from East.;La Guerre vient de l'Est…;;;;;;;;;;;;x
EVTDESCgondorwotr.1;The Rangers of Ithilien inform you that the legions of the enemy were seen moving. It seems that they are moving towards Osgiliath and Cair Andros at this very moment. You should strengthen your defenses quickly and send competent generals to lead your men.;Les rôdeurs d'Ithilien vous informent que les légions de l'ennemi ont été aperçues en mouvement;;;;;;;;;;;;x
EVTOPTAgondorwotr.1;I'll send Boromir and Faramir.;Je vais envoyer Boromir et Faramir.;;;;;;;;;;;;x
EVTOPTBgondorwotr.1;Boromir will defend Osgiliath!;Boromir sera capable de mener la défense seul.;;;;;;;;;;;;x
EVTOPTCgondorwotr.1;Faramir will defend Osgiliath!;Faramir sera capable de mener la défense seul.;;;;;;;;;;;;x
EVTOPTDgondorwotr.1;No to risk for Boromir or Faramir. Just send troops.;;;;;;;;;;;;;x
EVTTITgondorwotr.2;The Captains of Gondor;Les Capitaines du Gondor;;;;;;;;;;;;x
EVTDESCgondorwotr.2;Your spies report that the defense of Osgiliath might be led by one or both of the sons of Denethor: Boromir and Faramir. It would be excellent if your troops killed one or both them in the battle. The defences of Cair Andros, by contrast, are weaker.;Vos espions rapportent que la défense d'Osgiliath sera menée par les deux fils de Denethor : Boromir et Faramir. Ce serait une merveilleuse nouvelle, s'ils venaient à être tués tous les deux durant les combats...;;;;;;;;;;;;x
EVTOPTAgondorwotr.2;Attack now!;Attaquez maintenant !;;;;;;;;;;;;x
TT_gondorwotr2A;Declare war to claim East Osgiliath and Cair Andros.;;;;;;x
TT_gondorwotr2B;Muster an Orc Army at Minas Morgul;;;;;;x
TT_gondorwotr2C;Muster a Haradrim Army at Minas Morgul;;;;;;x
TT_gondorwotr2D;Muster an Easterling Army at Minas Morgul;;;;;;x
TT_gondorwotr2E;Muster an Orc Army at Asgaril;;;;;;x
EVTTITgondorwotr.5;The War is coming.;La Guerre approche.;;;;;;;;;;;;x
EVTDESCgondorwotr.5;While you stregthen your defenses, you have learned that War has begun, and the legions of Sauron are headed for the crossings of the Anduin. Soon, you will likely have to fight for your city. It is time to deploy some troops at Osgiliath to slow the enemy while you gather your forces.;;;;;;;;;;;;;x
EVTOPTAgondorwotr.5;For Gondor!;Pour le Gondor!;;;;;;;;;;;;x
EVTTITgondorwotr.9;Cair Andros;Cair Andros;;;;;;;;;;;;x
EVTDESCgondorwotr.9;My Lord! Cair Andros is under siege by the legions of Sauron! ;Mon Seigneur! Cair Andros est sous le siège des légions de Sauron!;;;;;;;;;;;;x
EVTOPTAgondorwotr.9;Teleport some troops there!;Nous devons résister!;;;;;;;;;;;;x
TT_gondorwotr9A;Make an army of ten thousand appear near Cair Andros.;;;;;;x
EVTOPTBgondorwotr.9;No, the Corsairs might attack!;;;;;;;;;;;;;x
EVTTITgondorwotr.10;Invasion of Gondor;L'Invasion du Gondor;;;;;;;;;;;;x
EVTDESCgondorwotr.10;The Kingdom of Gondor is at war with Sauron the Great, and most of his troops have been called north, near Minas Tirith. It's perhaps time to attack and reconquer some of the land of Castamir, the True King of Gondor!;Le Royaume du Gondor est en guerre contre Sauron le Grand, et la plupart de ses forces sont concentrées autour de Minas Tirith. Nous devrions en profiter pour attaquer, et reconquérir ces terres au nom de Castamir, le Véritable Roi du Gondor!;;;;;;;;;;;;x
EVTOPTAgondorwotr.10;I'll test their defenses in Tolfalas.;Je vais tester leurs défenses à Tolfalas.;;;;;;;;;;;;x
EVTOPTBgondorwotr.10;No, I won't attack them.;Non, je ne peux les attaquer.;;;;;;;;;;;;x
EVTTITgondorwotr.11;The Corsairs of Umbar;Les Corsaires d'Umbar;;;;;;;;;;;;x
EVTDESCgondorwotr.11;You have learned that in the South, the Black Fleet of Umbar is moving. This is a bad news, and you can't send all your army to defeat them, as you're fighting in the East against Sauron.;Vous apprenez que dans le Sud, la Flotte Noire d'Umbar s'est mise en mouvement. C'est une mauvaise nouvelle, et vous ne pouvez envoyer votre armée au Sud, car vous devez déjà combattre Sauron à l'Est. ;;;;;;;;;;;;x
EVTOPTAgondorwotr.11;Bad News!;Attendez… QUOI?;;;;;;;;;;;;x
EVTTITgondorwotr.12;Invasion of Gondor;L'Invasion du Gondor;;;;;;;;;;;;x
EVTDESCgondorwotr.12;The Black Fleet of Umbar is close to Tolfalas now. It's time to start the attack, and conquer this first part of Gondor for the Glory of your kin!;La Flotte Noire d'Umbar est maintenant proche de l'île de Tolfalas. Il est temps de lancer l'attaque et de conquérir cette île pour la gloire de votre peuple!;;;;;;;;;;;;x
EVTOPTAgondorwotr.12;In Memory of Castamir!;En Mémoire de Castamir!;;;;;;;;;;;;x
TT_gondorwotr12A;Declare War for Tolfalas.;;;;;;x
TT_gondorwotr12B;Land an army of six thousand on Tolfalas.;;;;;;x
TT_gondorwotr12C;Deploy a fleet near Tolfalas.;;;;;;x
EVTTITgondorwotr.13;The Corsairs of Umbar;Les Corsaires d'Umbar;;;;;;;;;;;;x
EVTDESCgondorwotr.13;Bad News from the island of Tolfalas : The Corsairs of Umbar are attacking, with a substantial army. The few men who defend the island won't be able to resist, that's certain.;Une mauvaise nouvelle arrive de l'île de Tolfalas : Les Corsaires d'Umbar attaquent, avec une puissante armée. Les quelques hommes qui défendent l'île ne seront pas en mesure de résister longtemps, c'est certain…;;;;;;;;;;;;x
EVTOPTAgondorwotr.13;More Bad News.;Comment est-ce possible…?;;;;;;;;;;;;x
EVTTITgondorwotr.15;Taking the Crossings has Failed;;;;;;x
EVTDESCgondorwotr.15;You have launched a well-supported assault to seize the crossings of the Anduin some time ago, but it seems the defenders are tougher and more valorous than you anticipated, for the War still rages. Since you are planning a larger conquest against Gondor, it seems a good idea to call off the assault, so that your larger attack does not get delayed too much.\n\n Then, they will be crushed!;;;;;;x
EVTOPTAgondorwotr.15;Call off the Assault, for now.;;;;;;x
TT_gondorwotr15A;Invalidate your war against Gondor.;;;;;;x
EVTOPTBgondorwotr.15;I'm the player and I'll continue.;;;;;;x
EVTTITgondorwotr.16;Gondor Attacks!;;;;;;x
EVTDESCgondorwotr.16;The Steward of Gondor is actually attacking you! Is he a brave fool, or does he have the ring? Either way, he will learn the Dark Lord is not someone to be trifled with!;;;;;;x
EVTOPTAgondorwotr.16;Foolish Gondorians!;;;;;;x
TT_gondorwotr16A;Muster an Orc army at Barad-dûr;;;;;;x
TT_gondorwotr16B;Muster an Orc army at Minas Morgul;;;;;;x
TT_gondorwotr16C;Muster an Uruk army at Cirith Ungol;;;;;;x
TT_gondorwotr16D;Use your powers to boost the morale of your armies.;;;;;;x
EVTTITgondorwotr.17;Your First attack is over.;;;;;;x
EVTDESCgondorwotr.17a;Much to your disquiet, your first assault, to take the crossings over the Anduin, has failed. Gondor was stronger than you expected. Still, you will nevertheless prepare for a large assault, a knockout blow against Gondor.;;;;;;x
EVTDESCgondorwotr.17b;As planned, your first assault, to take the crossings over the Anduin, has succeeded on time. Gondor is ready to fall. It is now time to prepare forprepare for a larger assault, a knockout blow against Gondor.;;;;;;x
EVTOPTAgondorwotr.17;I shall get ready.;;;;;;x
EVTTITgondorwotr.30;The Enemy Retreats;;;;;;x
EVTDESCgondorwotr.30;Your armies have fought with valiant courage against the enemy, and it seems you have won the victory, for reports have reached you that the assault have been abandoned and Sauron's remaining forces are retreating.\n\nDespite this, however, it seems more like a calm before the storm...;;;;;;x
EVTOPTAgondorwotr.30;It's not over.;;;;;;x
#EVTTITgondorwotr.16;Osgiliath;Osgiliath;;;;;;;;;;;;x
#EVTDESCgondorwotr.16;Your legions are ready. During many nights, they built boats, and new parts for the briges of Osgiliath. It's now time to reveal your true #strength, and take possession of the west shore of the Anduin.;Vos légions sont prêtes. Pendant de nombreuses nuits, ils ont préparé des embarcations et des ponts #transportables à Osgiliath. Ils sont maintenant prêts à débarquer de l'autre coté du fleuve.;;;;;;;;;;;;x
#EVTOPTAgondorwotr.16;To War!;A la Guerre!;;;;;;;;;;;;x
#EVTTITgondorwotr.17;Osgiliath;Osgiliath;;;;;;;;;;;;x
#EVTDESCgondorwotr.17;In the middle of the night, yours sentinels started hearing noises, like whispers carried by the wind. Soon, they saw the boats and drawbridges. #The legions of Sauron are crossing the Anduin.;Au coeur de la Nuit, vos sentinelles ont commencé à entendre des bruits, comme des murmures portés par le vent. Très #vite, ils ont aperçus des embarcations ainsi que des ponts mobiles. Les légions de Sauron sont en train de traverser l'Anduin.;;;;;;;;;;;;x
#EVTOPTAgondorwotr.17;We shall resist!;Nous devons résister!;;;;;;;;;;;;x
# Rangers of Ithillien;;;;;;;x
EVTTITgondorwotr.18;The Rangers of Ithilien;;;;;;x
EVTDESCgondorwotr.18;In these troubled times, Gondor needs gaurdians more than ever. This why you have founded the Rangers of Ithilien, with four thosands archers and light infantry to start with.;;;;;;x
EVTOPTAgondorwotr.18;Excellent;;;;;;x
EVTTITgondorwotr.19;More Troops;;;;;;x
EVTDESCgondorwotr.19;Do you wish to hire another five hundred troops for the rangers? You will be able to choose where they will be deployed from a list.;;;;;;x
EVTOPTAgondorwotr.19;Yes I do.;;;;;;x
