#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVThimling.4;Explore Himling?;Exploration d'Himling;;;;;;;;;;;;x
EVTDESChimling.4;You are the Lord of the Isle of Himling. You know that at one point in the First Age it was a hill in Beleriand, and home of the realm of Maedhros, a prince of the Noldor. Do you want to search the ruins of the March of Maedhros? Who knows, there may be ancient artefacts or treasure!;Vous êtes le Suzerain de l'île d'Himling, et vous savez qu'au Premier Âge, cet endroit était le plus haut sommet du royaume de Maedhros. Voulez-vous explorer l'île à la recherche d'anciens artefacts?;;;;;;;;;;;;x
EVTOPTAhimling.4;Yes, fetch my ship, I will explore it!;Oui, je dois explorer l'île!;;;;;;;;;;;;x
EVTOPTBhimling.4;No, the past is past...;Non, le Passé est le passé.;;;;;;;;;;;;x
EVThimling.5;Exploring Himling;Exploration d'Himling;;;;;;;;;;;;x
EVTDESChimling.5;After a few hours searching you find an elvish ruin in the island. Only weathered stone remains, but there is one room still locked...;Vous trouvez une ruine sur l'île, et dans cette ruine, une salle semble être encore intacte, mais verrouillée…;;;;;;;;;;;;x
EVTOPTAhimling.5;Open this door!;Forcez la serrure!;;;;;;;;;;;;x
EVThimling.6;In the locked room...;Dans cette salle…;;;;;;;;;;;;x
EVTDESChimling.6;The door is battered down, and peering through the dust and cobwebs, you see a Noldor chest! The room itself appears to be have been the quarters of a noble, the rich furniture and banner mounts are now rotted and broken. There is an ancient painting of Fëanor and his sons on one wall. Your hopes soar! What might you find in the chest?;… vous trouvez un coffre ! La pièce elle-même semble avoir été occupée par un noble, et sur un mur, vous découvrez une peinture ancienne, représentant Feanor et ses fils. Mais que trouverez-vous dans le coffre?;;;;;;;;;;;;x
EVTOPTAhimling.6;Could it be? A treasure of the March of Maedhros!;Serait-ce un trésor de la Maison de Maedhros?;;;;;;;;;;;;x
EVThimling.7;Maedhros's Sword;L'épée de Maedhros;;;;;;;;;;;;x
EVTDESChimling.7;You find a key, and it fits the trunk... you slowly open the chest and, sure enough, inside there lies an antique elvish sword. The weapon is finely adorned, clearly of the highest level of craftsmanship and surely belonging to someone prestigious, and the blade is still sharp... The runes on the blade reveal the name of the former owner... Maedhros himself!;Dans le coffre, vous découvrez une ancienne épée elfique. Elle vous parait prestigieuse, et la lame est toujours affutée… Sur la lame justement, des runes elfiques donnent le nom de l'ancien propriétaire… Maedhros lui-même!;;;;;;;;;;;;x
EVTOPTAhimling.7;It shall be the treasure of my House!;Ce sera le Trésor de ma Maison !;;;;;;;;;;;;x
EVThimling.8;The Armour of Maedhros!;L'Armure de Maedhros!;;;;;;;;;;;;x
EVTDESChimling.8;You find a key, and it fits the trunk... you slowly open the chest and, sure enough, inside there lies an antique helmet and cuirass! The armour is beautiful, clearly of the highest level of craftsmanship and surely belonging to someone prestigious!;Dans le coffre, vous découvrez une ancienne armure elfique ! Elle est encore magnifique, et semble digne d'un Prince. Dans le fond du coffre, vous découvrez un étendard aux couleurs de Maedhros. Plus de doute sur son ancien propriétaire…;;;;;;;;;;;;x
EVTOPTAhimling.8;I shall be a prince on the battlefield!;Je serais un vrai Prince sur les champs de bataille !;;;;;;;;;;;;x
EVThimling.9;Ancient Documents;Des Anciens Documents;;;;;;;;;;;;x
EVTDESChimling.9;You find a key, and it fits the trunk... you slowly open the chest and, sure enough, there lies a stack of antique parchments, some with old elvish songs, some with chronicles from the First Age, all written in fine Quenya calligraphy.;Dans le coffre, vous découvrez de vieux papiers, comme des chants, ou des chroniques du Premier Age. Rien de bien interessant cependant …;;;;;;;;;;;;x
EVTOPTAhimling.9;How disappointing...;Quelle déception…;;;;;;;;;;;;x
EVThimling.10;An Empty Room;Une Salle Vide;;;;;;;;;;;;x
EVTDESChimling.10;The room appears empty, and after several hours of investigation for hidden rooms or treasure, you can't find anything. The room itself is not interesting.;La Salle est vide, et même après plusieurs heures de fouilles, vous ne trouvez rien. La salle elle-même ne semble pas interessante…;;;;;;;;;;;;x
EVTOPTAhimling.10;How disappointing...;Quelle déception…;;;;;;;;;;;;x
explore_himling_ruins;Exploration of Himling;Exploration d'Himling;;;;;;;;;;;;x
explore_himling_ruins_desc;Exploration of Himling;Exploration d'Himling;;;;;;;;;;;;x
