#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
reconquer_moria;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
reconquer_moria_desc;Khazad-Dûm is still held by our enemies. This city belongs to our kin, and you can try and unite the Dwarvish Clans to reclaim the Moria.;Khazad-Dûm est occupée par l'un de nos ennemis. Nous devrions tenter de rassembler les Clans des Nains, et reconquérir la cité pour notre Peuple.;;;;;;;;;;;x
EVTTITholywars.1;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
EVTDESCholywars.1;The great halls of your ancestors deep within Khazad-Dûm have for too long been desecrated by your enemies. Built by Durin the Deathless, this city was once the largest and most powerful of all the Dwarven realms, it's rich mines allowed your people to live in wealth and glory. You must take back these caverns and restore the glory of the Dwarves in Middle-Earth! May the pounding of hammer and pickaxe once more resound in the great galleries of Khazad-dum!;Les Salles de vos ancêtres, dans les profondeurs de Khazad-Dûm, sont souillées depuis trop longtemps par vos ennemis. Bâtie par Durin Trompe-la-Mort, cette cité était la plus grande et la plus puissante de toutes les constructions naines, et les riches mines permettaient à votre peuple de vivre dans la richesse et la gloire.  Vous devez reprendre ce bien, et redorer la puissance des nains en Terre-du-Milieu. Le marteau et la pioche retentiront de nouveaux dans les galeries de Khazad-Dûm !;;;;;;;;;;;x
EVTOPTAholywars.1;I will gather all the Clans of Dwarves!;Je vais rassembler tous les Clans des Nains!;;;;;;;;;;;x
EVTOPTBholywars.1;I will reclaim this city for my own Glory!;Je vais reprendre cette cité pour ma seule gloire !;;;;;;;;;;;x
EVTOPTCholywars.1;We can't reclaim this city, it is folly...;Je ne reconquérerais pas la cité.;;;;;;;;;;;x
EVTTITholywars.2;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
EVTDESCholywars.2;You receive a message from [From.GetTitle] [From.GetFirstName]: "The halls of our ancestors in Khazad-dûm have too long been the seats of our enemies. I appeal to all the clans of Dwarves to reclaim the city on behalf of our people, and to finally drive out those who have no right to dwell there. Will you respond to the call,[From.GetTitle] [From.GetFirstName]?";"Vous recevez un message de [From.GetFirstName], qui dit ceci : ""Les Salles de nos Ancêtres en Khazad-Dûm sont depuis trop longtemps le siège de nos ennemis. J'en appelle à tous les clans des Nains pour reconquérir cette Cité au nom de notre Peuple, et en chasser enfin ceux qui ne devraient pas y vivre. Allez-vous répondre favorablement à mon appel?  [From.GetFirstName]"". ";;;;;;;;;;;x
EVTOPTAholywars.2;I will join you, [From.GetFirstName].;Je vais me joindre à vous, [From.GetTitle] [From.GetFirstName].;;;;;;;;;;;x
EVTOPTBholywars.2;One does not simply walk into Moria, it is folly.;Pas de guerre pour moi.;;;;;;;;;;;x
EVTTITholywars.3;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
EVTDESCholywars.3;You receive a response from [From.GetTitle] [From.GetFirstName]. He will join you with an army to reclaim the ancient city of the Dwarves.;Vous recevez la réponse de [From.GetFirstName], et celle-ci est positive. Il vous rejoindra avec une partie de ses forces, pour reprendre l'antique cité des Nains.;;;;;;;;;;;x
EVTOPTAholywars.3;We are stronger together!;Nous sommes plus forts!;;;;;;;;;;;x
EVTTITholywars.4;Threatening Dwarves...;Des Nains menaçants…;;;;;;;;;;;x
EVTDESCholywars.4;Your spies report you that dwarves led by [From.GetTitle] [From.GetFirstName] gather their forces, they hope of reclaiming the city of Khazad-Dûm. They seem determined, and you will have to fight to defend the city.;Vos espions vous rapportent que des Nains, menés par le [From.GetTitle] [From.GetFirstName], rassemblent leurs forces, dans l'espoir de reprendre la cité de Khazad-Dûm de vos mains. Ils semblent déterminés, et il parait évident que vous devrez vous battre pour garder la cité. ;;;;;;;;;;;x
EVTOPTAholywars.4;I will crush them.;Je les écraserais.;;;;;;;;;;;x
EVTTITholywars.5;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
