#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITindarnorgondor.0;Rohan is holded by a Rohirrim - King of Gondor is informed;;;;;;;;;;;;;x
EVTDESCindarnorgondor.0;Rohan is holded by a Rohirrim - King of Gondor is informed;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.0;I'll protect the independance of Rohan.;;;;;;;;;;;;;x
EVTOPTBindarnorgondor.0;They should be my vassals.;;;;;;;;;;;;;x
EVTOPTCindarnorgondor.0;This land remains to my kin.;;;;;;;;;;;;;x
EVTTITindarnorgondor.1;Rohan won't be de jure part of Gondor anymore.;;;;;;;;;;;;;x
EVTDESCindarnorgondor.1;Rohan won't be de jure part of Gondor anymore.;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.1;Thanks you, King of Gondor.;;;;;;;;;;;;;x
EVTTITindarnorgondor.2;Rohan is asked to join the Gondor.;;;;;;;;;;;;;x
EVTDESCindarnorgondor.2;Rohan is asked to join the Gondor.;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.2;That's a just request.;;;;;;;;;;;;;x
EVTOPTBindarnorgondor.2;What about the Oath of Eorl?;;;;;;;;;;;;;x
EVTTITindarnorgondor.3;Rohan is alerted of the ambitions of Gondor.;;;;;;;;;;;;;x
EVTDESCindarnorgondor.3;Rohan is alerted of the ambitions of Gondor.;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.3;I see.;;;;;;;;;;;;;x
EVTTITindarnorgondor.4;Rohan join the Gondor.;;;;;;;;;;;;;x
EVTDESCindarnorgondor.4;Rohan join the Gondor.;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.4;Perfect.;;;;;;;;;;;;;x
EVTTITindarnorgondor.5;Rohan is asked to join the Gondor.;;;;;;;;;;;;;x
EVTDESCindarnorgondor.5;Rohan is asked to join the Gondor.;;;;;;;;;;;;;x
EVTOPTAindarnorgondor.5;I'll respect the Oath of Eorl.;;;;;;;;;;;;;x
EVTOPTBindarnorgondor.5;This land is part of my realm.;;;;;;;;;;;;;x
